rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,BBOSSE22-3,BBOSSE22,12,20,0.121243,0.0,0.0784,20678.83,NO 33%; BUF 14%; MIA 13%
48,@plastered in paris-1,@plastered in paris,12,20,0.114394,0.0,0.08024,12530.13,CLE 38%; NYG 19%; SEA 17%
49,Staying Alive-4,Staying Alive,12,20,0.112362,0.0,0.07208,12484.9,CLE 27%; BUF 18%; MIA 17%
50,JEFF PROBST-4,JEFF PROBST,12,20,0.103768,0.0,0.05776,12446.28,CLE 34%; NYG 18%; SEA 16%
51,Cuddy120-1,Cuddy120,12,20,0.104925,0.0,0.0616,12398.84,MIA 28%; NYG 23%; SEA 20%
52,SUSAN7UP-1,SUSAN7UP,12,20,0.096533,0.0,0.0628,12295.87,CLE 33%; NYG 17%; SEA 15%
53,ODBMG-1,ODBMG,12,20,0.123139,0.0,0.076,12292.74,NO 38%; CLE 24%; NYG 12%
54,Ned Landers-3,Ned Landers,12,20,0.094244,0.0,0.06096,12208.46,CLE 39%; NYG 20%; SEA 18%
55,Golfing in Hell-2,Golfing in Hell,12,20,0.115789,0.0,0.07232,12063.57,CLE 38%; NYG 20%; SEA 17%
56,JAM-1,JAM,12,20,0.12245,0.0,0.07952,11945.12,NO 38%; CLE 24%; NYG 12%
57,ROBERTRUTTER-1,ROBERTRUTTER,12,20,0.120952,0.0,0.07656,11873.93,NO 38%; CLE 24%; NYG 12%
58,Squid-5,Squid,12,20,0.078284,0.0,0.0536,11831.89,MIA 28%; NYG 22%; SEA 20%
59,THE GREATEST DANCER-2,THE GREATEST DANCER,12,20,0.120848,0.0,0.08328,11825.43,NO 38%; CLE 23%; NYG 12%
60,THAWK-1,THAWK,12,20,0.106551,0.0,0.07872,11759.13,MIA 25%; NYG 21%; SEA 18%
61,CNT WALK-1,CNT WALK,12,20,0.110423,0.0,0.06432,11713.17,NO 49%; NYG 16%; SEA 14%
62,Scrlou41-1,Scrlou41,12,20,0.108462,0.0,0.06192,11685.7,NO 33%; CLE 21%; BUF 14%
63,SHINEBOX.-1,SHINEBOX.,12,20,0.105933,0.0,0.064,11587.49,NO 38%; CLE 23%; NYG 12%
64,DR B-3,DR B,12,20,0.103548,0.0,0.06,11585.19,NO 51%; CLE 15%; NYG 11%
65,Puppy Kisses-1,Puppy Kisses,12,20,0.087095,0.0,0.06136,11539.25,NO 51%; MIA 12%; NYG 11%
66,DIVINE MERCY 24/7-1,DIVINE MERCY 24/7,12,20,0.099337,0.0,0.064,11533.33,NO 43%; CLE 27%; NYG 14%
67,Texas Bound.-1,Texas Bound.,12,20,0.120952,0.0,0.07896,11509.61,NO 39%; CLE 24%; NYG 12%
68,JakestroJans-1,JakestroJans,12,20,0.110898,0.0,0.09304,11488.78,CLE 31%; BUF 20%; NYG 16%
69,Belvedere-1,Belvedere,12,20,0.114394,0.0,0.06736,11454.07,CLE 38%; NYG 19%; SEA 17%
70,ESSENTIAL BETTORS-3,ESSENTIAL BETTORS,12,20,0.112362,0.0,0.0664,11425.88,CLE 29%; NYG 19%; SEA 17%
71,WHERE'S LUNCH-2,WHERE'S LUNCH,12,20,0.112362,0.0,0.07352,11323.22,CLE 40%; NYG 21%; SEA 18%
72,DR B-2,DR B,12,20,0.089033,0.0,0.05944,11267.17,CLE 40%; NYG 20%; GB 16%
73,Anonymous Donors-1,Anonymous Donors,12,20,0.109558,0.0,0.07608,11106.05,CLE 34%; NYG 17%; SEA 16%
74,Iron Mountain-5,Iron Mountain,12,20,0.107726,0.0,0.06392,11094.7,NO 34%; CLE 21%; MIA 13%
75,LoveMyBaxter-1,LoveMyBaxter,12,20,0.09841,0.0,0.06648,11004.04,NYG 31%; SEA 27%; MIN 11%
76,SUNFLOWER-1,SUNFLOWER,12,20,0.098185,0.0,0.06416,10954.7,CLE 31%; BUF 21%; NYG 16%
77,Jimmy Wiseguy-1,Jimmy Wiseguy,12,20,0.107726,0.0,0.06672,10890.98,NO 39%; CLE 24%; NYG 12%
78,PLAYIN N STAYIN-1,PLAYIN N STAYIN,12,20,0.080193,0.0,0.05248,10823.89,NYG 27%; SEA 24%; GB 21%
79,Chimp-19-1,Chimp-19,12,20,0.11581,0.0,0.07616,10811.52,CLE 39%; NYG 20%; SEA 18%
80,Marphil-1,Marphil,12,20,0.120952,0.0,0.08128,10781.81,NO 39%; CLE 24%; NYG 12%
81,CLARKGRIZWOLD-2,CLARKGRIZWOLD,12,20,0.096533,0.0,0.06968,10776.23,CLE 33%; NYG 17%; SEA 15%
82,LOS GUAPOS-1,LOS GUAPOS,12,20,0.105813,0.0,0.06968,10770.51,NO 34%; CLE 21%; MIA 13%
83,buffalo1-3,buffalo1,12,20,0.105813,0.0,0.07384,10753.98,NO 39%; CLE 24%; NYG 13%
84,Pauline Park-4,Pauline Park,12,20,0.096962,0.0,0.06424,10635.53,CLE 31%; MIA 19%; NYG 16%
85,7- Out-1,7- Out,12,20,0.105933,0.0,0.07144,10565.68,NO 39%; CLE 24%; NYG 12%
86,DOZER-1,DOZER,12,20,0.11022,0.0,0.07656,10544.26,CLE 34%; NYG 17%; SEA 16%
87,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,12,20,0.108462,0.0,0.07432,10506.07,NO 37%; CLE 23%; NYG 12%
88,BMAC-5,BMAC,12,20,0.105208,0.0,0.06768,10480.09,CLE 33%; NYG 17%; SEA 15%
89,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,12,20,0.101596,0.0,0.06448,10320.88,CLE 33%; NYG 17%; SEA 15%
90,pointsonthepackage-1,pointsonthepackage,12,20,0.125953,0.0,0.07544,10172.78,NO 39%; CLE 25%; NYG 13%
91,EX-FINANCE-1,EX-FINANCE,12,20,0.120952,0.0,0.0888,10099.26,NO 38%; CLE 24%; NYG 12%
92,RG-2,RG,12,20,0.093646,0.0,0.04992,10062.27,CLE 37%; MIA 24%; NYG 19%
93,HMA-1,HMA,12,20,0.095952,0.0,0.06256,10042.09,CLE 38%; NYG 19%; SEA 17%
94,zeke-1,zeke,12,20,0.113754,0.0,0.0716,9922.71,CLE 38%; NYG 20%; SEA 17%
95,FJIZZLE-2,FJIZZLE,12,20,0.11909,0.0,0.07672,9867.12,NO 39%; CLE 24%; NYG 13%
96,BLOW OUT-1,BLOW OUT,12,20,0.104829,0.0,0.05912,9795.65,NO 39%; CLE 24%; NYG 12%
97,SHAMWOW.-1,SHAMWOW.,12,20,0.105813,0.0,0.06888,9666.08,NO 34%; CLE 21%; MIA 13%
98,BullsBearsSheep-1,BullsBearsSheep,12,20,0.105813,0.0,0.07008,9640.95,NO 34%; CLE 21%; MIA 13%
99,PGAMOPTOUR5-2,PGAMOPTOUR5,12,20,0.085052,0.0,0.06736,9143.0,NO 39%; CLE 24%; NYG 13%
100,WWCD 2-1,WWCD 2,12,20,0.108462,0.0,0.0652,9083.39,NO 38%; CLE 24%; NYG 12%
101,LOGICIANS-2,LOGICIANS,12,20,0.092417,0.0,0.06448,9052.15,BUF 24%; MIA 23%; NYG 18%
102,MOMO-1,MOMO,12,20,0.105813,0.0,0.06744,8929.61,NO 39%; CLE 24%; NYG 13%
103,SPS-3,SPS,12,20,0.100759,0.0,0.05808,8822.96,CLE 38%; NYG 20%; SEA 18%
104,Accorsi-1,Accorsi,12,20,0.067144,0.0,0.05376,8564.06,CLE 32%; MIA 20%; NYG 17%
105,WHERE'S LUNCH-4,WHERE'S LUNCH,12,20,0.085052,0.0,0.06392,8021.55,NO 50%; CLE 14%; NYG 11%
