rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,THE NIGHTMAN COMETH-10,THE NIGHTMAN COMETH,10,22,0.012714,0.0,0.0136,100026.65,MIA 47%; DET 37%; GB 8%
21,THEBIGHORSE-2,THEBIGHORSE,10,22,0.011395,0.0,0.00992,77990.24,MIA 39%; MIN 25%; DET 21%
22,Tommy Dawg-7,Tommy Dawg,10,22,0.01144,0.0,0.0108,77419.25,MIA 32%; MIN 27%; DET 25%
23,VODKA JOHNNY-7,VODKA JOHNNY,10,22,0.012624,0.0,0.00968,75297.7,MIA 32%; MIN 27%; DET 26%
24,BIG FLAT IRON-1,BIG FLAT IRON,10,22,0.012104,0.0,0.00928,74383.49,MIA 40%; DET 32%; PHI 8%
25,RISKY 11-1,RISKY 11,10,22,0.014504,0.0,0.0084,74370.93,MIA 35%; MIN 29%; DET 27%
26,Gilkey-2,Gilkey,10,22,0.010242,0.0,0.01016,72738.64,MIA 44%; DET 35%; GB 8%
27,rock-2,rock,10,22,0.012991,0.0,0.00936,72661.86,MIA 33%; MIN 27%; DET 26%
28,WHATEVERYALLWANT-6,WHATEVERYALLWANT,10,22,0.013098,0.0,0.0096,72500.31,MIA 33%; MIN 28%; DET 26%
29,THE WATER BOYS-1,THE WATER BOYS,10,22,0.009855,0.0,0.00936,72406.27,MIA 59%; DET 29%; HOU 6%
30,BADBOYS 305-1,BADBOYS 305,10,22,0.0,0.0,0.00872,70514.66,MIA 33%; MIN 28%; DET 26%
31,TY1823-8,TY1823,10,22,0.010879,0.0,0.0096,70440.02,MIA 43%; MIN 37%; GB 8%
32,EL LOCO IS-5,EL LOCO IS,10,22,0.009371,0.0,0.0084,70064.15,MIA 33%; MIN 28%; DET 27%
33,CB BBQ-1,CB BBQ,10,22,0.011518,0.0,0.00936,69950.48,MIA 41%; DET 32%; PHI 8%
34,Whiskey Business-1,Whiskey Business,10,22,0.011591,0.0,0.00976,69727.47,MIA 32%; MIN 27%; DET 26%
35,ANGRY IRISH J3W-5,ANGRY IRISH J3W,10,22,0.009544,0.0,0.0072,69503.34,MIA 50%; PHI 10%; GB 9%
36,Thanks Derek-9,Thanks Derek,10,22,0.0,0.0,0.00808,69158.08,MIA 44%; MIN 37%; GB 8%
37,H TOWN PKR-9,H TOWN PKR,10,22,0.007226,0.0,0.00968,68488.44,MIA 40%; DET 32%; GB 7%
38,SENIOR JIBBLES-5,SENIOR JIBBLES,10,22,0.013098,0.0,0.00808,68123.58,MIA 33%; MIN 28%; DET 26%
39,PONDEROSA-2,PONDEROSA,10,22,0.012599,0.0,0.00816,67855.79,MIN 67%; HOU 12%; LAC 8%
40,Abes Warriors-3,Abes Warriors,10,22,0.010376,0.0,0.0088,67721.04,MIA 46%; DET 36%; HOU 7%
41,FLOWMASTER-5,FLOWMASTER,10,22,0.010879,0.0,0.00992,66831.28,MIA 49%; MIN 34%; GB 7%
42,C3 Picks-9,C3 Picks,10,22,0.010865,0.0,0.0084,66710.82,DET 46%; MIA 25%; PHI 12%
43,COUNTRY SOUDED-9,COUNTRY SOUDED,10,22,0.012242,0.0,0.00904,66538.28,MIA 43%; DET 34%; GB 8%
44,Tarz-2,Tarz,10,22,0.014018,0.0,0.00856,65489.31,MIA 39%; MIN 33%; PHI 8%
45,UNCJERSEYMIKE-2,UNCJERSEYMIKE,10,22,0.012058,0.0,0.00816,65256.78,MIA 34%; MIN 29%; DET 27%
46,JJarvis117-5,JJarvis117,10,22,0.0,0.0,0.00888,65026.96,MIA 41%; MIN 29%; DET 22%
47,PAPAJOE-1,PAPAJOE,10,22,0.010189,0.0,0.00904,64986.03,MIA 43%; MIN 26%; DET 22%
48,DR STRANGE-3,DR STRANGE,10,22,0.01151,0.0,0.0084,64404.69,MIA 33%; MIN 28%; DET 26%
49,PUMBAPACK9-3,PUMBAPACK9,10,22,0.008499,0.0,0.0072,64379.15,DET 68%; LA 10%; LAC 8%
50,SLOPPY BRI-3,SLOPPY BRI,10,22,0.012076,0.0,0.0076,63782.69,MIA 41%; MIN 35%; GB 7%
51,TOM0JOKER1-3,TOM0JOKER1,10,22,0.011266,0.0,0.00784,63718.67,MIA 33%; MIN 27%; DET 26%
52,drib1364-4,drib1364,10,22,0.0,0.0,0.00872,63718.18,MIA 45%; DET 36%; GB 8%
53,RUBBERINWALL-3,RUBBERINWALL,10,22,0.0,0.0,0.00856,63687.88,MIA 32%; MIN 27%; DET 26%
54,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,10,22,0.016659,0.0,0.00624,63393.76,MIA 32%; MIN 27%; DET 25%
55,DOG @ JOE FUND 1-1,DOG @ JOE FUND 1,10,22,0.006512,0.0,0.0084,63354.29,MIA 33%; MIN 28%; DET 26%
56,COACHD-4,COACHD,10,22,0.012046,0.0,0.00784,63135.55,MIA 29%; MIN 25%; DET 23%
57,BURCULES-4,BURCULES,10,22,0.00723,0.0,0.00808,63109.78,MIA 42%; DET 33%; GB 7%
58,BUBBA-4,BUBBA,10,22,0.0,0.0,0.00832,63052.87,MIA 33%; MIN 27%; DET 26%
59,RMVD-1,RMVD,10,22,0.00945,0.0,0.00744,62980.17,MIA 60%; PHI 12%; GB 11%
60,JOEMALC-6,JOEMALC,10,22,0.012524,0.0,0.0076,62814.51,MIA 39%; MIN 33%; PHI 8%
61,MEATBALL BROTHERS-2,MEATBALL BROTHERS,10,22,0.010871,0.0,0.0076,61437.05,MIA 45%; MIN 38%; LA 5%
62,PISTONS87-7,PISTONS87,10,22,0.011787,0.0,0.00944,61312.67,MIA 38%; MIN 26%; DET 20%
63,DRGUESSEDIT-2,DRGUESSEDIT,10,22,0.013816,0.0,0.008,60610.34,MIA 74%; GB 9%; LA 5%
64,DURBIFY-1,DURBIFY,10,22,0.0,0.0,0.00968,60128.57,MIA 41%; MIN 30%; DET 20%
65,TY1823-9,TY1823,10,22,0.008314,0.0,0.00816,59733.67,DET 49%; MIA 26%; GB 9%
66,NICKEL AND DIMING-4,NICKEL AND DIMING,10,22,0.010551,0.0,0.00824,59355.47,MIA 32%; MIN 27%; DET 26%
67,ZURLINSKY-1,ZURLINSKY,10,22,0.010706,0.0,0.00768,58455.93,MIA 44%; MIN 37%; GB 8%
68,njtocal11-4,njtocal11,10,22,0.011545,0.0,0.00816,57981.67,MIA 44%; MIN 37%; GB 8%
69,KC ICE CREAM-6,KC ICE CREAM,10,22,0.012166,0.0,0.00768,57488.23,MIA 45%; DET 36%; GB 8%
70,The Docs Picks-2,The Docs Picks,10,22,0.017733,0.0,0.00712,56721.5,MIA 42%; MIN 36%; GB 8%
71,detroit six mile-3,detroit six mile,10,22,0.008578,0.0,0.00712,55904.9,MIA 42%; DET 33%; GB 8%
72,PACKDAGGER-4,PACKDAGGER,10,22,0.011109,0.0,0.00688,55878.9,MIA 48%; MIN 40%; DEN 5%
73,SEANS DOLPHINS-7,SEANS DOLPHINS,10,22,0.009853,0.0,0.00784,55583.51,MIA 70%; GB 13%; LAC 7%
74,DALLAS-3,DALLAS,10,22,0.010237,0.0,0.00928,55232.03,MIA 45%; DET 35%; GB 8%
75,DR STRANGE-2,DR STRANGE,10,22,0.009789,0.0,0.00712,55121.59,MIA 30%; MIN 28%; DET 27%
76,NELLIELEE25-2,NELLIELEE25,10,22,0.012643,0.0,0.0068,54141.18,MIA 30%; MIN 25%; DET 24%
77,TDBOW2 3-1,TDBOW2 3,10,22,0.014852,0.0,0.00776,53869.97,MIA 42%; MIN 35%; GB 8%
78,MENTAL HANDICAPPED-2,MENTAL HANDICAPPED,10,22,0.0,0.0,0.0072,53132.88,MIA 32%; MIN 27%; DET 26%
79,White Lotus-4,White Lotus,10,22,0.007427,0.0,0.0064,52885.6,MIA 42%; DET 34%; PHI 9%
80,DRAKEMAY-9,DRAKEMAY,10,22,0.012983,0.0,0.00664,52494.01,MIA 37%; MIN 32%; PHI 8%
81,ONLY FRIENDS-8,ONLY FRIENDS,10,22,0.01413,0.0,0.00664,51366.2,MIA 40%; MIN 34%; PHI 8%
82,HUESOS-5,HUESOS,10,22,0.0,0.0,0.00584,48392.35,MIA 44%; MIN 37%; GB 8%
83,SORRYBOOKIES-9,SORRYBOOKIES,10,22,0.011109,0.0,0.00624,48330.41,MIA 48%; MIN 40%; DEN 5%
84,2 make the cut-1,2 make the cut,10,22,0.017915,0.0,0.00488,48102.59,MIA 35%; MIN 29%; DET 27%
85,KP1133-8,KP1133,10,22,0.013363,0.0,0.00608,48007.44,MIA 30%; MIN 26%; DET 24%
86,Ryan Hojo-10,Ryan Hojo,10,22,0.010185,0.0,0.00584,47456.96,MIA 37%; MIN 26%; DET 21%
87,ALLISON'S BOYFRIEND-6,ALLISON'S BOYFRIEND,10,22,0.009861,0.0,0.00688,47372.79,MIA 43%; DET 34%; GB 8%
88,hotlanta-3,hotlanta,10,22,0.010094,0.0,0.006,46938.86,MIA 41%; DET 32%; GB 7%
89,Greatestdancer1-7,Greatestdancer1,10,22,0.010723,0.0,0.00576,46776.29,MIA 41%; MIN 34%; GB 7%
90,CAGNEY & LACEY-1,CAGNEY & LACEY,10,22,0.009772,0.0,0.006,46022.7,MIA 42%; DET 33%; GB 8%
91,JAX JAGS-6,JAX JAGS,10,22,0.0,0.0,0.00584,45058.71,MIA 41%; MIN 27%; DET 21%
92,Tapout59-1,Tapout59,10,22,0.0,0.0,0.00672,43884.23,MIA 43%; DET 34%; GB 8%
93,OMG ITS KANG-4,OMG ITS KANG,10,22,0.009565,0.0,0.00616,43693.02,MIA 63%; GB 11%; HOU 9%
94,NFL WISEGUYS-5,NFL WISEGUYS,10,22,0.0,0.0,0.00544,40585.27,MIA 51%; DET 26%; GB 7%
95,SQUID-2,SQUID,10,22,0.010556,0.0,0.00464,39457.74,MIA 40%; MIN 34%; GB 7%
96,Sula-locke-2,Sula-locke,10,22,0.0,0.0,0.00448,39414.64,MIA 43%; DET 34%; GB 8%
97,NFL WISEGUYS-9,NFL WISEGUYS,10,22,0.0,0.0,0.00488,38921.15,MIA 17%; LAC 17%; DET 17%
98,IRONGATE-1,IRONGATE,10,22,0.0,0.0,0.00528,38730.41,MIA 40%; MIN 34%; GB 7%
99,NFL WISEGUYS-6,NFL WISEGUYS,10,22,0.0,0.0,0.00464,38523.67,MIA 33%; DET 28%; GB 11%
100,SHEENA'S POMPOMS-7,SHEENA'S POMPOMS,10,22,0.0,0.0,0.00424,37907.4,MIA 42%; MIN 35%; GB 7%
101,NFL WISEGUYS-7,NFL WISEGUYS,10,22,0.0,0.0,0.0044,36900.54,MIA 26%; DET 24%; GB 13%
102,NFL WISEGUYS-8,NFL WISEGUYS,10,22,0.0,0.0,0.00552,35578.31,MIA 21%; DET 21%; GB 14%
103,TEAM YOGI-2,TEAM YOGI,10,22,0.0,0.0,0.00472,33246.76,MIA 61%; GB 11%; LA 7%
104,NFL WISEGUYS-10,NFL WISEGUYS,10,22,0.0,0.0,0.00352,29570.48,MIA 15%; LAC 15%; DET 15%
105,JAX JAGS-7,JAX JAGS,10,22,0.0,0.0,0.00328,24764.11,MIA 31%; MIN 27%; DET 24%
