rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAR5ONIN2-1,PAR5ONIN2,9,23,0.032169,0.0,0.01808,12156.18,GB 79%; CLE 6%; NO 5%
31,OlwillyD-1,OlwillyD,9,23,0.037021,0.0,0.02608,4426.75,GB 79%; CLE 6%; NO 5%
32,EASY ROD-1,EASY ROD,9,23,0.035707,0.0,0.0212,4420.61,GB 79%; CLE 6%; NO 5%
33,VOLARE CIECO-1,VOLARE CIECO,9,23,0.027178,0.0,0.01424,4414.29,CLE 29%; NO 23%; LV 8%
34,WE BAD-1,WE BAD,9,23,0.029974,0.0,0.0156,4409.24,CLE 29%; NO 23%; LV 8%
35,MK INVEST-1,MK INVEST,9,23,0.031816,0.0,0.0152,4381.41,GB 89%; LV 2%; TB 2%
36,ESSENTIAL BETTORS-3,ESSENTIAL BETTORS,9,23,0.031143,0.0,0.01448,4373.56,CLE 22%; NO 20%; LV 9%
37,BOBBYT-2,BOBBYT,9,23,0.035925,0.0,0.01952,4361.13,GB 84%; NO 5%; LV 2%
38,Putting on the foil-3,Putting on the foil,9,23,0.038455,0.0,0.0228,4328.13,GB 53%; CLE 18%; LV 5%
39,Cubby-1,Cubby,9,23,0.037678,0.0,0.02128,4302.85,GB 83%; NO 5%; LV 2%
40,Jax 2 Win-3,Jax 2 Win,9,23,0.040217,0.0,0.0208,4289.66,GB 80%; CLE 6%; NO 5%
41,BBOSSE22-3,BBOSSE22,9,23,0.028871,0.0,0.02008,4280.62,GB 84%; NO 5%; LV 2%
42,zeke-1,zeke,9,23,0.023761,0.0,0.016,4273.88,CLE 32%; NO 25%; LV 9%
43,dylan-3,dylan,9,23,0.030769,0.0,0.02272,4248.62,GB 81%; CLE 6%; NO 5%
44,ORDER UP-2,ORDER UP,9,23,0.03852,0.0,0.02632,4240.31,GB 84%; NO 5%; LV 2%
45,Slick Rick11-1,Slick Rick11,9,23,0.037167,0.0,0.0228,4193.77,GB 81%; CLE 6%; NO 5%
46,THAWK-2,THAWK,9,23,0.026053,0.0,0.01808,4179.2,GB 33%; LV 11%; BAL 9%
47,ODBMG-1,ODBMG,9,23,0.039907,0.0,0.02672,4179.07,GB 79%; CLE 6%; NO 5%
48,COLTS45-2,COLTS45,9,23,0.024595,0.0,0.01352,4173.53,CLE 40%; LV 11%; BAL 9%
49,PRESENCE-2,PRESENCE,9,23,0.025694,0.0,0.01672,4172.33,GB 50%; CLE 17%; LV 5%
50,Cuddy120-3,Cuddy120,9,23,0.036532,0.0,0.01896,4167.37,GB 84%; CLE 7%; NO 3%
51,SIX DUMB GUYS-1,SIX DUMB GUYS,9,23,0.02975,0.0,0.01456,4166.49,CLE 36%; LV 10%; TB 8%
52,WILLY BALTERS-1,WILLY BALTERS,9,23,0.034685,0.0,0.02,4152.9,GB 83%; CLE 6%; LV 2%
53,GAVIN45-3,GAVIN45,9,23,0.037125,0.0,0.02872,4151.57,GB 79%; CLE 6%; NO 5%
54,WARDOG-4,WARDOG,9,23,0.032001,0.0,0.0176,4142.46,GB 52%; CLE 18%; LV 5%
55,GULF COAST GURU-1,GULF COAST GURU,9,23,0.028734,0.0,0.01424,4133.44,CLE 36%; LV 10%; BAL 8%
56,BIGDNICK-1,BIGDNICK,9,23,0.031528,0.0,0.02144,4073.83,GB 45%; CLE 21%; LV 5%
57,PICKSWCLARS24-1,PICKSWCLARS24,9,23,0.045734,0.0,0.02304,4062.46,GB 85%; NO 5%; LV 2%
58,VODKA ROCKS-1,VODKA ROCKS,9,23,0.033872,0.0,0.02152,4018.33,GB 80%; CLE 6%; NO 5%
59,He Is The One-3,He Is The One,9,23,0.020182,0.0,0.01144,4005.7,CLE 30%; NO 24%; LV 8%
60,Chimp-19-1,Chimp-19,9,23,0.032388,0.0,0.02032,3998.98,GB 84%; CLE 7%; LV 2%
61,LOGICIANS-1,LOGICIANS,9,23,0.031283,0.0,0.02232,3979.02,GB 47%; CLE 22%; LV 6%
62,One Man Gang-2,One Man Gang,9,23,0.022939,0.0,0.01384,3906.88,CLE 31%; NO 25%; TB 7%
63,JakestroJans-1,JakestroJans,9,23,0.031155,0.0,0.01432,3895.68,CLE 31%; NO 25%; LV 8%
64,DJ-PGA-1,DJ-PGA,9,23,0.032857,0.0,0.01824,3889.85,GB 80%; CLE 6%; NO 5%
65,Just Say Yes!-1,Just Say Yes!,9,23,0.027239,0.0,0.01448,3889.52,CLE 30%; NO 24%; LV 8%
66,WHERE'S LUNCH-5,WHERE'S LUNCH,9,23,0.036463,0.0,0.02424,3888.73,GB 30%; NO 19%; TB 7%
67,TEAM MOIST-3,TEAM MOIST,9,23,0.026741,0.0,0.01624,3885.42,GB 85%; NO 5%; LV 2%
68,BOAT 502-1,BOAT 502,9,23,0.023841,0.0,0.016,3883.84,CLE 30%; NO 24%; LV 8%
69,hoffytime.-2,hoffytime.,9,23,0.029154,0.0,0.01792,3880.07,GB 84%; CLE 7%; LV 2%
70,LUCKY 13-1,LUCKY 13,9,23,0.029247,0.0,0.01992,3879.48,GB 79%; CLE 6%; NO 5%
71,Rip Wheeler-1,Rip Wheeler,9,23,0.036324,0.0,0.01976,3868.18,GB 85%; NO 5%; LV 2%
72,Follow Proto-2,Follow Proto,9,23,0.032518,0.0,0.02304,3851.32,GB 53%; NO 17%; LV 6%
73,WARDOG-2,WARDOG,9,23,0.033375,0.0,0.0228,3839.88,GB 80%; CLE 6%; NO 5%
74,BLOW OUT-1,BLOW OUT,9,23,0.031192,0.0,0.02064,3833.27,GB 79%; CLE 6%; NO 5%
75,Midnight Cat-1,Midnight Cat,9,23,0.041878,0.0,0.02544,3824.73,GB 79%; CLE 6%; NO 5%
76,HeatStroke-3,HeatStroke,9,23,0.042437,0.0,0.02064,3812.76,GB 84%; NO 5%; LV 2%
77,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,9,23,0.039219,0.0,0.02368,3804.95,GB 51%; NO 17%; LV 5%
78,Trouble With TheSnap-1,Trouble With TheSnap,9,23,0.024736,0.0,0.01568,3794.78,GB 86%; CLE 7%; LV 2%
79,TOMPAPAGEORGIO-2,TOMPAPAGEORGIO,9,23,0.027255,0.0,0.01632,3794.75,CLE 32%; NO 23%; LV 8%
80,K 2 S Q R-1,K 2 S Q R,9,23,0.039012,0.0,0.01928,3793.96,GB 80%; CLE 6%; NO 5%
81,Vegas Mikey G-2,Vegas Mikey G,9,23,0.027661,0.0,0.016,3791.95,CLE 30%; NO 24%; LV 8%
82,Zevets.-1,Zevets.,9,23,0.03507,0.0,0.02248,3777.19,GB 79%; CLE 6%; NO 5%
83,Tampa Daven-3,Tampa Daven,9,23,0.031748,0.0,0.0248,3777.1,GB 83%; CLE 6%; LV 2%
84,7- Out-1,7- Out,9,23,0.02956,0.0,0.02192,3758.51,GB 80%; CLE 6%; NO 5%
85,CNT WALK-1,CNT WALK,9,23,0.033637,0.0,0.02,3752.45,GB 85%; NO 5%; LV 2%
86,Uncle Nephew-2,Uncle Nephew,9,23,0.03225,0.0,0.02264,3748.97,GB 86%; NO 5%; TB 2%
87,Shamy-4,Shamy,9,23,0.03507,0.0,0.01824,3733.03,GB 41%; CLE 18%; NO 13%
88,KB512-3,KB512,9,23,0.040217,0.0,0.02144,3731.25,GB 80%; CLE 6%; NO 5%
89,Super Poodle-2,Super Poodle,9,23,0.016834,0.0,0.01368,3712.11,NO 35%; LV 12%; TB 11%
90,HATMAN'S HEADHUNTERS-1,HATMAN'S HEADHUNTERS,9,23,0.030755,0.0,0.01424,3710.54,CLE 31%; NO 25%; LV 8%
91,SOFAKINGZ-1,SOFAKINGZ,9,23,0.034588,0.0,0.01704,3703.65,GB 83%; CLE 6%; LV 2%
92,TAHOE-3,TAHOE,9,23,0.026963,0.0,0.0204,3703.33,GB 85%; NO 5%; LV 2%
93,Slash Brothers-1,Slash Brothers,9,23,0.033945,0.0,0.02064,3687.86,GB 84%; NO 5%; LV 2%
94,POLISH PRINCE-1,POLISH PRINCE,9,23,0.034045,0.0,0.01976,3683.83,GB 80%; CLE 6%; NO 5%
95,MINTF-2,MINTF,9,23,0.034488,0.0,0.02224,3672.92,GB 47%; CLE 16%; NO 13%
96,ONE MAIN-1,ONE MAIN,9,23,0.028734,0.0,0.01616,3672.0,CLE 37%; LV 10%; BAL 8%
97,hoosierdaddies-1,hoosierdaddies,9,23,0.022426,0.0,0.01608,3669.03,GB 90%; LV 2%; CHI 1%
98,Reggie bush wackers-1,Reggie bush wackers,9,23,0.034685,0.0,0.01592,3638.06,GB 82%; CLE 6%; LV 2%
99,Molly Mols-1,Molly Mols,9,23,0.037573,0.0,0.01992,3636.23,GB 79%; CLE 6%; NO 5%
100,BullsBearsSheep-1,BullsBearsSheep,9,23,0.03167,0.0,0.01856,3633.07,GB 80%; CLE 6%; NO 5%
101,Grinder-1,Grinder,9,23,0.031758,0.0,0.02208,3623.61,GB 79%; CLE 6%; NO 5%
102,OFFINTHEWOODS-1,OFFINTHEWOODS,9,23,0.0246,0.0,0.01744,3621.26,CLE 30%; NO 24%; LV 8%
103,Larry B 27-3,Larry B 27,9,23,0.027886,0.0,0.0184,3614.98,GB 85%; NO 5%; LV 2%
104,Livin' The Dream-1,Livin' The Dream,9,23,0.034116,0.0,0.01472,3604.89,CLE 37%; LV 10%; BAL 8%
105,@Jay Swah Sports-5,@Jay Swah Sports,9,23,0.029479,0.0,0.0192,3599.04,GB 83%; CLE 6%; LV 2%
106,Mikey D-4,Mikey D,9,23,0.027183,0.0,0.01656,3596.77,GB 85%; NO 5%; LV 2%
107,Thunder-3,Thunder,9,23,0.028675,0.0,0.01824,3592.36,GB 59%; LV 7%; BAL 6%
108,Lucas Nogueira-5,Lucas Nogueira,9,23,0.032341,0.0,0.02208,3586.51,GB 44%; CLE 16%; NO 14%
109,WHERE'S LUNCH-3,WHERE'S LUNCH,9,23,0.034588,0.0,0.02136,3585.88,CLE 24%; GB 21%; BAL 8%
110,Goodfellas-2,Goodfellas,9,23,0.023056,0.0,0.01496,3577.29,GB 84%; CLE 7%; LV 2%
111,DaliBones-2,DaliBones,9,23,0.031192,0.0,0.01792,3564.58,GB 50%; NO 15%; LV 6%
112,EX-FINANCE-2,EX-FINANCE,9,23,0.036902,0.0,0.02368,3552.63,GB 45%; CLE 16%; NO 13%
113,Staying Alive-4,Staying Alive,9,23,0.031748,0.0,0.02152,3550.67,GB 83%; CLE 6%; LV 2%
114,WESTBROOK FOR 3-1,WESTBROOK FOR 3,9,23,0.03167,0.0,0.01848,3531.7,GB 80%; CLE 6%; NO 5%
115,LIZ-1,LIZ,9,23,0.030127,0.0,0.01888,3522.59,GB 85%; NO 5%; LV 2%
116,SJM-5,SJM,9,23,0.03541,0.0,0.02104,3517.47,GB 80%; CLE 6%; NO 5%
117,Lucas Nogueira-4,Lucas Nogueira,9,23,0.035349,0.0,0.01448,3496.96,GB 35%; CLE 22%; LV 8%
118,Bucky Picks-1,Bucky Picks,9,23,0.032388,0.0,0.02184,3490.27,GB 83%; CLE 6%; LV 2%
119,BizzyBettor-2,BizzyBettor,9,23,0.027894,0.0,0.018,3484.89,GB 80%; CLE 6%; NO 5%
120,Sand Bagger-2,Sand Bagger,9,23,0.030029,0.0,0.02008,3478.47,GB 80%; CLE 6%; NO 5%
121,HARTMANN-1,HARTMANN,9,23,0.029801,0.0,0.02104,3471.51,GB 83%; CLE 6%; LV 2%
122,Black Devil-3,Black Devil,9,23,0.041166,0.0,0.01992,3470.52,GB 84%; NO 5%; LV 2%
123,WESTBROOK FOR 3-2,WESTBROOK FOR 3,9,23,0.02783,0.0,0.01848,3461.99,GB 53%; CLE 18%; LV 5%
124,Iron Mountain-4,Iron Mountain,9,23,0.038549,0.0,0.02024,3459.26,GB 56%; NO 15%; LV 6%
125,ACKATTACK-1,ACKATTACK,9,23,0.037819,0.0,0.02368,3447.26,GB 46%; CLE 16%; NO 13%
126,Joncon16-1,Joncon16,9,23,0.027183,0.0,0.01784,3446.39,GB 85%; NO 5%; LV 2%
127,Lehrjet-1,Lehrjet,9,23,0.037006,0.0,0.02024,3434.47,GB 79%; CLE 6%; NO 5%
128,BMAC-5,BMAC,9,23,0.030701,0.0,0.0196,3430.65,GB 80%; CLE 6%; NO 5%
129,SUSAN7UP-1,SUSAN7UP,9,23,0.02956,0.0,0.01896,3429.07,GB 80%; CLE 6%; NO 5%
130,TEAM RED RAIDER-1,TEAM RED RAIDER,9,23,0.030097,0.0,0.01952,3425.29,GB 80%; CLE 6%; NO 5%
131,617 to 702-3,617 to 702,9,23,0.020867,0.0,0.01248,3423.03,CLE 37%; LV 10%; TB 9%
132,Pauline Park-4,Pauline Park,9,23,0.027954,0.0,0.01672,3420.1,GB 84%; CLE 7%; LV 2%
133,SHAMWOW.-1,SHAMWOW.,9,23,0.029069,0.0,0.01528,3411.44,GB 81%; CLE 6%; NO 5%
134,CLARKGRIZWOLD-3,CLARKGRIZWOLD,9,23,0.037404,0.0,0.02032,3410.91,GB 50%; CLE 17%; LV 5%
135,Slater-1,Slater,9,23,0.034488,0.0,0.02048,3403.36,GB 80%; CLE 6%; NO 5%
136,Heater City-1,Heater City,9,23,0.037573,0.0,0.02088,3401.02,GB 80%; CLE 6%; NO 5%
137,No Regrets-5,No Regrets,9,23,0.032305,0.0,0.0208,3396.85,GB 86%; NO 5%; LV 2%
138,LOS GUAPOS-1,LOS GUAPOS,9,23,0.03037,0.0,0.01776,3394.56,GB 81%; CLE 6%; NO 5%
139,Follow Proto-1,Follow Proto,9,23,0.025694,0.0,0.01392,3382.29,GB 82%; CLE 6%; LV 2%
140,Enut34-1,Enut34,9,23,0.030842,0.0,0.02008,3360.22,GB 78%; CLE 6%; NO 5%
141,PRESENCE-5,PRESENCE,9,23,0.043814,0.0,0.02112,3349.54,GB 80%; CLE 6%; NO 5%
142,EX-FINANCE-1,EX-FINANCE,9,23,0.033872,0.0,0.0228,3340.66,GB 80%; CLE 6%; NO 5%
143,PGAMOPTOUR5-2,PGAMOPTOUR5,9,23,0.029069,0.0,0.01704,3338.89,GB 81%; CLE 6%; NO 5%
144,MATADOR-1,MATADOR,9,23,0.036104,0.0,0.01944,3335.2,GB 84%; CLE 6%; LV 2%
145,RG-2,RG,9,23,0.025066,0.0,0.0132,3333.02,CLE 30%; NO 24%; LV 8%
146,How You Feeling-1,How You Feeling,9,23,0.037006,0.0,0.0244,3329.1,GB 79%; CLE 6%; NO 5%
147,TD TONY-2,TD TONY,9,23,0.037678,0.0,0.01952,3314.47,GB 83%; NO 5%; LV 2%
148,BALD RAZORS-2,BALD RAZORS,9,23,0.036392,0.0,0.02312,3305.31,GB 84%; NO 5%; LV 2%
149,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,9,23,0.026476,0.0,0.01384,3299.55,GB 88%; LV 2%; TB 2%
150,Live Odds-1,Live Odds,9,23,0.028254,0.0,0.02344,3293.14,GB 90%; LV 2%; CHI 1%
151,SUNFLOWER-1,SUNFLOWER,9,23,0.030735,0.0,0.01656,3291.44,GB 80%; CLE 6%; NO 5%
152,Iron Mountain-5,Iron Mountain,9,23,0.030097,0.0,0.01936,3291.22,GB 80%; CLE 6%; NO 5%
153,FJIZZLE-2,FJIZZLE,9,23,0.033982,0.0,0.0208,3281.5,GB 81%; CLE 6%; NO 5%
154,THAWK-1,THAWK,9,23,0.028301,0.0,0.01816,3276.91,GB 85%; NO 5%; LV 2%
155,WHERE'S LUNCH-2,WHERE'S LUNCH,9,23,0.034588,0.0,0.0212,3276.64,GB 83%; CLE 6%; LV 2%
156,SHINEBOX.-1,SHINEBOX.,9,23,0.02956,0.0,0.01928,3274.0,GB 80%; CLE 6%; NO 5%
157,Belvedere-1,Belvedere,9,23,0.024967,0.0,0.01416,3271.69,CLE 30%; NO 24%; LV 8%
158,SIN CITY LORI-1,SIN CITY LORI,9,23,0.032786,0.0,0.01984,3259.02,GB 84%; NO 5%; LV 2%
159,Lucas Nogueira-1,Lucas Nogueira,9,23,0.035224,0.0,0.0176,3254.55,GB 83%; CLE 6%; LV 2%
160,JAM-1,JAM,9,23,0.033982,0.0,0.01752,3239.28,GB 81%; CLE 6%; NO 5%
161,CAVEHAWKS-2,CAVEHAWKS,9,23,0.029667,0.0,0.01608,3235.02,GB 83%; CLE 6%; LV 2%
162,CRE8-1,CRE8,9,23,0.036504,0.0,0.022,3217.88,GB 80%; CLE 6%; NO 5%
163,LoveMyBaxter-1,LoveMyBaxter,9,23,0.017038,0.0,0.01352,3216.97,NO 35%; LV 12%; TB 11%
164,1JeffIgor-1,1JeffIgor,9,23,0.030127,0.0,0.02096,3212.31,GB 85%; NO 5%; LV 2%
165,BUY LOW-1,BUY LOW,9,23,0.035824,0.0,0.02264,3202.88,GB 80%; CLE 6%; NO 5%
166,The Disasters-1,The Disasters,9,23,0.031107,0.0,0.02504,3178.64,GB 88%; LV 2%; TB 2%
167,Artie Blanco-1,Artie Blanco,9,23,0.030661,0.0,0.01824,3175.18,GB 90%; LV 2%; BAL 2%
168,Jimmy Wiseguy-1,Jimmy Wiseguy,9,23,0.029176,0.0,0.0188,3169.99,GB 80%; CLE 6%; NO 5%
169,Scrlou41-1,Scrlou41,9,23,0.031764,0.0,0.02216,3166.33,GB 80%; CLE 6%; NO 5%
170,TOMPAPAGEORGIO-1,TOMPAPAGEORGIO,9,23,0.027183,0.0,0.01776,3164.99,GB 86%; NO 5%; LV 2%
171,BIGDNICK-5,BIGDNICK,9,23,0.024343,0.0,0.02,3160.0,GB 89%; LV 2%; TB 2%
172,DMAYS-1,DMAYS,9,23,0.026309,0.0,0.01592,3144.27,CLE 31%; NO 25%; LV 8%
173,Practice Squad QB-2,Practice Squad QB,9,23,0.034241,0.0,0.01536,3139.41,GB 85%; CLE 7%; LV 2%
174,NORTH OF THE BORDER-2,NORTH OF THE BORDER,9,23,0.030097,0.0,0.01704,3128.49,GB 80%; CLE 6%; NO 5%
175,JUST TALK DIRTY-1,JUST TALK DIRTY,9,23,0.028675,0.0,0.01904,3123.26,GB 89%; LV 2%; BAL 2%
176,BOBBYT-3,BOBBYT,9,23,0.035707,0.0,0.0192,3120.66,GB 42%; CLE 18%; NO 13%
177,ACKATTACK-2,ACKATTACK,9,23,0.037819,0.0,0.0228,3107.57,GB 80%; CLE 6%; NO 5%
178,MAX-1,MAX,9,23,0.029069,0.0,0.02,3088.4,GB 81%; CLE 6%; NO 5%
179,QUESERASERA-2,QUESERASERA,9,23,0.025902,0.0,0.01416,3083.4,GB 91%; LV 2%; CHI 1%
180,PUFFALUPPS-2,PUFFALUPPS,9,23,0.032786,0.0,0.01624,3070.21,GB 85%; NO 5%; LV 2%
181,Dr.Unk-1,Dr.Unk,9,23,0.034488,0.0,0.0212,3060.59,GB 80%; CLE 6%; NO 5%
182,TKOB-1,TKOB,9,23,0.037955,0.0,0.0204,3057.19,GB 80%; CLE 6%; NO 5%
183,Juice Box-2,Juice Box,9,23,0.035272,0.0,0.01896,3052.37,GB 80%; CLE 6%; NO 5%
184,Luther41-1,Luther41,9,23,0.031105,0.0,0.0196,3046.21,GB 80%; CLE 6%; NO 5%
185,XXYYZZ-1,XXYYZZ,9,23,0.030703,0.0,0.01656,3044.73,GB 79%; CLE 6%; NO 5%
186,BMAC-1,BMAC,9,23,0.029176,0.0,0.01768,3042.39,GB 47%; CLE 16%; NO 13%
187,Football Junkies-4,Football Junkies,9,23,0.030029,0.0,0.014,3002.41,GB 80%; CLE 6%; NO 5%
188,Wincowski 04-1,Wincowski 04,9,23,0.024967,0.0,0.01312,3000.21,CLE 30%; NO 24%; LV 8%
189,WWCD 2-1,WWCD 2,9,23,0.03167,0.0,0.01824,2987.47,GB 80%; CLE 6%; NO 5%
190,GAMBLEONGOLD-2,GAMBLEONGOLD,9,23,0.033058,0.0,0.02096,2978.02,GB 80%; CLE 6%; NO 5%
191,CLARKGRIZWOLD-2,CLARKGRIZWOLD,9,23,0.031877,0.0,0.02104,2976.09,GB 81%; CLE 6%; NO 5%
192,Sting-3,Sting,9,23,0.036228,0.0,0.01584,2974.99,GB 63%; LV 6%; PIT 5%
193,KSSA-1,KSSA,9,23,0.037573,0.0,0.01904,2974.67,GB 80%; CLE 6%; NO 5%
194,@Pigskin_Junkies-1,@Pigskin_Junkies,9,23,0.035276,0.0,0.01776,2973.41,GB 79%; CLE 6%; NO 5%
195,Gamblinsteve-3,Gamblinsteve,9,23,0.034081,0.0,0.02288,2964.12,GB 29%; CLE 28%; LV 7%
196,DESERT DOGG-2,DESERT DOGG,9,23,0.029711,0.0,0.014,2952.39,GB 90%; LV 2%; TB 2%
197,scourrge-4,scourrge,9,23,0.039321,0.0,0.02592,2950.32,GB 84%; NO 5%; LV 2%
198,Gamblinsteve-1,Gamblinsteve,9,23,0.028551,0.0,0.01656,2934.6,GB 81%; CLE 6%; NO 5%
199,BK tingle-1,BK tingle,9,23,0.031773,0.0,0.01656,2926.49,GB 85%; CLE 7%; LV 2%
200,Magi Quicksilver-1,Magi Quicksilver,9,23,0.030735,0.0,0.01712,2924.52,GB 80%; CLE 6%; NO 5%
201,DIGGS ALLEN '22-2,DIGGS ALLEN '22,9,23,0.036902,0.0,0.02392,2920.37,GB 41%; CLE 17%; NO 12%
202,Chaddie & Maddie-4,Chaddie & Maddie,9,23,0.021044,0.0,0.014,2915.55,CLE 31%; NO 25%; LV 8%
203,GAVIN45-2,GAVIN45,9,23,0.032857,0.0,0.01936,2913.98,GB 47%; CLE 16%; NO 13%
204,XIch-2,XIch,9,23,0.032553,0.0,0.01848,2910.05,GB 80%; CLE 6%; NO 5%
205,The Mad Russian-5,The Mad Russian,9,23,0.031283,0.0,0.02064,2901.82,GB 84%; CLE 7%; LV 2%
206,DIVINE MERCY 24/7-1,DIVINE MERCY 24/7,9,23,0.027695,0.0,0.0184,2880.23,GB 81%; CLE 6%; NO 5%
207,MINTF-5,MINTF,9,23,0.035183,0.0,0.02096,2879.2,GB 79%; CLE 6%; NO 5%
208,BLOW OUT-2,BLOW OUT,9,23,0.030617,0.0,0.01648,2870.05,GB 58%; NO 16%; LV 6%
209,RIGHTANGLESPORTS-1,RIGHTANGLESPORTS,9,23,0.029686,0.0,0.01928,2863.39,GB 81%; CLE 6%; NO 5%
210,THE GREATEST DANCER-2,THE GREATEST DANCER,9,23,0.033822,0.0,0.01712,2862.82,GB 81%; CLE 6%; NO 5%
211,GAMBLEONGOLD-4,GAMBLEONGOLD,9,23,0.035743,0.0,0.0204,2858.09,GB 27%; NO 22%; LV 7%
212,CRE8-2,CRE8,9,23,0.034019,0.0,0.01592,2853.54,GB 45%; CLE 15%; NO 13%
213,5 BUKI ODS-2,5 BUKI ODS,9,23,0.030097,0.0,0.01712,2848.41,GB 80%; CLE 6%; NO 5%
214,Mucked Nuts.-1,Mucked Nuts.,9,23,0.033872,0.0,0.01952,2845.61,GB 80%; CLE 6%; NO 5%
215,Bison Sports-4,Bison Sports,9,23,0.037695,0.0,0.01712,2842.33,GB 49%; CLE 18%; LV 5%
216,Zenyatta-3,Zenyatta,9,23,0.033898,0.0,0.01696,2837.72,GB 81%; CLE 6%; NO 5%
217,Schematic Advantage-2,Schematic Advantage,9,23,0.031758,0.0,0.01632,2837.58,GB 79%; CLE 6%; NO 5%
218,Duck U-1,Duck U,9,23,0.032786,0.0,0.01744,2837.25,GB 84%; NO 5%; LV 2%
219,EROQ-5,EROQ,9,23,0.037034,0.0,0.02056,2836.79,GB 79%; CLE 6%; NO 5%
220,Perfect Pint-1,Perfect Pint,9,23,0.031328,0.0,0.0184,2828.2,GB 81%; CLE 6%; NO 5%
221,BOYCOTT 8 PCT-3,BOYCOTT 8 PCT,9,23,0.031748,0.0,0.018,2821.38,GB 47%; CLE 21%; LV 6%
222,THE INTANGIBLES-2,THE INTANGIBLES,9,23,0.034033,0.0,0.0164,2815.28,GB 82%; CLE 6%; LV 2%
