rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
64,asher's picks-9,asher's picks,12,20,0.076333,0.0,0.04368,32495.37,PHI 86%; KC 6%; DET 5%
65,RUMPELPIGSKIN-3,RUMPELPIGSKIN,12,20,0.074588,0.0,0.04144,32479.31,BAL 50%; PHI 48%; DAL 2%
66,BRUCE WAYNE-8,BRUCE WAYNE,12,20,0.049047,0.0,0.03552,31989.57,KC 91%; CIN 9%
67,MOOSE-5,MOOSE,12,20,0.059927,0.0,0.02712,31984.91,KC 69%; DAL 20%; CIN 6%
68,C3 PICKSS-8,C3 PICKSS,12,20,0.062486,0.0,0.02864,31853.69,KC 69%; DAL 20%; CIN 6%
69,LAOCHAOREN-1,LAOCHAOREN,12,20,0.06741,0.0,0.03128,31783.91,BAL 62%; PHI 34%; KC 3%
70,CHARD-3,CHARD,12,20,0.075251,0.0,0.03912,31756.69,BAL 62%; PHI 34%; DET 2%
71,ACCCR-1,ACCCR,12,20,0.068528,0.0,0.04368,31647.81,BAL 63%; PHI 34%; KC 3%
72,Bash's 1st Rodeo-7,Bash's 1st Rodeo,12,20,0.077004,0.0,0.03648,31403.76,BAL 62%; PHI 34%; KC 3%
73,HANNABABY25-6,HANNABABY25,12,20,0.090647,0.0,0.04112,31342.47,BAL 98%; DAL 1%
74,SLEEPY 2-2,SLEEPY 2,12,20,0.068649,0.0,0.04648,31295.71,BAL 90%; DAL 8%; CIN 2%
75,Rocky Raccoon-6,Rocky Raccoon,12,20,0.04853,0.0,0.03088,31079.07,BAL 95%; KC 4%
76,ZMONEYPICKS.COM-3,ZMONEYPICKS.COM,12,20,0.051407,0.0,0.0384,31055.36,BAL 98%; DAL 1%
77,BOSTON MIKE-3,BOSTON MIKE,12,20,0.087364,0.0,0.04416,31040.01,PHI 90%; KC 7%; DAL 2%
78,LEAPINGLIZARDS-9,LEAPINGLIZARDS,12,20,0.083338,0.0,0.05384,31024.84,PHI 76%; BAL 19%; DET 5%
79,WHISKERS & WHISKY-1,WHISKERS & WHISKY,12,20,0.069905,0.0,0.04304,31011.4,BAL 95%; DET 3%; DAL 1%
80,PARLAY K-1,PARLAY K,12,20,0.057554,0.0,0.0468,30868.23,BAL 96%; DET 3%
81,PeeryBruce-3,PeeryBruce,12,20,0.089108,0.0,0.03824,30856.18,DET 32%; PHI 30%; KC 23%
82,KENNYZ816-1,KENNYZ816,12,20,0.065331,0.0,0.0472,30805.09,BAL 57%; PHI 38%; KC 3%
83,MOLLYWALL18-6,MOLLYWALL18,12,20,0.082867,0.0,0.04584,30626.73,BAL 63%; PHI 35%; DET 2%
84,CottageKelly-9,CottageKelly,12,20,0.075951,0.0,0.03808,30592.42,BAL 64%; PHI 35%
85,GAMBLORDS-2,GAMBLORDS,12,20,0.080346,0.0,0.04304,30453.4,BAL 55%; PHI 42%; DET 2%
86,MAN OF THE PEOPLE-6,MAN OF THE PEOPLE,12,20,0.051442,0.0,0.02144,30452.23,KC 44%; DET 36%; DAL 13%
87,YEAR OF JUSTICE-2,YEAR OF JUSTICE,12,20,0.064691,0.0,0.04616,30439.56,BAL 62%; PHI 34%; KC 3%
88,FULLTIME FANTASY-8,FULLTIME FANTASY,12,20,0.074588,0.0,0.03576,30344.61,BAL 58%; PHI 41%
89,Maga Bros-5,Maga Bros,12,20,0.073316,0.0,0.03144,30327.54,PHI 91%; KC 6%; DAL 2%
90,BHASSAN-3,BHASSAN,12,20,0.061374,0.0,0.02312,30268.42,KC 72%; DAL 21%; CIN 7%
91,WILLY BALTERS-3,WILLY BALTERS,12,20,0.074257,0.0,0.04224,30223.29,BAL 98%; DAL 1%
92,LYNDARNIO.-4,LYNDARNIO.,12,20,0.081948,0.0,0.03704,30141.34,BAL 64%; PHI 35%
93,THE CREW-2,THE CREW,12,20,0.06026,0.0,0.03352,30107.47,PHI 87%; KC 7%; DET 5%
94,JUICY KEWCHI-9,JUICY KEWCHI,12,20,0.077201,0.0,0.0336,29988.38,PHI 85%; DAL 12%; CHI 3%
95,THE MENDOZA LINE-1,THE MENDOZA LINE,12,20,0.058322,0.0,0.03816,29975.28,BAL 94%; KC 4%; DAL 1%
96,MILA-1,MILA,12,20,0.045185,0.0,0.02144,29916.56,KC 73%; DAL 22%; CHI 5%
97,AMERICAS TEAM-1,AMERICAS TEAM,12,20,0.07342,0.0,0.04432,29780.96,BAL 62%; PHI 34%; KC 3%
98,GEORGE S PATTON-1,GEORGE S PATTON,12,20,0.067877,0.0,0.0436,29763.2,BAL 92%; KC 4%; DET 3%
99,WE WANT THE MEATS-5,WE WANT THE MEATS,12,20,0.089277,0.0,0.04848,29761.24,PHI 86%; KC 6%; DET 5%
100,DETROIT ROCK CITY-1,DETROIT ROCK CITY,12,20,0.074278,0.0,0.0388,29638.15,BAL 62%; PHI 34%; DET 2%
101,ChristineAndRon-1,ChristineAndRon,12,20,0.096868,0.0,0.03952,29576.73,BAL 61%; PHI 33%; KC 2%
102,ACCORSI-1,ACCORSI,12,20,0.022704,0.0,0.01272,29424.29,DAL 42%; CIN 32%; CHI 26%
103,AAAGOODONES.-5,AAAGOODONES.,12,20,0.076661,0.0,0.05096,29363.85,PHI 87%; DET 5%; GB 5%
104,AUCTION OF CHAMPIONS-4,AUCTION OF CHAMPIONS,12,20,0.07314,0.0,0.04088,29349.88,BAL 61%; PHI 33%; KC 2%
105,Last Chance CT-2,Last Chance CT,12,20,0.059927,0.0,0.02648,29255.22,KC 52%; DAL 20%; CIN 15%
106,BIG TROUBLE-8,BIG TROUBLE,12,20,0.067298,0.0,0.04576,29254.08,BAL 47%; PHI 45%; KC 6%
107,MC702-2,MC702,12,20,0.115248,0.0,0.05088,29170.02,BAL 56%; PHI 43%; DET 2%
108,OMAHA OMAHA 47-8,OMAHA OMAHA 47,12,20,0.076021,0.0,0.04744,29088.77,PHI 86%; KC 6%; DET 5%
109,BABAPICKS-4,BABAPICKS,12,20,0.072917,0.0,0.03568,29037.92,BAL 62%; PHI 34%; KC 3%
110,DIAPERMONEYPICKS6-1,DIAPERMONEYPICKS6,12,20,0.089277,0.0,0.04872,28946.73,PHI 86%; KC 6%; DET 5%
111,Sandler Survivor-2,Sandler Survivor,12,20,0.045787,0.0,0.03056,28891.1,KC 69%; DAL 20%; CIN 6%
112,sharpstick-1,sharpstick,12,20,0.037838,0.0,0.01496,28837.38,DET 64%; DAL 23%; CIN 7%
113,ROYRIBEYERUBBER-1,ROYRIBEYERUBBER,12,20,0.064772,0.0,0.03488,28713.09,BAL 98%; DAL 1%
114,CHEESE-2,CHEESE,12,20,0.070645,0.0,0.03112,28640.19,BAL 63%; PHI 34%; DET 2%
115,YKNAPS-6,YKNAPS,12,20,0.04911,0.0,0.04384,28617.11,PHI 54%; KC 20%; DET 18%
116,RDLOWN-4,RDLOWN,12,20,0.073605,0.0,0.04152,28578.82,BAL 90%; KC 5%; GB 3%
117,OLD MAN PICKS-6,OLD MAN PICKS,12,20,0.073972,0.0,0.04056,28541.73,BAL 64%; PHI 35%
118,HTOWNPKR-6,HTOWNPKR,12,20,0.066514,0.0,0.03472,28476.47,BAL 91%; PHI 8%; DAL 1%
119,TICKETSBYGUS-5,TICKETSBYGUS,12,20,0.069458,0.0,0.03384,28365.31,BAL 62%; PHI 34%; KC 3%
120,ACCORSI-9,ACCORSI,12,20,0.024986,0.0,0.01848,28334.15,DAL 51%; CHI 49%
121,meat men-8,meat men,12,20,0.075951,0.0,0.03712,28327.46,BAL 64%; PHI 35%
122,Dan The Dentist-1,Dan The Dentist,12,20,0.086093,0.0,0.04264,28324.19,BAL 62%; PHI 34%; KC 3%
123,DELILAHS DREAM-4,DELILAHS DREAM,12,20,0.052527,0.0,0.03408,28280.07,BAL 92%; KC 4%; DET 3%
124,AMERICAN FLYER-2,AMERICAN FLYER,12,20,0.054236,0.0,0.0392,28231.44,BAL 95%; KC 4%
125,Browna-2,Browna,12,20,0.079053,0.0,0.04728,28205.68,BAL 98%; DAL 1%
126,RON & MIKE FOREVER-2,RON & MIKE FOREVER,12,20,0.059927,0.0,0.02904,28160.07,KC 72%; DAL 21%; CIN 7%
127,MISSUS-8,MISSUS,12,20,0.052204,0.0,0.03608,28117.15,BAL 77%; KC 21%; CIN 2%
128,WARD BOYS-2,WARD BOYS,12,20,0.056967,0.0,0.042,28109.66,PHI 91%; KC 7%; DAL 2%
129,LAPISTOLA 442-5,LAPISTOLA 442,12,20,0.052382,0.0,0.01872,28046.34,KC 44%; DET 36%; DAL 13%
130,__IGITRDONE!-2,__IGITRDONE!,12,20,0.050241,0.0,0.028,28043.75,KC 49%; DET 43%; CIN 5%
131,JT MONEY SURVIVE-5,JT MONEY SURVIVE,12,20,0.06453,0.0,0.03112,28035.45,BAL 63%; PHI 34%; GB 2%
132,Samurai Soldiers-1,Samurai Soldiers,12,20,0.069905,0.0,0.0384,28020.86,BAL 95%; DET 3%; DAL 1%
133,NATIONOFDAMMANNATION-1,NATIONOFDAMMANNATION,12,20,0.064691,0.0,0.04424,27907.67,BAL 62%; PHI 34%; KC 3%
134,SLOPPY BRIE-10,SLOPPY BRIE,12,20,0.056507,0.0,0.04584,27888.39,BAL 96%; DET 3%; PHI 1%
135,LEAPINGLIZARDS-5,LEAPINGLIZARDS,12,20,0.056734,0.0,0.03128,27881.35,BAL 99%
136,BALLZB4BRAINZ-2,BALLZB4BRAINZ,12,20,0.064873,0.0,0.04072,27786.23,BAL 64%; PHI 35%
137,WAGS45-2,WAGS45,12,20,0.052451,0.0,0.02912,27761.86,BAL 97%; DAL 2%
138,BISONSPORTSCARDS-2,BISONSPORTSCARDS,12,20,0.051237,0.0,0.02984,27731.0,BAL 62%; PHI 34%; DET 2%
139,THE PREGNANT ONE-1,THE PREGNANT ONE,12,20,0.047426,0.0,0.02816,27696.6,PHI 91%; KC 7%; DAL 2%
140,BET THE RENT-1,BET THE RENT,12,20,0.05281,0.0,0.04688,27669.23,BAL 93%; KC 4%; DET 3%
141,HONKEY RED-5,HONKEY RED,12,20,0.081819,0.0,0.03144,27647.55,BAL 47%; PHI 45%; KC 6%
142,HEBREW HUSTLERS-2,HEBREW HUSTLERS,12,20,0.058322,0.0,0.03528,27562.94,BAL 94%; KC 4%; DAL 1%
143,WHO IS MO 86-6,WHO IS MO 86,12,20,0.093171,0.0,0.0416,27503.27,PHI 61%; KC 27%; DAL 9%
144,GRANDROUGE-1,GRANDROUGE,12,20,0.070728,0.0,0.03144,27480.69,BAL 63%; PHI 34%; KC 3%
145,TIAPAO-9,TIAPAO,12,20,0.078302,0.0,0.04096,27477.34,BAL 64%; PHI 35%
146,FREEDOM_ROCKETS-8,FREEDOM_ROCKETS,12,20,0.08373,0.0,0.03552,27440.4,PHI 86%; KC 6%; GB 5%
147,KING OF PAIN-9,KING OF PAIN,12,20,0.079419,0.0,0.03032,27381.98,PHI 90%; KC 7%; DAL 2%
148,GREY GHOST-1,GREY GHOST,12,20,0.076021,0.0,0.0448,27370.37,PHI 86%; KC 6%; DET 5%
149,GMAN-1,GMAN,12,20,0.070982,0.0,0.04168,27368.15,BAL 95%; KC 4%; DAL 1%
150,DO NOT FORGET-1,DO NOT FORGET,12,20,0.076275,0.0,0.02408,27342.6,KC 69%; DAL 20%; CIN 6%
151,CHASING 23-2,CHASING 23,12,20,0.088333,0.0,0.036,27303.89,BAL 63%; PHI 34%; DET 2%
152,HONKEY RED-2,HONKEY RED,12,20,0.088079,0.0,0.04584,27208.4,BAL 62%; PHI 34%; KC 3%
153,BRT-2,BRT,12,20,0.063676,0.0,0.05184,27147.23,BAL 63%; PHI 34%; DET 2%
154,TEAM WISCO-1,TEAM WISCO,12,20,0.058607,0.0,0.0324,27110.72,BAL 95%; DET 3%; DAL 1%
155,RDEE-1,RDEE,12,20,0.063927,0.0,0.02904,27102.73,BAL 94%; KC 4%; DAL 1%
156,HTX2025-8,HTX2025,12,20,0.070982,0.0,0.04104,27096.82,BAL 95%; KC 4%; DAL 1%
157,THE FACTOR-6,THE FACTOR,12,20,0.065428,0.0,0.04424,27087.07,BAL 89%; DAL 7%; CIN 2%
158,MELLO JETS-3,MELLO JETS,12,20,0.063709,0.0,0.03464,26951.42,BAL 98%; DAL 1%
159,COACH GENE BOB-1,COACH GENE BOB,12,20,0.06278,0.0,0.02912,26946.17,BAL 94%; KC 4%; DAL 1%
160,CHIP AND CHAIR-3,CHIP AND CHAIR,12,20,0.074588,0.0,0.03696,26897.12,BAL 64%; PHI 35%
161,MAXIMUM GOLD-10,MAXIMUM GOLD,12,20,0.075404,0.0,0.0328,26891.04,BAL 96%; KC 3%
162,NOM1493-9,NOM1493,12,20,0.059927,0.0,0.0288,26840.2,KC 72%; DAL 21%; CIN 7%
163,ACCORSI-3,ACCORSI,12,20,0.027163,0.0,0.01704,26810.73,DAL 36%; CIN 33%; CHI 31%
164,LIGHTS OUT-2,LIGHTS OUT,12,20,0.074588,0.0,0.03512,26782.44,BAL 64%; PHI 35%
165,PeeryBruce-10,PeeryBruce,12,20,0.074278,0.0,0.0348,26741.99,BAL 96%; DET 2%; PHI 2%
166,SLEEPY 2-1,SLEEPY 2,12,20,0.06744,0.0,0.03096,26723.78,BAL 98%; DAL 1%
167,Alex's Armada-1,Alex's Armada,12,20,0.066169,0.0,0.04056,26718.94,PHI 88%; KC 7%; GB 5%
168,JUICY KEWCHI-6,JUICY KEWCHI,12,20,0.08597,0.0,0.03672,26677.05,KC 64%; PHI 22%; DAL 14%
169,THE PREGNANT ONE-3,THE PREGNANT ONE,12,20,0.060393,0.0,0.03016,26605.62,BAL 59%; PHI 26%; KC 11%
170,GODEVILS42-1,GODEVILS42,12,20,0.068869,0.0,0.0392,26504.82,BAL 61%; PHI 33%; KC 2%
171,SCOTTOMATIC-10,SCOTTOMATIC,12,20,0.085808,0.0,0.04112,26475.13,BAL 98%; DAL 1%
172,ITSTARTSWITHABET-2,ITSTARTSWITHABET,12,20,0.073972,0.0,0.04024,26437.28,BAL 43%; PHI 43%; DAL 11%
173,TOP PICKS ANALYTICS-5,TOP PICKS ANALYTICS,12,20,0.071195,0.0,0.05368,26434.92,PHI 88%; KC 7%; GB 5%
174,BRONCO NATION NEWS-2,BRONCO NATION NEWS,12,20,0.074962,0.0,0.03112,26433.99,BAL 95%; KC 4%; DAL 1%
175,SHIP IT-1,SHIP IT,12,20,0.084207,0.0,0.0524,26357.6,PHI 88%; KC 7%; DET 5%
176,MAKS DADDY-2,MAKS DADDY,12,20,0.074697,0.0,0.0448,26331.82,PHI 91%; KC 7%; DAL 2%
177,THE HUDDLE-4,THE HUDDLE,12,20,0.068885,0.0,0.04376,26314.25,PHI 97%; DAL 2%
178,C3 PICKS-2,C3 PICKS,12,20,0.075114,0.0,0.0336,26206.2,BAL 95%; KC 4%; DAL 1%
179,MIDNIGHT LUTE-3,MIDNIGHT LUTE,12,20,0.070982,0.0,0.04056,26186.6,BAL 95%; KC 4%; DAL 1%
180,SAMMY SADIST ON OF-8,SAMMY SADIST ON OF,12,20,0.053759,0.0,0.03632,26172.05,PHI 47%; KC 45%; CIN 8%
181,FARLEYBETS-1,FARLEYBETS,12,20,0.074588,0.0,0.03952,26133.61,BAL 64%; PHI 35%
182,GR81-1,GR81,12,20,0.062015,0.0,0.04192,26109.95,BAL 61%; PHI 34%; DET 2%
183,ITSTARTSWITHABET-6,ITSTARTSWITHABET,12,20,0.073972,0.0,0.0412,26091.21,BAL 64%; PHI 35%
184,WSOP VETEREN-1,WSOP VETEREN,12,20,0.062844,0.0,0.03632,26049.66,BAL 62%; PHI 34%; KC 3%
185,EAGLE2037-2,EAGLE2037,12,20,0.062533,0.0,0.04512,25900.37,BAL 63%; PHI 34%; DET 2%
186,DOUBLEAA-1,DOUBLEAA,12,20,0.047946,0.0,0.02704,25819.72,BAL 99%; DAL 1%
187,VOLARE CIECO-4,VOLARE CIECO,12,20,0.070728,0.0,0.03968,25812.43,BAL 62%; PHI 34%; KC 3%
188,BEAR DOWN-7,BEAR DOWN,12,20,0.060966,0.0,0.03216,25812.18,PHI 93%; GB 5%; DAL 2%
189,MR LUCKY-4,MR LUCKY,12,20,0.074588,0.0,0.03592,25705.27,BAL 91%; PHI 8%; DAL 1%
190,RPB4FUN-2,RPB4FUN,12,20,0.067463,0.0,0.04656,25700.22,PHI 82%; KC 6%; DET 5%
191,AAA 4 LIFE-1,AAA 4 LIFE,12,20,0.076488,0.0,0.03992,25697.8,BAL 92%; KC 4%; DET 3%
192,2 DUDES & A SHRINK-1,2 DUDES & A SHRINK,12,20,0.067298,0.0,0.04672,25691.43,BAL 63%; PHI 34%; KC 3%
193,BOLIEVERS-1,BOLIEVERS,12,20,0.069708,0.0,0.03248,25573.72,BAL 94%; KC 4%; DAL 1%
194,Admiral50-9,Admiral50,12,20,0.064458,0.0,0.0416,25489.89,PHI 92%; DET 6%; DAL 2%
195,JUST SAY YES-3,JUST SAY YES,12,20,0.057202,0.0,0.04152,25483.2,PHI 91%; DET 6%; DAL 2%
196,PRINCE GEORGE-2,PRINCE GEORGE,12,20,0.060303,0.0,0.0312,25430.99,PHI 91%; DET 6%; DAL 2%
197,Vegas Casino Talk-2,Vegas Casino Talk,12,20,0.073537,0.0,0.0364,25361.82,BAL 63%; PHI 34%; DET 2%
198,THE PREGNANT ONE-2,THE PREGNANT ONE,12,20,0.054945,0.0,0.02088,25355.12,BAL 88%; PHI 8%; KC 3%
199,POPS 3284-5,POPS 3284,12,20,0.070728,0.0,0.03456,25353.53,BAL 62%; PHI 34%; KC 3%
200,Toddvada-1,Toddvada,12,20,0.075114,0.0,0.03312,25257.21,BAL 94%; KC 5%; DAL 1%
201,NEXT MAN UP-2,NEXT MAN UP,12,20,0.0557,0.0,0.04352,25215.38,BAL 63%; PHI 34%; KC 3%
202,MIAMIJIM-9,MIAMIJIM,12,20,0.068649,0.0,0.04032,25203.66,BAL 98%; DAL 1%
203,Sam + Son-3,Sam + Son,12,20,0.041698,0.0,0.03168,25177.56,BAL 93%; KC 4%; DET 3%
204,Mrs. SGS-8,Mrs. SGS,12,20,0.076389,0.0,0.03696,25174.08,BAL 62%; PHI 34%; KC 3%
205,HALPYS ARMY-5,HALPYS ARMY,12,20,0.097597,0.0,0.04656,25085.43,PHI 97%; DAL 2%
206,THE BLEZ-9,THE BLEZ,12,20,0.07341,0.0,0.03584,25082.28,BAL 62%; PHI 34%; KC 3%
207,COLINOC14-4,COLINOC14,12,20,0.049251,0.0,0.04264,25044.09,PHI 69%; DET 29%; CHI 2%
208,M.D.K.-1,M.D.K.,12,20,0.051546,0.0,0.04472,24990.21,PHI 84%; KC 6%; DET 5%
209,FRUIT FANATICS-6,FRUIT FANATICS,12,20,0.059927,0.0,0.02664,24946.4,KC 72%; DAL 21%; CIN 7%
210,BURNIN GREENS-2,BURNIN GREENS,12,20,0.081242,0.0,0.03728,24944.14,PHI 90%; KC 7%; DAL 2%
211,LOSTWALLET-6,LOSTWALLET,12,20,0.077901,0.0,0.03752,24938.88,BAL 63%; PHI 34%; DET 2%
212,TALLEY'S!-7,TALLEY'S!,12,20,0.078557,0.0,0.03288,24938.38,PHI 90%; KC 7%; DAL 2%
213,CINNAMONSUNDAY-2,CINNAMONSUNDAY,12,20,0.068546,0.0,0.02784,24893.41,BAL 55%; PHI 42%; KC 3%
214,DAVEGARAY219-4,DAVEGARAY219,12,20,0.064147,0.0,0.02784,24874.17,PHI 91%; KC 7%; DAL 2%
215,CINCYBLOOD-2,CINCYBLOOD,12,20,0.083302,0.0,0.04648,24868.82,PHI 97%; DAL 2%
216,TANKO DESTRUCTO-6,TANKO DESTRUCTO,12,20,0.057115,0.0,0.02328,24784.29,KC 69%; DAL 19%; CIN 7%
