rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,Practice Squad QB-2,Practice Squad QB,16,16,0.524656,0.0,0.47256,34364.76,CHI 54%; KC 37%; DAL 2%
17,7- Out-1,7- Out,16,16,0.456877,0.0,0.39704,26686.93,CHI 47%; TB 18%; CLE 16%
18,JakestroJans-1,JakestroJans,16,16,0.485023,0.0,0.4316,26540.97,CHI 81%; BUF 7%; DAL 3%
19,Slick Rick11-1,Slick Rick11,16,16,0.475748,0.0,0.43936,26227.93,CHI 67%; NO 16%; BAL 5%
20,Jimmy Wiseguy-1,Jimmy Wiseguy,16,16,0.456877,0.0,0.39912,26176.63,CHI 53%; TB 20%; CLE 18%
21,HMA-1,HMA,16,16,0.443602,0.0,0.3796,26028.32,CHI 50%; TB 19%; CLE 17%
22,PRESENCE-5,PRESENCE,16,16,0.505662,0.0,0.41688,25838.16,CHI 63%; CLE 21%; GB 5%
23,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,16,16,0.450147,0.0,0.36224,25786.72,CHI 45%; KC 31%; CLE 15%
24,Marphil-1,Marphil,16,16,0.495993,0.0,0.43248,25633.91,CHI 63%; CLE 21%; BAL 5%
25,COLTS45-2,COLTS45,16,16,0.463617,0.0,0.37232,25606.04,CHI 54%; KC 37%; DAL 2%
26,Pauline Park-4,Pauline Park,16,16,0.456877,0.0,0.38976,25575.23,CHI 63%; TB 24%; DAL 3%
27,BLOW OUT-1,BLOW OUT,16,16,0.449894,0.0,0.38272,25527.27,CHI 52%; TB 20%; NO 13%
28,BullsBearsSheep-1,BullsBearsSheep,16,16,0.446833,0.0,0.37824,25478.45,CHI 65%; CLE 22%; DAL 3%
29,LoveMyBaxter-1,LoveMyBaxter,16,16,0.456877,0.0,0.41552,25455.0,CHI 63%; TB 24%; DAL 2%
30,SUSAN7UP-1,SUSAN7UP,16,16,0.456877,0.0,0.38552,25005.48,CHI 53%; TB 20%; CLE 18%
31,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,16,16,0.517029,0.0,0.42856,24980.57,CHI 63%; TB 24%; DAL 2%
32,MK INVEST-1,MK INVEST,16,16,0.485023,0.0,0.44568,24980.23,CHI 77%; GB 6%; BAL 6%
33,LOS GUAPOS-1,LOS GUAPOS,16,16,0.446833,0.0,0.38256,24823.85,CHI 55%; CLE 19%; NO 13%
34,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,16,16,0.475748,0.0,0.40784,24815.18,CHI 55%; GB 11%; BAL 10%
35,EX-FINANCE-1,EX-FINANCE,16,16,0.446833,0.0,0.3944,24803.68,CHI 66%; CLE 22%; DAL 3%
36,BOBBYT-2,BOBBYT,16,16,0.485023,0.0,0.41344,24796.03,CHI 69%; NO 17%; DAL 3%
37,Anonymous Donors-1,Anonymous Donors,16,16,0.446833,0.0,0.37784,24394.39,CHI 66%; CLE 22%; DAL 3%
38,Rip Wheeler-1,Rip Wheeler,16,16,0.485023,0.0,0.44896,24386.28,CHI 75%; BUF 7%; BAL 6%
39,Staying Alive-4,Staying Alive,16,16,0.475748,0.0,0.42568,24141.97,CHI 75%; BUF 7%; BAL 6%
40,BALD RAZORS-2,BALD RAZORS,16,16,0.475748,0.0,0.41624,24134.61,CHI 67%; NO 16%; BAL 5%
41,MOMO-1,MOMO,16,16,0.446833,0.0,0.37456,24041.17,CHI 56%; CLE 19%; NO 13%
42,CLARKGRIZWOLD-2,CLARKGRIZWOLD,16,16,0.456877,0.0,0.39192,24026.54,CHI 63%; TB 24%; DAL 2%
43,LoveMyBaxter-2,LoveMyBaxter,16,16,0.456877,0.0,0.39432,23770.12,CHI 39%; TB 33%; DAL 5%
44,Perfect Pint-1,Perfect Pint,16,16,0.422044,0.0,0.32704,23531.95,CHI 66%; NO 16%; HOU 8%
45,WHERE'S LUNCH-2,WHERE'S LUNCH,16,16,0.475748,0.0,0.4384,23346.82,CHI 78%; BAL 6%; DAL 3%
46,Artie Blanco-1,Artie Blanco,16,16,0.485023,0.0,0.41336,23152.47,CHI 80%; BAL 6%; WAS 3%
47,DR B-2,DR B,16,16,0.421002,0.0,0.35688,23129.04,CHI 62%; CLE 21%; HOU 7%
48,LOGICIANS-2,LOGICIANS,16,16,0.428595,0.0,0.36056,22394.73,CHI 77%; BUF 7%; DAL 3%
49,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,16,16,0.421002,0.0,0.3736,22213.4,CHI 66%; CLE 22%; DAL 3%
50,THAWK-1,THAWK,16,16,0.475748,0.0,0.43696,21943.38,CHI 80%; BAL 6%; DAL 3%
51,SHAMWOW.-1,SHAMWOW.,16,16,0.428595,0.0,0.34832,21452.55,CHI 70%; NO 17%; DAL 3%
52,PLAYIN N STAYIN-1,PLAYIN N STAYIN,16,16,0.419839,0.0,0.31144,20905.93,CHI 77%; HOU 9%; DAL 3%
53,Accorsi-1,Accorsi,16,16,0.391993,0.0,0.34232,20667.42,CHI 62%; CLE 21%; HOU 7%
