rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,DaliBones-1,DaliBones,15,17,0.325506,0.0,0.26536,23583.01,TEN 36%; BAL 34%; ARI 13%
40,Texas Bound.-1,Texas Bound.,15,17,0.312192,0.0,0.26672,16676.18,TEN 45%; BAL 41%; MIN 5%
41,COLTS45-2,COLTS45,15,17,0.341219,0.0,0.2652,16587.56,TEN 38%; BAL 35%; ARI 14%
42,BizzyBettor-2,BizzyBettor,15,17,0.336941,0.0,0.27368,16533.0,LA 82%; ARI 9%; MIN 3%
43,Cuddy120-1,Cuddy120,15,17,0.313243,0.0,0.24976,16440.06,TEN 56%; PIT 25%; SF 5%
44,Pauline Park-4,Pauline Park,15,17,0.294149,0.0,0.24848,16433.7,TEN 57%; ARI 21%; MIN 6%
45,LoveMyBaxter-1,LoveMyBaxter,15,17,0.294149,0.0,0.2352,16432.87,TEN 58%; ARI 21%; SF 6%
46,Artie Blanco-1,Artie Blanco,15,17,0.35134,0.0,0.2712,16402.0,TEN 38%; BAL 36%; ARI 14%
47,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,15,17,0.312192,0.0,0.26904,16318.5,TEN 41%; GB 31%; BAL 12%
48,SUNFLOWER-1,SUNFLOWER,15,17,0.281824,0.0,0.25056,16314.92,TEN 72%; SF 7%; TB 5%
49,MK INVEST-1,MK INVEST,15,17,0.35134,0.0,0.29048,16299.6,TEN 33%; BAL 31%; GB 25%
50,Cubby-1,Cubby,15,17,0.325506,0.0,0.262,16122.35,TEN 36%; BAL 33%; PIT 16%
51,7- Out-1,7- Out,15,17,0.283837,0.0,0.23176,16046.71,ARI 48%; SF 13%; TB 8%
52,SUSAN7UP-1,SUSAN7UP,15,17,0.283837,0.0,0.21752,15893.07,ARI 47%; SF 13%; TB 8%
53,WARDOG-2,WARDOG,15,17,0.318249,0.0,0.23096,15758.95,LA 81%; ARI 9%; MIN 3%
54,MOMO-1,MOMO,15,17,0.293762,0.0,0.24376,15579.2,TEN 58%; ARI 22%; SF 6%
55,WWCD 2-1,WWCD 2,15,17,0.303428,0.0,0.23608,15500.86,TEN 56%; PIT 25%; SF 6%
56,LOS GUAPOS-1,LOS GUAPOS,15,17,0.293762,0.0,0.2536,15406.44,TEN 60%; ARI 22%; LV 4%
57,BOBBYT-2,BOBBYT,15,17,0.312259,0.0,0.25072,15405.15,TEN 58%; ARI 21%; SF 6%
58,Slick Rick11-1,Slick Rick11,15,17,0.312192,0.0,0.2572,15318.92,TEN 42%; BAL 39%; MIN 5%
59,HMA-1,HMA,15,17,0.28267,0.0,0.23336,15231.85,TEN 60%; ARI 22%; TB 4%
60,LoveMyBaxter-2,LoveMyBaxter,15,17,0.294149,0.0,0.23168,15217.86,TEN 35%; ARI 27%; SF 10%
61,Staying Alive-4,Staying Alive,15,17,0.312192,0.0,0.2704,15217.79,TEN 41%; BAL 38%; BUF 5%
62,BLOW OUT-1,BLOW OUT,15,17,0.283236,0.0,0.18488,15199.46,ARI 48%; SF 13%; TB 8%
63,Jimmy Wiseguy-1,Jimmy Wiseguy,15,17,0.294149,0.0,0.2408,15005.41,TEN 60%; ARI 22%; TB 4%
64,Sting-4,Sting,15,17,0.302622,0.0,0.2044,14989.87,TEN 59%; ARI 22%; SF 6%
65,THAWK-1,THAWK,15,17,0.312192,0.0,0.24192,14885.06,TEN 43%; BAL 40%; MIN 5%
66,Marphil-1,Marphil,15,17,0.330527,0.0,0.26968,14797.82,TEN 46%; BAL 42%; LV 3%
67,WHERE'S LUNCH-2,WHERE'S LUNCH,15,17,0.312192,0.0,0.27176,14219.25,TEN 39%; BAL 36%; ARI 14%
68,CNT WALK-1,CNT WALK,15,17,0.303827,0.0,0.23048,14134.22,TEN 56%; PIT 24%; SF 5%
69,BullsBearsSheep-1,BullsBearsSheep,15,17,0.293762,0.0,0.23144,14012.17,TEN 56%; ARI 21%; MIN 6%
70,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,15,17,0.303428,0.0,0.2392,13953.1,TEN 46%; PIT 20%; ARI 17%
71,Anonymous Donors-1,Anonymous Donors,15,17,0.293762,0.0,0.23792,13381.92,TEN 57%; ARI 21%; MIN 6%
72,BALD RAZORS-2,BALD RAZORS,15,17,0.312192,0.0,0.25192,13049.41,TEN 42%; BAL 39%; MIN 5%
73,BMAC-5,BMAC,15,17,0.300801,0.0,0.21816,12936.92,TEN 36%; GB 28%; PIT 16%
74,Perfect Pint-1,Perfect Pint,15,17,0.276878,0.0,0.20256,12828.17,TEN 56%; ARI 21%; MIN 6%
75,SHAMWOW.-1,SHAMWOW.,15,17,0.277466,0.0,0.24024,12739.84,TEN 69%; MIN 8%; SF 7%
76,Accorsi-1,Accorsi,15,17,0.244617,0.0,0.19392,12643.53,ARI 48%; SF 13%; SEA 9%
77,DR B-2,DR B,15,17,0.266108,0.0,0.1856,12547.55,ARI 58%; LV 9%; CLE 6%
78,LOGICIANS-2,LOGICIANS,15,17,0.277466,0.0,0.20904,11981.16,TEN 56%; ARI 21%; BUF 7%
79,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,15,17,0.282298,0.0,0.24144,11787.67,TEN 59%; ARI 22%; SF 6%
80,SPS-3,SPS,15,17,0.286595,0.0,0.2224,11475.21,TEN 48%; PIT 21%; ARI 18%
81,PLAYIN N STAYIN-1,PLAYIN N STAYIN,15,17,0.295842,0.0,0.18928,11343.97,TEN 41%; GB 31%; ARI 15%
82,RG-2,RG,15,17,0.267739,0.0,0.18504,10910.42,ARI 47%; MIN 14%; SF 13%
