rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,BOBBYT-2,BOBBYT,14,18,0.237168,0.0,0.18088,35012.07,NO 34%; TEN 26%; CAR 10%
49,SIN CITY LORI-1,SIN CITY LORI,14,18,0.245782,0.0,0.22776,14083.21,SEA 94%; CAR 2%; SF 1%
50,DOZER-1,DOZER,14,18,0.233725,0.0,0.2156,14033.32,SEA 95%; CAR 2%; SF 1%
51,LoveMyBaxter-1,LoveMyBaxter,14,18,0.210857,0.0,0.19264,14026.31,SEA 90%; TEN 4%; CAR 2%
52,COLTS45-2,COLTS45,14,18,0.242593,0.0,0.21568,13970.89,SEA 91%; TEN 4%; CAR 2%
53,YEEGONE2-3,YEEGONE2,14,18,0.246601,0.0,0.20688,13892.36,SEA 90%; TEN 4%; CAR 2%
54,MOMO-1,MOMO,14,18,0.213986,0.0,0.194,13757.08,SEA 86%; NO 5%; TEN 4%
55,Pauline Park-4,Pauline Park,14,18,0.210857,0.0,0.19112,13697.7,SEA 90%; TEN 4%; CAR 2%
56,Scrlou41-1,Scrlou41,14,18,0.223615,0.0,0.1756,13680.88,SEA 89%; NO 5%; CAR 2%
57,Rip Wheeler-1,Rip Wheeler,14,18,0.240291,0.0,0.2208,13675.76,SEA 94%; CAR 2%; SF 1%
58,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,14,18,0.217444,0.0,0.19424,13662.9,SEA 91%; TEN 4%; CAR 2%
59,EX-FINANCE-1,EX-FINANCE,14,18,0.233725,0.0,0.20232,13614.88,SEA 95%; CAR 2%; SF 1%
60,PUFFALUPPS-2,PUFFALUPPS,14,18,0.245782,0.0,0.24,13588.03,SEA 94%; CAR 2%; SF 1%
61,Larry B 27-3,Larry B 27,14,18,0.229083,0.0,0.19304,13481.88,SEA 86%; NO 5%; TEN 4%
62,7- Out-1,7- Out,14,18,0.211643,0.0,0.17648,13324.18,SEA 89%; NO 5%; CAR 2%
63,WARDOG-2,WARDOG,14,18,0.229083,0.0,0.1908,13321.1,SEA 89%; NO 5%; CAR 2%
64,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,14,18,0.219141,0.0,0.22096,13291.65,SEA 57%; TEN 17%; CAR 6%
65,GULF COAST GURU-1,GULF COAST GURU,14,18,0.262139,0.0,0.19912,13244.22,SEA 91%; TEN 4%; CAR 2%
66,Sting-4,Sting,14,18,0.187858,0.0,0.16864,13235.6,SEA 86%; NO 5%; TEN 4%
67,Follow Proto-1,Follow Proto,14,18,0.245782,0.0,0.20288,13225.43,SEA 94%; CAR 2%; SF 1%
68,Jimmy Wiseguy-1,Jimmy Wiseguy,14,18,0.210857,0.0,0.19104,12997.26,SEA 90%; TEN 4%; CAR 2%
69,THE GREATEST DANCER-2,THE GREATEST DANCER,14,18,0.234046,0.0,0.19728,12941.99,SEA 86%; NO 5%; TEN 4%
70,SUNFLOWER-1,SUNFLOWER,14,18,0.198775,0.0,0.17136,12899.25,SEA 90%; TEN 4%; CAR 2%
71,Staying Alive-4,Staying Alive,14,18,0.219695,0.0,0.2112,12887.89,SEA 90%; TEN 4%; CAR 2%
72,LoveMyBaxter-2,LoveMyBaxter,14,18,0.210857,0.0,0.17512,12488.12,SEA 60%; TEN 15%; CAR 6%
73,Artie Blanco-1,Artie Blanco,14,18,0.239684,0.0,0.22472,12222.43,SEA 91%; TEN 4%; CAR 2%
74,BMAC-5,BMAC,14,18,0.211629,0.0,0.18576,12149.54,SEA 90%; TEN 4%; CAR 2%
75,Perfect Pint-1,Perfect Pint,14,18,0.177311,0.0,0.15968,11728.83,SEA 86%; NO 5%; TEN 4%
76,SUSAN7UP-1,SUSAN7UP,14,18,0.205803,0.0,0.1704,11612.21,SEA 93%; CAR 2%; TB 1%
77,WHERE'S LUNCH-2,WHERE'S LUNCH,14,18,0.219141,0.0,0.21008,11436.9,SEA 91%; TEN 4%; CAR 2%
78,Squid-5,Squid,14,18,0.196666,0.0,0.14912,11425.83,SEA 93%; CAR 2%; TB 1%
79,SHAMWOW.-1,SHAMWOW.,14,18,0.200634,0.0,0.16728,11380.41,SEA 86%; NO 5%; TEN 4%
80,Anonymous Donors-1,Anonymous Donors,14,18,0.208081,0.0,0.19368,11332.13,SEA 91%; TEN 4%; CAR 2%
81,Puppy Kisses-1,Puppy Kisses,14,18,0.191582,0.0,0.15872,11264.63,SEA 57%; NO 22%; CAR 6%
82,BullsBearsSheep-1,BullsBearsSheep,14,18,0.208081,0.0,0.186,11258.89,SEA 91%; TEN 4%; CAR 2%
83,LOGICIANS-2,LOGICIANS,14,18,0.198235,0.0,0.18112,11246.91,SEA 90%; TEN 4%; CAR 2%
84,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,14,18,0.198843,0.0,0.17488,11219.55,SEA 91%; TEN 4%; CAR 2%
85,PLAYIN N STAYIN-1,PLAYIN N STAYIN,14,18,0.200075,0.0,0.15984,11032.62,SEA 90%; TEN 4%; CAR 2%
86,LOS GUAPOS-1,LOS GUAPOS,14,18,0.213986,0.0,0.19456,10872.3,SEA 87%; NO 5%; TEN 4%
87,THAWK-1,THAWK,14,18,0.219141,0.0,0.20992,10552.51,SEA 91%; TEN 4%; CAR 2%
88,SPS-3,SPS,14,18,0.203876,0.0,0.16648,10359.03,SEA 91%; TEN 4%; CAR 2%
89,Accorsi-1,Accorsi,14,18,0.158984,0.0,0.15008,10072.04,SEA 94%; CAR 2%; SF 1%
