rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SLOPPY BRIE-8,SLOPPY BRIE,14,18,0.182978,0.0,0.13984,650873.57,TB 56%; LA 21%; CLE 7%
22,GREATTHINGS-3,GREATTHINGS,14,18,0.115846,0.0,0.09296,371482.72,TB 66%; SEA 11%; CLE 8%
23,SHOTGUN KEVIN WINS-1,SHOTGUN KEVIN WINS,14,18,0.120783,0.0,0.08256,365816.64,TB 81%; CLE 10%; JAX 4%
24,Last Chance CT-3,Last Chance CT,14,18,0.127815,0.0,0.08136,349046.86,TB 78%; CLE 9%; JAX 4%
25,COSMIC VOLTAGE-3,COSMIC VOLTAGE,14,18,0.131899,0.0,0.09712,348168.29,TB 74%; CLE 9%; MIA 4%
26,Heater City-2,Heater City,14,18,0.106989,0.0,0.08088,344511.99,TB 70%; CLE 8%; DET 7%
27,GaryA-10,GaryA,14,18,0.100824,0.0,0.06504,343301.08,TB 59%; LA 22%; CLE 7%
28,ACCORSI-4,ACCORSI,14,18,0.124482,0.0,0.07528,337488.62,TB 77%; CLE 9%; MIA 4%
29,PLAYERPROPSKING-1,PLAYERPROPSKING,14,18,0.111276,0.0,0.09392,328805.89,TB 62%; BAL 16%; CLE 7%
30,C3 PICKZ-2,C3 PICKZ,14,18,0.10268,0.0,0.08072,315678.33,TB 55%; LA 21%; BUF 9%
31,RIVADERCI-1,RIVADERCI,14,18,0.107792,0.0,0.06824,307494.78,TB 75%; CLE 9%; MIA 4%
32,SAMMY SADIST ON OF-9,SAMMY SADIST ON OF,14,18,0.110673,0.0,0.09248,304337.16,TB 74%; CLE 9%; MIA 4%
33,BRAD LEE-1,BRAD LEE,14,18,0.105362,0.0,0.07056,299473.28,TB 50%; DEN 34%; CLE 6%
34,DYLAN W-8,DYLAN W,14,18,0.112075,0.0,0.08056,295990.4,LA 40%; TB 27%; CLE 11%
35,ACCORSI-1,ACCORSI,14,18,0.086047,0.0,0.06288,294787.38,TB 41%; CLE 19%; MIA 10%
36,THEWESTWINGERS-7,THEWESTWINGERS,14,18,0.086004,0.0,0.08192,290253.44,TB 76%; CLE 9%; MIA 4%
37,DYLAN W-10,DYLAN W,14,18,0.094989,0.0,0.0696,289266.62,TB 69%; SEA 12%; CLE 8%
38,ACCORSI-9,ACCORSI,14,18,0.100042,0.0,0.08808,288689.38,TB 32%; MIA 14%; CLE 13%
39,PURPLE LAMBO-9,PURPLE LAMBO,14,18,0.101728,0.0,0.09648,286287.97,TB 74%; CLE 9%; MIA 4%
40,PARTZ1-9,PARTZ1,14,18,0.119813,0.0,0.06736,284829.66,TB 59%; LA 22%; CLE 7%
41,FRUIT FANATICS-6,FRUIT FANATICS,14,18,0.10024,0.0,0.08632,266958.71,TB 74%; CLE 9%; MIA 4%
42,LAWFIRMOFJCM-6,LAWFIRMOFJCM,14,18,0.093022,0.0,0.05656,258333.33,TB 78%; CLE 9%; MIA 4%
43,ITSTARTSWITHABET-6,ITSTARTSWITHABET,14,18,0.106578,0.0,0.08048,249444.09,TB 66%; BAL 17%; CLE 8%
44,DIME PIECE-5,DIME PIECE,14,18,0.086008,0.0,0.0612,199644.91,TB 75%; CLE 9%; MIA 4%
45,1BTMCO-4,1BTMCO,14,18,0.090546,0.0,0.05936,197403.35,TB 74%; CLE 10%; MIA 5%
