rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAYDATMANHISMONEY-3,PAYDATMANHISMONEY,14,18,0.098308,0.0,0.08632,341989.32,PIT 66%; PHI 22%; NO 7%
41,NFL WISEGUYS-5,NFL WISEGUYS,14,18,0.0,0.0,0.0424,179240.31,PIT 79%; NO 7%; MIA 6%
42,PUMBAPACK9-3,PUMBAPACK9,14,18,0.06937,0.0,0.0572,176567.67,PIT 85%; NO 10%; ARI 2%
43,NFL WISEGUYS-6,NFL WISEGUYS,14,18,0.0,0.0,0.04184,167941.04,PIT 46%; NO 18%; MIA 15%
44,DOG @ JOE FUND 1-1,DOG @ JOE FUND 1,14,18,0.0,0.0,0.04624,166127.04,PIT 76%; NO 9%; TB 7%
45,Greatestdancer1-7,Greatestdancer1,14,18,0.060374,0.0,0.04872,163051.02,PIT 82%; NO 9%; MIN 5%
46,DREAM STAKES-1,DREAM STAKES,14,18,0.0,0.0,0.03896,160725.86,PIT 76%; NO 9%; TB 7%
47,RUBBERINWALL-3,RUBBERINWALL,14,18,0.0,0.0,0.046,153832.25,PIT 76%; NO 9%; TB 7%
48,detroit six mile-3,detroit six mile,14,18,0.056721,0.0,0.0404,151965.25,PIT 77%; NO 9%; MIA 6%
49,IRONGATE-1,IRONGATE,14,18,0.0,0.0,0.04144,140009.7,PIT 76%; NO 9%; MIA 6%
50,2 make the cut-1,2 make the cut,14,18,0.0,0.0,0.02568,138512.41,NO 32%; TB 25%; MIA 24%
51,Tapout59-1,Tapout59,14,18,0.0,0.0,0.03256,127233.49,PIT 85%; NO 10%; ARI 2%
52,Sula-locke-2,Sula-locke,14,18,0.0,0.0,0.02336,120855.76,PIT 79%; NO 9%; TB 7%
