rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,WINNINGANGLE-1,WINNINGANGLE,1,31,0.002235,0.0,0.0012,1192.1,TEN 18%; CLE 14%; TB 10%
56,Fatdaddycool-1,Fatdaddycool,1,31,0.002235,0.0,0.00088,815.12,TEN 18%; CLE 14%; TB 10%
57,JEFF PROBST-5,JEFF PROBST,1,31,0.002247,0.0,0.00096,811.35,TEN 11%; CLE 10%; TB 9%
58,Coast Life-1,Coast Life,1,31,0.002251,0.0,0.00104,809.11,TEN 17%; CLE 13%; TB 10%
59,ACKATTACK-3,ACKATTACK,1,31,0.001627,0.0,0.00096,809.1,TEN 14%; CLE 12%; TB 10%
60,THE INTANGIBLES-2,THE INTANGIBLES,1,31,0.002247,0.0,0.00104,808.18,TEN 18%; CLE 14%; TB 10%
61,Slick Rick11-1,Slick Rick11,1,31,0.002247,0.0,0.00104,805.29,TEN 18%; CLE 14%; TB 10%
62,ROBERTRUTTER-1,ROBERTRUTTER,1,31,0.002247,0.0,0.0012,802.31,TEN 18%; CLE 14%; TB 10%
63,The Mad Russian-4,The Mad Russian,1,31,0.002247,0.0,0.0008,800.64,TEN 16%; CLE 13%; TB 10%
64,HARDEN DINING HALL-1,HARDEN DINING HALL,1,31,0.002247,0.0,0.0008,799.91,TEN 18%; CLE 14%; TB 10%
65,MK INVEST-1,MK INVEST,1,31,0.002247,0.0,0.00072,799.54,TEN 18%; CLE 14%; TB 10%
66,Gamblers Anonymous-1,Gamblers Anonymous,1,31,0.002235,0.0,0.00088,798.18,TEN 18%; CLE 14%; TB 10%
67,5STPETERS-2,5STPETERS,1,31,0.001627,0.0,0.00088,797.64,TEN 19%; CLE 14%; TB 11%
68,DUCK-2,DUCK,1,31,0.002251,0.0,0.00072,796.97,TEN 12%; CLE 10%; TB 9%
69,Gene Machine-1,Gene Machine,1,31,0.002247,0.0,0.00072,790.98,TEN 18%; CLE 14%; TB 10%
70,BRIAR GREEN-2,BRIAR GREEN,1,31,0.002251,0.0,0.0008,789.5,TEN 15%; CLE 12%; TB 10%
71,SJM-1,SJM,1,31,0.001774,0.0,0.00104,785.35,TEN 12%; CLE 10%; TB 9%
72,THAWK-3,THAWK,1,31,0.002247,0.0,0.00064,780.67,TEN 15%; CLE 13%; TB 10%
73,Cuddy120-1,Cuddy120,1,31,0.002235,0.0,0.00096,778.06,TEN 18%; CLE 14%; TB 10%
74,TAHOE-5,TAHOE,1,31,0.001774,0.0,0.00072,777.87,TEN 13%; CLE 11%; TB 9%
75,Goodfellas-5,Goodfellas,1,31,0.002235,0.0,0.00072,777.63,TEN 11%; CLE 10%; TB 9%
76,Falcon 1-1,Falcon 1,1,31,0.002247,0.0,0.00072,777.16,TEN 18%; CLE 14%; TB 10%
77,KillBillHill-1,KillBillHill,1,31,0.002235,0.0,0.00064,775.77,TEN 18%; CLE 14%; TB 10%
78,FarmVille Boys-1,FarmVille Boys,1,31,0.001627,0.0,0.0008,768.23,TEN 19%; CLE 14%; TB 11%
79,GAMBLEBALLS-2,GAMBLEBALLS,1,31,0.002266,0.0,0.0008,766.05,TEN 11%; CLE 10%; PIT 9%
80,buffalo1-3,buffalo1,1,31,0.002251,0.0,0.00072,766.0,TEN 17%; CLE 13%; TB 10%
81,GAVIN45-3,GAVIN45,1,31,0.002247,0.0,0.00088,763.88,TEN 18%; CLE 14%; TB 10%
82,CAVEHAWKS-2,CAVEHAWKS,1,31,0.002247,0.0,0.00072,760.69,TEN 18%; CLE 14%; TB 10%
83,BOYCOTT 8 PCT-2,BOYCOTT 8 PCT,1,31,0.001774,0.0,0.0008,760.63,TEN 11%; CLE 10%; TB 9%
84,FORTH AND GOAL-1,FORTH AND GOAL,1,31,0.002251,0.0,0.00072,757.04,TEN 17%; CLE 13%; TB 10%
85,Putting on the foil-2,Putting on the foil,1,31,0.002247,0.0,0.00088,754.21,TEN 14%; CLE 12%; TB 10%
86,Mcduffys-2,Mcduffys,1,31,0.002235,0.0,0.0008,753.73,TEN 18%; CLE 14%; TB 10%
87,ORDER UP-1,ORDER UP,1,31,0.002247,0.0,0.00072,753.14,TEN 13%; CLE 12%; TB 10%
88,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,1,31,0.002247,0.0,0.00072,752.24,TEN 18%; CLE 14%; TB 10%
89,HATMAN'S HEADHUNTERS-1,HATMAN'S HEADHUNTERS,1,31,0.002235,0.0,0.00088,750.8,TEN 18%; CLE 14%; TB 10%
90,C.A.G.E-2,C.A.G.E,1,31,0.001627,0.0,0.00064,750.5,TEN 16%; CLE 13%; TB 11%
91,NORTH OF THE BORDER-2,NORTH OF THE BORDER,1,31,0.002251,0.0,0.0008,750.47,TEN 17%; CLE 13%; TB 10%
92,beefaroni-4,beefaroni,1,31,0.002235,0.0,0.0012,749.23,TEN 18%; CLE 14%; TB 10%
93,Pay ASAP-1,Pay ASAP,1,31,0.002251,0.0,0.00072,748.65,TEN 17%; CLE 13%; TB 10%
94,MEDIUM RARE-2,MEDIUM RARE,1,31,0.002235,0.0,0.00104,746.49,TEN 18%; CLE 14%; TB 10%
95,Atw72-1,Atw72,1,31,0.002251,0.0,0.0008,742.05,TEN 17%; CLE 13%; TB 10%
96,BBBH-1,BBBH,1,31,0.002247,0.0,0.00072,733.06,TEN 18%; CLE 14%; TB 10%
97,TD TONY-2,TD TONY,1,31,0.001774,0.0,0.0008,731.35,TEN 18%; CLE 13%; TB 10%
98,Practice Squad QB-1,Practice Squad QB,1,31,0.001627,0.0,0.00072,728.24,TEN 16%; CLE 13%; TB 11%
99,JUICE IS FOR LOSERS-1,JUICE IS FOR LOSERS,1,31,0.001627,0.0,0.00072,725.08,TEN 19%; CLE 14%; TB 11%
100,YEEGONE2-2,YEEGONE2,1,31,0.002247,0.0,0.00072,723.75,TEN 15%; CLE 13%; TB 10%
101,PRAY4DUBB-2,PRAY4DUBB,1,31,0.002247,0.0,0.00064,720.07,TEN 15%; CLE 12%; PIT 11%
102,TOMPAPAGEORGIO-4,TOMPAPAGEORGIO,1,31,0.002247,0.0,0.00056,720.06,TEN 12%; CLE 11%; TB 10%
103,CAJUNWOLF-1,CAJUNWOLF,1,31,0.002247,0.0,0.00064,719.22,TEN 18%; CLE 14%; TB 10%
104,TAPPEDOUTATWALLYS-1,TAPPEDOUTATWALLYS,1,31,0.001774,0.0,0.00072,719.08,TEN 18%; CLE 13%; TB 10%
105,JEFF PROBST-3,JEFF PROBST,1,31,0.002251,0.0,0.00072,716.67,TEN 12%; CLE 10%; TB 9%
106,KPT31920-1,KPT31920,1,31,0.001627,0.0,0.00064,715.9,TEN 19%; CLE 14%; TB 11%
107,PRESENCE-2,PRESENCE,1,31,0.00178,0.0,0.0008,714.83,TEN 15%; CLE 12%; TB 10%
108,Helens Heroes-1,Helens Heroes,1,31,0.002251,0.0,0.00064,714.33,TEN 17%; CLE 13%; TB 10%
109,Gamblinsteve-3,Gamblinsteve,1,31,0.002247,0.0,0.00064,712.31,TEN 14%; CLE 12%; TB 10%
110,Borg-2,Borg,1,31,0.002251,0.0,0.0008,711.56,TEN 17%; CLE 13%; TB 10%
111,HOP THE HARD FOUR-1,HOP THE HARD FOUR,1,31,0.002247,0.0,0.00088,711.53,TEN 18%; CLE 14%; TB 10%
112,zeke-1,zeke,1,31,0.002247,0.0,0.0008,711.14,TEN 18%; CLE 14%; TB 10%
113,THE INTANGIBLES-3,THE INTANGIBLES,1,31,0.002247,0.0,0.00096,707.66,TEN 15%; CLE 13%; TB 10%
114,HORNET.-2,HORNET.,1,31,0.002247,0.0,0.00072,702.54,TEN 15%; CLE 13%; TB 10%
115,ORDER UP-2,ORDER UP,1,31,0.002247,0.0,0.00064,701.14,TEN 18%; CLE 14%; TB 10%
116,JMDTCASH-1,JMDTCASH,1,31,0.002247,0.0,0.0008,697.91,TEN 18%; CLE 14%; TB 10%
117,RICKSKINS-5,RICKSKINS,1,31,0.002235,0.0,0.00072,695.64,TEN 13%; CLE 11%; TB 10%
118,Maverick 03-1,Maverick 03,1,31,0.001855,0.0,0.0008,695.19,TEN 17%; CLE 13%; TB 10%
119,C.A.G.E-3,C.A.G.E,1,31,0.001627,0.0,0.0008,694.5,TEN 14%; CLE 12%; TB 10%
120,KAZBEK-1,KAZBEK,1,31,0.002247,0.0,0.00056,694.25,TEN 18%; CLE 14%; TB 10%
121,XIch-1,XIch,1,31,0.002235,0.0,0.0008,693.36,TEN 15%; CLE 12%; TB 10%
122,SonnyLubickRules-2,SonnyLubickRules,1,31,0.002247,0.0,0.00064,692.36,TEN 18%; CLE 14%; TB 10%
123,WHERE'S LUNCH-3,WHERE'S LUNCH,1,31,0.002247,0.0,0.00056,692.2,TEN 12%; CLE 11%; TB 10%
124,EZ PICKS-1,EZ PICKS,1,31,0.002235,0.0,0.00072,691.43,TEN 18%; CLE 14%; TB 10%
125,WARDOG-2,WARDOG,1,31,0.001774,0.0,0.00072,690.51,TEN 18%; CLE 13%; TB 10%
126,JimmyJam4508-1,JimmyJam4508,1,31,0.002266,0.0,0.00064,687.53,TEN 17%; CLE 13%; TB 10%
127,Slater-1,Slater,1,31,0.002247,0.0,0.00072,687.39,TEN 18%; CLE 14%; TB 10%
128,Spaldy316-1,Spaldy316,1,31,0.002235,0.0,0.0008,687.29,TEN 18%; CLE 14%; TB 10%
129,CANDYMAN-1,CANDYMAN,1,31,0.002247,0.0,0.00056,680.72,TEN 18%; CLE 14%; TB 10%
130,Kitsunegari-1,Kitsunegari,1,31,0.001627,0.0,0.0008,679.64,TEN 16%; CLE 13%; TB 11%
131,Golfing in Hell-2,Golfing in Hell,1,31,0.002247,0.0,0.00064,679.15,TEN 18%; CLE 14%; TB 10%
132,ROBERT07-2,ROBERT07,1,31,0.002247,0.0,0.00064,676.8,TEN 18%; CLE 14%; TB 10%
133,SNOWFLAKE-1,SNOWFLAKE,1,31,0.002247,0.0,0.0008,675.27,TEN 18%; CLE 14%; TB 10%
134,4KW1617-1,4KW1617,1,31,0.002235,0.0,0.00072,674.24,TEN 18%; CLE 14%; TB 10%
135,BOBBYT-2,BOBBYT,1,31,0.002247,0.0,0.00072,674.16,TEN 18%; CLE 14%; TB 10%
136,Gambles Lives Matter-1,Gambles Lives Matter,1,31,0.002251,0.0,0.0008,673.56,TEN 17%; CLE 13%; TB 10%
137,Jrod-3,Jrod,1,31,0.002247,0.0,0.00072,670.64,TEN 18%; CLE 14%; TB 10%
138,Slash Brothers-1,Slash Brothers,1,31,0.002247,0.0,0.00064,669.88,TEN 18%; CLE 14%; TB 10%
139,scourrge-4,scourrge,1,31,0.002251,0.0,0.0008,669.18,TEN 17%; CLE 13%; TB 10%
140,Don Guayo-1,Don Guayo,1,31,0.002247,0.0,0.00072,669.07,TEN 18%; CLE 14%; TB 10%
141,SJM-2,SJM,1,31,0.002247,0.0,0.00088,668.55,TEN 11%; CLE 10%; TB 9%
142,Iceman Champion-1,Iceman Champion,1,31,0.002247,0.0,0.00088,666.64,TEN 18%; CLE 14%; TB 10%
143,GONE WEST-1,GONE WEST,1,31,0.001627,0.0,0.00072,666.28,TEN 19%; CLE 14%; TB 11%
144,SUPER SENIOR STEVE-1,SUPER SENIOR STEVE,1,31,0.002247,0.0,0.0008,663.91,TEN 18%; CLE 14%; TB 10%
145,AUGIE DAWG-2,AUGIE DAWG,1,31,0.002247,0.0,0.00072,662.71,TEN 18%; CLE 14%; TB 10%
146,Lloyd Christmas-1,Lloyd Christmas,1,31,0.001774,0.0,0.00056,661.47,TEN 18%; CLE 13%; TB 10%
147,ACHILLES12-1,ACHILLES12,1,31,0.002247,0.0,0.00072,661.41,TEN 15%; CLE 13%; TB 10%
148,HAWKINS POE-1,HAWKINS POE,1,31,0.002251,0.0,0.00072,659.5,TEN 17%; CLE 13%; TB 10%
149,SFisher-2,SFisher,1,31,0.002235,0.0,0.00056,657.46,TEN 18%; CLE 14%; TB 10%
150,RedRock 817-1,RedRock 817,1,31,0.002251,0.0,0.00088,657.01,TEN 15%; CLE 12%; TB 10%
151,Puppy Kisses-3,Puppy Kisses,1,31,0.002247,0.0,0.00072,656.88,TEN 11%; CLE 10%; TB 9%
152,No Regrets-5,No Regrets,1,31,0.002266,0.0,0.00064,656.11,TEN 17%; CLE 13%; TB 10%
153,Gopeter-1,Gopeter,1,31,0.001627,0.0,0.00064,653.55,TEN 19%; CLE 14%; TB 11%
154,MXX-4,MXX,1,31,0.001627,0.0,0.00072,651.76,TEN 12%; CLE 11%; TB 10%
155,ICEMAN650-1,ICEMAN650,1,31,0.00178,0.0,0.00072,651.73,TEN 15%; CLE 12%; TB 10%
156,DIVINE MERCY 24/7-1,DIVINE MERCY 24/7,1,31,0.001774,0.0,0.00064,651.35,TEN 18%; CLE 13%; TB 10%
157,JR Company-1,JR Company,1,31,0.002235,0.0,0.00056,650.95,TEN 18%; CLE 14%; TB 10%
158,@Jay Swah Sports-4,@Jay Swah Sports,1,31,0.002235,0.0,0.00064,650.8,TEN 15%; CLE 12%; TB 10%
159,PRESENCE-3,PRESENCE,1,31,0.002247,0.0,0.00064,650.7,TEN 12%; CLE 11%; TB 10%
160,WAZ-2,WAZ,1,31,0.002251,0.0,0.00056,650.7,TEN 17%; CLE 13%; TB 10%
161,SPS-2,SPS,1,31,0.002247,0.0,0.00104,649.86,TEN 15%; CLE 13%; TB 10%
162,Shustine-3,Shustine,1,31,0.002247,0.0,0.0008,646.58,TEN 18%; CLE 14%; TB 10%
163,BUY LOW-1,BUY LOW,1,31,0.002247,0.0,0.00056,646.42,TEN 18%; CLE 14%; TB 10%
164,HORNET.-1,HORNET.,1,31,0.001774,0.0,0.00048,643.89,TEN 18%; CLE 13%; TB 10%
165,POLISH PRINCE-1,POLISH PRINCE,1,31,0.002235,0.0,0.00064,643.84,TEN 18%; CLE 14%; TB 10%
166,BullsBearsSheep-1,BullsBearsSheep,1,31,0.002266,0.0,0.00064,642.91,TEN 17%; CLE 13%; TB 10%
167,DIGGS ALLEN '22-5,DIGGS ALLEN '22,1,31,0.002247,0.0,0.00072,640.85,TEN 18%; CLE 14%; TB 10%
168,Fireball-1,Fireball,1,31,0.002247,0.0,0.00064,636.43,TEN 18%; CLE 14%; TB 10%
169,ACLVA-1,ACLVA,1,31,0.002247,0.0,0.0008,634.59,TEN 18%; CLE 14%; TB 10%
170,BALD RAZORS-3,BALD RAZORS,1,31,0.002251,0.0,0.00064,631.27,TEN 14%; CLE 12%; TB 10%
171,Lehrjet-4,Lehrjet,1,31,0.002247,0.0,0.00064,631.03,TEN 15%; CLE 13%; TB 10%
172,Fisher Hall-1,Fisher Hall,1,31,0.002251,0.0,0.00048,630.79,TEN 17%; CLE 13%; TB 10%
173,CLARKGRIZWOLD-2,CLARKGRIZWOLD,1,31,0.002247,0.0,0.00072,630.34,TEN 18%; CLE 14%; TB 10%
174,Steven With A W-2,Steven With A W,1,31,0.002247,0.0,0.00072,630.15,TEN 18%; CLE 14%; TB 10%
175,GAMBLEBALLS-3,GAMBLEBALLS,1,31,0.001627,0.0,0.00064,629.5,TEN 19%; CLE 14%; TB 11%
176,QUESERASERA-2,QUESERASERA,1,31,0.002247,0.0,0.0008,628.74,TEN 18%; CLE 14%; TB 10%
177,Anonymous Donors-2,Anonymous Donors,1,31,0.002251,0.0,0.00072,627.64,TEN 15%; CLE 12%; TB 10%
178,Lightning-5,Lightning,1,31,0.00178,0.0,0.00056,627.43,TEN 18%; CLE 13%; TB 10%
179,buffalo1-4,buffalo1,1,31,0.002251,0.0,0.00056,623.79,TEN 15%; CLE 12%; TB 10%
180,Reggie bush wackers-1,Reggie bush wackers,1,31,0.002247,0.0,0.00072,622.01,TEN 18%; CLE 14%; TB 10%
181,SharpSyndicateSports-5,SharpSyndicateSports,1,31,0.002251,0.0,0.00056,621.76,TEN 17%; CLE 13%; TB 10%
182,LUKEDERUK-1,LUKEDERUK,1,31,0.002235,0.0,0.00072,621.73,TEN 15%; CLE 12%; TB 10%
183,TAHOE-3,TAHOE,1,31,0.002251,0.0,0.00064,621.56,TEN 17%; CLE 13%; TB 10%
184,Bucky Picks-1,Bucky Picks,1,31,0.002247,0.0,0.00064,621.51,TEN 18%; CLE 14%; TB 10%
185,handskatersofamerica-2,handskatersofamerica,1,31,0.002235,0.0,0.00088,619.91,TEN 18%; CLE 14%; TB 10%
186,Gamblinsteve-2,Gamblinsteve,1,31,0.002247,0.0,0.00072,619.89,TEN 16%; CLE 13%; TB 10%
187,BIG DEAL-3,BIG DEAL,1,31,0.002247,0.0,0.00064,619.63,TEN 15%; CLE 13%; TB 10%
188,MONEY OBSCENE-2,MONEY OBSCENE,1,31,0.001627,0.0,0.00064,617.52,TEN 19%; CLE 14%; TB 11%
189,PRAY4DUBB-4,PRAY4DUBB,1,31,0.002235,0.0,0.00096,617.48,TEN 13%; CLE 11%; PIT 10%
190,XXYYZZ-2,XXYYZZ,1,31,0.002251,0.0,0.00048,617.34,TEN 13%; CLE 11%; TB 9%
191,M_EHRMANTRAUT-4,M_EHRMANTRAUT,1,31,0.002235,0.0,0.0008,617.18,TEN 18%; CLE 14%; TB 10%
192,Perfect Pint-1,Perfect Pint,1,31,0.002251,0.0,0.00064,617.17,TEN 17%; CLE 13%; TB 10%
193,Football Junkies-1,Football Junkies,1,31,0.002235,0.0,0.00088,617.11,TEN 13%; CLE 11%; TB 10%
194,PROBST-5,PROBST,1,31,0.002247,0.0,0.00072,616.41,TEN 16%; CLE 13%; TB 10%
195,Gamblenomics-1,Gamblenomics,1,31,0.002251,0.0,0.00072,614.53,TEN 17%; CLE 13%; TB 10%
196,Shamy-4,Shamy,1,31,0.002027,0.0,0.00056,614.25,CLE 14%; TB 11%; PIT 10%
197,scourrge-3,scourrge,1,31,0.002251,0.0,0.00088,612.05,TEN 13%; CLE 11%; TB 9%
198,ACKATTACK-2,ACKATTACK,1,31,0.001627,0.0,0.00064,610.8,TEN 19%; CLE 14%; TB 11%
199,ididn'tseethatcoming-5,ididn'tseethatcoming,1,31,0.001774,0.0,0.00064,610.7,TEN 11%; CLE 10%; TB 9%
200,Beast betting house-1,Beast betting house,1,31,0.002251,0.0,0.00064,608.87,TEN 14%; CLE 12%; PIT 10%
201,7- Out-2,7- Out,1,31,0.002251,0.0,0.00072,607.2,TEN 15%; CLE 12%; TB 10%
202,PLAYIN N STAYIN-2,PLAYIN N STAYIN,1,31,0.002247,0.0,0.00064,606.71,TEN 15%; CLE 13%; TB 10%
203,PGAMOPTOUR5-1,PGAMOPTOUR5,1,31,0.002251,0.0,0.00048,606.0,TEN 12%; CLE 10%; TB 9%
204,WESTBROOK FOR 3-2,WESTBROOK FOR 3,1,31,0.001627,0.0,0.00072,605.5,TEN 16%; CLE 13%; TB 11%
205,LoveMyBaxter-1,LoveMyBaxter,1,31,0.002235,0.0,0.00056,605.33,TEN 18%; CLE 14%; TB 10%
206,pointsonthepackage-1,pointsonthepackage,1,31,0.001627,0.0,0.00064,603.52,TEN 19%; CLE 14%; TB 11%
207,Mandelorian39-1,Mandelorian39,1,31,0.002235,0.0,0.00072,603.16,TEN 18%; CLE 14%; TB 10%
208,One Man Gang-4,One Man Gang,1,31,0.001627,0.0,0.00072,603.1,TEN 14%; CLE 12%; TB 10%
209,SMOOTH TASTE FOOL YA-2,SMOOTH TASTE FOOL YA,1,31,0.001774,0.0,0.00056,602.79,TEN 13%; CLE 11%; TB 9%
210,O8UNLV-1,O8UNLV,1,31,0.002247,0.0,0.00072,600.11,TEN 18%; CLE 14%; TB 10%
211,Mucked Nuts.-4,Mucked Nuts.,1,31,0.002247,0.0,0.0008,599.95,TEN 12%; CLE 11%; TB 10%
212,Larry B 27-2,Larry B 27,1,31,0.002247,0.0,0.00072,598.99,TEN 14%; CLE 12%; TB 10%
213,617 to 702-5,617 to 702,1,31,0.002247,0.0,0.00072,596.24,TEN 15%; CLE 13%; TB 10%
214,BLIND BOZO-2,BLIND BOZO,1,31,0.002247,0.0,0.00064,596.19,TEN 18%; CLE 14%; TB 10%
215,GOOD TALK RUSS-2,GOOD TALK RUSS,1,31,0.001774,0.0,0.00064,595.58,TEN 18%; CLE 13%; TB 10%
216,PRESENCE-4,PRESENCE,1,31,0.002247,0.0,0.00064,594.97,TEN 14%; CLE 12%; TB 10%
217,Tampa Daven-5,Tampa Daven,1,31,0.002251,0.0,0.00088,594.19,TEN 15%; CLE 12%; TB 10%
218,LUCKY 13-1,LUCKY 13,1,31,0.002235,0.0,0.00064,593.98,TEN 18%; CLE 14%; TB 10%
219,Spider 2-1,Spider 2,1,31,0.002235,0.0,0.00056,593.56,TEN 18%; CLE 14%; TB 10%
220,XXYYZZ-3,XXYYZZ,1,31,0.002251,0.0,0.00056,592.98,TEN 15%; CLE 12%; TB 10%
