rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,PAR5ONIN2-1,PAR5ONIN2,10,22,0.038793,0.0,0.02176,16891.77,LAC 34%; MIN 19%; PIT 17%
18,Tom Lippard-1,Tom Lippard,10,22,0.042945,0.0,0.02064,5355.76,MIN 42%; CLE 27%; SEA 5%
19,H-TOWN-1,H-TOWN,10,22,0.045206,0.0,0.02144,5256.6,MIN 29%; PIT 26%; CLE 19%
20,@plastered in paris-1,@plastered in paris,10,22,0.042945,0.0,0.0216,5204.72,LAC 41%; MIN 23%; CLE 15%
21,PGAMOPTOUR5-4,PGAMOPTOUR5,10,22,0.04083,0.0,0.02776,5198.74,LAC 30%; MIN 25%; CLE 19%
22,JakestroJans-1,JakestroJans,10,22,0.043511,0.0,0.0216,5184.98,MIN 41%; CLE 27%; NE 6%
23,TEAM MONEY-4,TEAM MONEY,10,22,0.035222,0.0,0.02104,5115.46,LAC 44%; MIN 25%; CLE 16%
24,The Disasters-1,The Disasters,10,22,0.038524,0.0,0.0224,4994.66,LAC 39%; MIN 22%; PIT 20%
25,WHAT IS FOOTBALL?-1,WHAT IS FOOTBALL?,10,22,0.04039,0.0,0.02448,4968.96,MIN 57%; SEA 7%; TB 6%
26,POLISH PRINCE-1,POLISH PRINCE,10,22,0.042633,0.0,0.0268,4897.25,LAC 43%; MIN 24%; CLE 16%
27,BOBBYT-3,BOBBYT,10,22,0.04416,0.0,0.02416,4856.39,CLE 31%; MIN 24%; NO 8%
28,Magi Quicksilver-1,Magi Quicksilver,10,22,0.038646,0.0,0.01832,4855.39,MIN 39%; CLE 25%; NO 7%
29,Putting on the foil-4,Putting on the foil,10,22,0.038395,0.0,0.02184,4844.83,MIN 31%; PIT 28%; CLE 20%
30,WARDOG-4,WARDOG,10,22,0.040566,0.0,0.0232,4836.03,MIN 36%; CLE 28%; SEA 7%
31,WESTBROOK FOR 3-2,WESTBROOK FOR 3,10,22,0.034667,0.0,0.02024,4804.66,LAC 34%; MIN 26%; CLE 19%
32,WHERE'S LUNCH-5,WHERE'S LUNCH,10,22,0.040699,0.0,0.02072,4742.08,LAC 29%; PIT 24%; MIN 18%
33,Bucky Picks-1,Bucky Picks,10,22,0.041085,0.0,0.02416,4732.36,LAC 44%; MIN 25%; CLE 16%
34,TAHOE-3,TAHOE,10,22,0.035847,0.0,0.02288,4706.74,LAC 51%; MIN 29%; NO 6%
35,EROQ-5,EROQ,10,22,0.04539,0.0,0.02792,4704.84,LAC 35%; MIN 20%; PIT 18%
36,PRESENCE-5,PRESENCE,10,22,0.049649,0.0,0.02776,4687.96,MIN 32%; PIT 29%; CLE 20%
37,YEEGONE3-3,YEEGONE3,10,22,0.035656,0.0,0.02656,4687.77,LAC 51%; MIN 29%; NE 4%
38,CTFC-1,CTFC,10,22,0.038822,0.0,0.0232,4687.49,LAC 43%; MIN 24%; CLE 16%
39,Sand Bagger-2,Sand Bagger,10,22,0.03675,0.0,0.02112,4665.8,LAC 42%; MIN 24%; CLE 15%
40,GAMBLEONGOLD-3,GAMBLEONGOLD,10,22,0.040198,0.0,0.02096,4649.89,LAC 52%; MIN 16%; CLE 13%
41,PRESENCE-4,PRESENCE,10,22,0.030959,0.0,0.02448,4619.5,LAC 34%; MIN 29%; NE 7%
42,TEAM MOIST-3,TEAM MOIST,10,22,0.033926,0.0,0.02632,4572.13,LAC 65%; NO 7%; NE 5%
43,RG-1,RG,10,22,0.041305,0.0,0.0252,4556.25,MIN 33%; CLE 25%; NO 10%
44,BBOSSE22-3,BBOSSE22,10,22,0.038794,0.0,0.02432,4540.64,LAC 49%; MIN 28%; NO 5%
45,EASY ROD-1,EASY ROD,10,22,0.04416,0.0,0.02456,4537.48,LAC 40%; MIN 23%; CLE 15%
46,SIN CITY LORI-1,SIN CITY LORI,10,22,0.037496,0.0,0.02592,4535.44,MIN 57%; NO 11%; SEA 7%
47,Lucas Nogueira-4,Lucas Nogueira,10,22,0.043449,0.0,0.02072,4498.11,LAC 56%; MIN 10%; PIT 10%
48,SUSAN7UP-1,SUSAN7UP,10,22,0.033855,0.0,0.02216,4494.14,LAC 42%; MIN 24%; CLE 15%
49,HATMAN'S HEADHUNTERS-1,HATMAN'S HEADHUNTERS,10,22,0.042086,0.0,0.02792,4482.46,LAC 36%; MIN 20%; PIT 18%
50,Molly Mols-1,Molly Mols,10,22,0.045236,0.0,0.02104,4437.59,MIN 29%; PIT 26%; CLE 18%
51,ESSENTIAL BETTORS-3,ESSENTIAL BETTORS,10,22,0.04088,0.0,0.02,4394.96,LAC 26%; MIN 20%; PIT 19%
52,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,10,22,0.043705,0.0,0.02112,4380.96,PIT 42%; MIN 28%; SEA 5%
53,Practice Squad QB-1,Practice Squad QB,10,22,0.041604,0.0,0.02752,4375.16,LAC 28%; MIN 23%; CLE 18%
54,Black Devil-3,Black Devil,10,22,0.045649,0.0,0.0268,4371.18,LAC 43%; MIN 24%; PIT 22%
55,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,10,22,0.033011,0.0,0.02576,4363.55,LAC 49%; MIN 28%; NE 4%
56,Livin' The Dream-1,Livin' The Dream,10,22,0.047172,0.0,0.02512,4291.38,MIN 40%; PIT 36%; SEA 5%
57,WHERE'S LUNCH-3,WHERE'S LUNCH,10,22,0.041984,0.0,0.02088,4268.98,CLE 23%; PIT 22%; MIN 19%
58,LOS GUAPOS-1,LOS GUAPOS,10,22,0.038925,0.0,0.02704,4259.95,LAC 42%; MIN 24%; CLE 15%
59,Iron Mountain-4,Iron Mountain,10,22,0.042693,0.0,0.02056,4244.35,PIT 43%; MIN 30%; SEA 5%
60,PUFFALUPPS-2,PUFFALUPPS,10,22,0.037496,0.0,0.03,4234.74,LAC 50%; MIN 28%; NO 5%
61,WE BAD-1,WE BAD,10,22,0.040452,0.0,0.02352,4230.32,LAC 37%; MIN 21%; PIT 19%
62,Midnight Cat-1,Midnight Cat,10,22,0.051222,0.0,0.0232,4203.77,MIN 32%; PIT 29%; CLE 20%
63,THE GREATEST DANCER-2,THE GREATEST DANCER,10,22,0.040845,0.0,0.02416,4191.76,LAC 41%; MIN 23%; CLE 15%
64,RIGHTANGLESPORTS-1,RIGHTANGLESPORTS,10,22,0.036606,0.0,0.01816,4171.2,MIN 43%; CLE 27%; NO 8%
65,Cuddy120-3,Cuddy120,10,22,0.041653,0.0,0.02424,4170.73,CLE 34%; MIN 34%; SEA 6%
66,SPS-1,SPS,10,22,0.031905,0.0,0.02008,4155.11,MIN 29%; NE 14%; SEA 10%
67,THE WINDOW PODCAST-1,THE WINDOW PODCAST,10,22,0.042631,0.0,0.0272,4144.14,LAC 36%; MIN 20%; PIT 18%
68,OFFINTHEWOODS-1,OFFINTHEWOODS,10,22,0.041085,0.0,0.01952,4120.82,LAC 44%; MIN 25%; CLE 16%
69,Big Johnsons-1,Big Johnsons,10,22,0.042181,0.0,0.02144,4118.69,LAC 41%; MIN 23%; CLE 15%
70,Goodfellas-2,Goodfellas,10,22,0.029246,0.0,0.02112,4083.84,LAC 42%; MIN 24%; CLE 15%
71,One Man Gang-2,One Man Gang,10,22,0.032004,0.0,0.02312,4074.71,LAC 44%; MIN 25%; CLE 16%
72,Lucas Nogueira-1,Lucas Nogueira,10,22,0.042841,0.0,0.02136,4062.06,MIN 32%; PIT 29%; CLE 20%
73,LUCKY 13-1,LUCKY 13,10,22,0.037171,0.0,0.02048,4059.86,LAC 34%; MIN 19%; PIT 17%
74,PRESENCE-2,PRESENCE,10,22,0.031656,0.0,0.01928,4057.48,LAC 52%; PIT 15%; CLE 13%
75,Putting on the foil-3,Putting on the foil,10,22,0.048586,0.0,0.02592,4054.9,MIN 34%; CLE 27%; SEA 8%
76,LOGICIANS-1,LOGICIANS,10,22,0.038917,0.0,0.02,4017.85,CLE 37%; MIN 32%; SEA 6%
77,The Mad Russian-5,The Mad Russian,10,22,0.038917,0.0,0.02152,4013.66,LAC 43%; MIN 25%; CLE 16%
78,MINTF-5,MINTF,10,22,0.044268,0.0,0.02688,3992.11,LAC 42%; MIN 24%; CLE 15%
79,GAVIN45-3,GAVIN45,10,22,0.045686,0.0,0.02704,3985.17,MIN 30%; PIT 27%; CLE 19%
80,YEEGONE2-3,YEEGONE2,10,22,0.043812,0.0,0.02432,3984.56,LAC 41%; MIN 23%; PIT 21%
81,Practice Squad QB-2,Practice Squad QB,10,22,0.043097,0.0,0.0236,3982.43,LAC 44%; MIN 25%; CLE 16%
82,CLARKGRIZWOLD-3,CLARKGRIZWOLD,10,22,0.045206,0.0,0.0208,3977.54,PIT 37%; MIN 19%; CLE 16%
83,SPS-4,SPS,10,22,0.041984,0.0,0.02296,3971.75,LAC 33%; MIN 15%; PIT 14%
84,MAX-1,MAX,10,22,0.035751,0.0,0.01944,3968.59,MIN 40%; CLE 26%; NO 8%
85,scourrge-4,scourrge,10,22,0.048446,0.0,0.02704,3960.49,LAC 39%; MIN 22%; PIT 20%
86,DIGGS ALLEN '22-5,DIGGS ALLEN '22,10,22,0.042643,0.0,0.02432,3947.0,LAC 39%; MIN 22%; PIT 20%
87,DESERT DOGG-2,DESERT DOGG,10,22,0.036866,0.0,0.02144,3940.55,LAC 49%; MIN 28%; NE 4%
88,Football Junkies-4,Football Junkies,10,22,0.03675,0.0,0.01784,3933.37,LAC 41%; MIN 23%; CLE 15%
89,SKOL-1,SKOL,10,22,0.042735,0.0,0.02328,3931.67,MIN 32%; PIT 28%; CLE 20%
90,ROBERTRUTTER-1,ROBERTRUTTER,10,22,0.045236,0.0,0.02648,3914.46,MIN 29%; PIT 26%; CLE 19%
91,Bison Sports-4,Bison Sports,10,22,0.045911,0.0,0.0272,3910.9,LAC 31%; MIN 25%; CLE 19%
92,DOZER-1,DOZER,10,22,0.040577,0.0,0.02064,3894.58,LAC 36%; MIN 21%; PIT 18%
93,KICKER LIVES MATTER-1,KICKER LIVES MATTER,10,22,0.036435,0.0,0.02168,3882.14,MIN 31%; PIT 27%; CLE 20%
94,Exodus 20-3,Exodus 20,10,22,0.035029,0.0,0.02224,3870.85,LAC 43%; MIN 24%; CLE 15%
95,Slick Rick11-1,Slick Rick11,10,22,0.045944,0.0,0.02328,3867.67,LAC 42%; MIN 24%; CLE 15%
96,BMAC-5,BMAC,10,22,0.039579,0.0,0.02216,3822.95,LAC 37%; MIN 21%; PIT 19%
97,BLOW OUT-2,BLOW OUT,10,22,0.033792,0.0,0.02056,3817.29,LAC 41%; MIN 31%; SEA 5%
98,OlwillyD-1,OlwillyD,10,22,0.042086,0.0,0.02592,3793.33,LAC 37%; MIN 21%; PIT 19%
99,Slash Brothers-1,Slash Brothers,10,22,0.045765,0.0,0.02656,3786.3,MIN 53%; NO 10%; SEA 6%
100,STRAIGHT CA$H HOMIE-1,STRAIGHT CA$H HOMIE,10,22,0.045236,0.0,0.02656,3780.46,LAC 35%; MIN 20%; PIT 18%
101,WILLY BALTERS-1,WILLY BALTERS,10,22,0.042631,0.0,0.02136,3769.54,MIN 30%; PIT 27%; CLE 19%
102,@Pigskin_Junkies-1,@Pigskin_Junkies,10,22,0.043126,0.0,0.02448,3769.46,PIT 35%; CLE 25%; NO 7%
103,DMAYS-1,DMAYS,10,22,0.035882,0.0,0.01768,3769.14,LAC 37%; MIN 21%; PIT 19%
104,PGAMOPTOUR5-2,PGAMOPTOUR5,10,22,0.035751,0.0,0.02272,3761.99,LAC 43%; MIN 24%; CLE 16%
105,Jax 2 Win-3,Jax 2 Win,10,22,0.0492,0.0,0.02768,3756.12,MIN 40%; CLE 25%; NO 8%
106,Heater City-1,Heater City,10,22,0.045236,0.0,0.02224,3751.67,MIN 29%; PIT 26%; CLE 19%
107,HeatStroke-3,HeatStroke,10,22,0.050306,0.0,0.0292,3748.23,LAC 40%; MIN 23%; PIT 20%
108,Juice Box-2,Juice Box,10,22,0.043314,0.0,0.02496,3727.29,LAC 36%; MIN 20%; PIT 18%
109,QUESERASERA-2,QUESERASERA,10,22,0.032008,0.0,0.02128,3726.65,LAC 51%; MIN 29%; NE 4%
110,Grinder-1,Grinder,10,22,0.042645,0.0,0.02424,3717.37,MIN 31%; PIT 27%; CLE 20%
111,DaliBones-2,DaliBones,10,22,0.031966,0.0,0.02216,3696.16,LAC 32%; MIN 28%; NO 9%
112,ACKATTACK-1,ACKATTACK,10,22,0.04715,0.0,0.02208,3691.57,LAC 28%; MIN 23%; CLE 17%
113,WARDOG-2,WARDOG,10,22,0.041604,0.0,0.02728,3686.13,LAC 43%; MIN 24%; CLE 15%
114,KB512-3,KB512,10,22,0.049081,0.0,0.02048,3684.16,MIN 39%; CLE 25%; NO 8%
115,Mucked Nuts.-1,Mucked Nuts.,10,22,0.037521,0.0,0.02104,3669.78,LAC 44%; MIN 25%; CLE 16%
116,CRE8-1,CRE8,10,22,0.045585,0.0,0.02136,3669.36,MIN 41%; CLE 26%; NO 8%
117,HARDEN DINING HALL-1,HARDEN DINING HALL,10,22,0.044353,0.0,0.0212,3667.37,MIN 30%; PIT 27%; CLE 19%
118,ORDER UP-2,ORDER UP,10,22,0.054562,0.0,0.02008,3661.06,MIN 36%; PIT 33%; NO 7%
119,CRE8-2,CRE8,10,22,0.042181,0.0,0.0196,3657.18,MIN 27%; CLE 23%; NO 10%
120,Gamblenomics-5,Gamblenomics,10,22,0.038951,0.0,0.02352,3655.37,LAC 26%; MIN 20%; PIT 18%
121,Joncon16-1,Joncon16,10,22,0.035593,0.0,0.02088,3633.16,LAC 48%; MIN 27%; NO 5%
122,Staying Alive-4,Staying Alive,10,22,0.038822,0.0,0.02112,3628.73,LAC 44%; MIN 25%; CLE 16%
123,COOLCATSANDKITTENS-4,COOLCATSANDKITTENS,10,22,0.042745,0.0,0.02664,3607.99,LAC 44%; MIN 25%; CLE 16%
124,hoffytime.-2,hoffytime.,10,22,0.036598,0.0,0.0208,3606.73,LAC 43%; MIN 25%; CLE 16%
125,SUPER SENIOR STEVE-1,SUPER SENIOR STEVE,10,22,0.032869,0.0,0.0156,3606.08,MIN 38%; PIT 35%; NE 6%
126,EROQ-4,EROQ,10,22,0.037543,0.0,0.0252,3605.5,LAC 40%; MIN 30%; NE 7%
127,Enut34-1,Enut34,10,22,0.038086,0.0,0.02112,3602.84,LAC 35%; MIN 20%; PIT 18%
128,Follow Proto-1,Follow Proto,10,22,0.036967,0.0,0.02008,3580.09,LAC 45%; PIT 23%; CLE 16%
129,BILLS MAFIA-1,BILLS MAFIA,10,22,0.036773,0.0,0.02856,3574.29,LAC 51%; MIN 29%; SEA 3%
130,GAVIN45-2,GAVIN45,10,22,0.039955,0.0,0.022,3560.57,LAC 50%; MIN 16%; CLE 12%
131,K 2 S Q R-1,K 2 S Q R,10,22,0.04725,0.0,0.02792,3553.8,LAC 44%; MIN 25%; CLE 16%
132,SHINEBOX.-1,SHINEBOX.,10,22,0.037448,0.0,0.02096,3550.51,LAC 41%; MIN 23%; CLE 15%
133,How You Feeling-1,How You Feeling,10,22,0.045574,0.0,0.02328,3545.85,LAC 34%; MIN 19%; PIT 17%
134,5 BUKI ODS-2,5 BUKI ODS,10,22,0.037742,0.0,0.01952,3542.04,MIN 39%; CLE 25%; NO 7%
135,BALD RAZORS-2,BALD RAZORS,10,22,0.042875,0.0,0.02128,3536.47,MIN 35%; PIT 32%; NO 7%
136,Schematic Advantage-2,Schematic Advantage,10,22,0.038951,0.0,0.02192,3531.88,LAC 35%; MIN 20%; PIT 18%
137,LUKEDERUK-2,LUKEDERUK,10,22,0.041811,0.0,0.02032,3525.55,MIN 32%; PIT 29%; CLE 21%
138,MK INVEST-1,MK INVEST,10,22,0.04172,0.0,0.02552,3522.68,LAC 50%; MIN 29%; NE 4%
139,Larry B 27-3,Larry B 27,10,22,0.036747,0.0,0.0216,3509.08,LAC 50%; MIN 29%; NO 5%
140,BIGDNICK-5,BIGDNICK,10,22,0.030529,0.0,0.02128,3506.5,LAC 51%; MIN 29%; SEA 3%
141,Larry B 27-4,Larry B 27,10,22,0.037335,0.0,0.0216,3499.24,LAC 35%; MIN 31%; SEA 6%
142,SUNFLOWER-1,SUNFLOWER,10,22,0.038646,0.0,0.01728,3496.85,MIN 41%; CLE 26%; NO 8%
143,ACKATTACK-3,ACKATTACK,10,22,0.04715,0.0,0.02352,3495.65,LAC 22%; MIN 20%; CLE 17%
144,DR B-3,DR B,10,22,0.036929,0.0,0.0204,3493.72,LAC 26%; MIN 20%; PIT 19%
145,BOYCOTT 8 PCT-5,BOYCOTT 8 PCT,10,22,0.037405,0.0,0.02392,3491.52,LAC 24%; MIN 23%; NO 12%
146,MOMO-1,MOMO,10,22,0.035751,0.0,0.01888,3481.69,LAC 43%; MIN 24%; CLE 16%
147,MAKENA-1,MAKENA,10,22,0.041503,0.0,0.0188,3479.3,MIN 39%; CLE 25%; NO 8%
148,Tampa Daven-3,Tampa Daven,10,22,0.045336,0.0,0.02224,3475.94,LAC 44%; MIN 25%; CLE 16%
149,KSSA-1,KSSA,10,22,0.045236,0.0,0.01896,3470.62,LAC 34%; MIN 19%; PIT 17%
150,THE INTANGIBLES-2,THE INTANGIBLES,10,22,0.04087,0.0,0.01784,3448.05,LAC 37%; MIN 21%; PIT 19%
151,BIGDNICK-1,BIGDNICK,10,22,0.038636,0.0,0.01968,3434.06,PIT 27%; LAC 19%; CLE 19%
152,Live Odds-1,Live Odds,10,22,0.034635,0.0,0.02296,3433.05,LAC 52%; MIN 30%; SEA 4%
153,* THE NUT SQUIRRELS-1,* THE NUT SQUIRRELS,10,22,0.032311,0.0,0.0224,3432.32,LAC 47%; MIN 26%; NO 5%
154,Slater-1,Slater,10,22,0.04183,0.0,0.02144,3425.98,MIN 40%; CLE 25%; NO 8%
155,TOMPAPAGEORGIO-1,TOMPAPAGEORGIO,10,22,0.035593,0.0,0.01664,3417.37,MIN 50%; NO 10%; NE 7%
156,Cuddy120-1,Cuddy120,10,22,0.038636,0.0,0.01744,3413.11,LAC 41%; MIN 23%; PIT 21%
157,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,10,22,0.041211,0.0,0.02504,3403.47,LAC 44%; MIN 25%; CLE 16%
158,GAMBLEONGOLD-2,GAMBLEONGOLD,10,22,0.040524,0.0,0.02032,3393.26,MIN 30%; PIT 27%; CLE 19%
159,VOLARE CIECO-1,VOLARE CIECO,10,22,0.035477,0.0,0.01688,3384.7,LAC 36%; MIN 20%; PIT 18%
160,EX-FINANCE-4,EX-FINANCE,10,22,0.041211,0.0,0.02552,3384.01,LAC 26%; MIN 23%; CLE 19%
161,Scrlou41-1,Scrlou41,10,22,0.039278,0.0,0.01712,3383.49,LAC 35%; MIN 20%; PIT 18%
162,JUST TALK DIRTY-1,JUST TALK DIRTY,10,22,0.040348,0.0,0.02192,3372.6,LAC 50%; MIN 28%; NE 4%
163,WAZ-2,WAZ,10,22,0.047265,0.0,0.0264,3360.03,LAC 42%; MIN 24%; CLE 15%
164,TOMPAPAGEORGIO-2,TOMPAPAGEORGIO,10,22,0.044213,0.0,0.02152,3358.37,CLE 39%; MIN 22%; SEA 6%
165,GULF COAST GURU-1,GULF COAST GURU,10,22,0.045336,0.0,0.026,3357.16,LAC 44%; MIN 25%; CLE 16%
166,@Jay Swah Sports-5,@Jay Swah Sports,10,22,0.037585,0.0,0.01848,3350.76,MIN 42%; CLE 27%; SEA 5%
167,Super Poodle-2,Super Poodle,10,22,0.028213,0.0,0.01664,3347.63,LAC 50%; MIN 28%; NE 4%
168,Dr.Unk-1,Dr.Unk,10,22,0.04183,0.0,0.02048,3342.94,MIN 40%; CLE 25%; NO 8%
169,XXYYZZ-3,XXYYZZ,10,22,0.033117,0.0,0.02056,3338.35,LAC 40%; MIN 31%; SEA 6%
170,CLARKGRIZWOLD-2,CLARKGRIZWOLD,10,22,0.036431,0.0,0.0172,3316.32,MIN 41%; CLE 26%; NE 6%
171,BMAC-1,BMAC,10,22,0.037413,0.0,0.02112,3306.99,LAC 29%; MIN 23%; CLE 17%
172,THAWK-1,THAWK,10,22,0.035279,0.0,0.02128,3305.12,LAC 52%; MIN 30%; SEA 4%
173,ACKATTACK-2,ACKATTACK,10,22,0.04715,0.0,0.02408,3303.38,LAC 41%; MIN 23%; CLE 15%
174,Chimp-19-1,Chimp-19,10,22,0.041085,0.0,0.0228,3300.73,LAC 44%; MIN 25%; CLE 16%
175,BK tingle-1,BK tingle,10,22,0.039238,0.0,0.02184,3298.71,LAC 45%; MIN 25%; CLE 16%
176,Duck U-1,Duck U,10,22,0.04172,0.0,0.02488,3297.29,MIN 63%; SEA 8%; WAS 6%
177,Shamy-5,Shamy,10,22,0.03705,0.0,0.02416,3277.64,LAC 50%; MIN 28%; NO 5%
178,LoveMyBaxter-1,LoveMyBaxter,10,22,0.028575,0.0,0.01832,3259.59,LAC 50%; MIN 28%; NE 4%
179,Iron Mountain-5,Iron Mountain,10,22,0.037742,0.0,0.02368,3233.36,LAC 42%; MIN 24%; CLE 15%
180,Sting-4,Sting,10,22,0.039267,0.0,0.02224,3228.8,LAC 42%; MIN 24%; CLE 15%
181,CAVEHAWKS-2,CAVEHAWKS,10,22,0.036226,0.0,0.01824,3224.23,MIN 32%; PIT 29%; CLE 20%
182,Pauline Park-4,Pauline Park,10,22,0.037367,0.0,0.01864,3221.11,MIN 40%; CLE 26%; NE 6%
183,Lucas Nogueira-5,Lucas Nogueira,10,22,0.039587,0.0,0.0188,3203.0,MIN 24%; PIT 23%; CLE 20%
184,TD TONY-2,TD TONY,10,22,0.045263,0.0,0.02648,3200.58,LAC 39%; MIN 22%; PIT 20%
185,pointsonthepackage-1,pointsonthepackage,10,22,0.045944,0.0,0.02344,3199.36,LAC 42%; MIN 24%; CLE 15%
186,Trouble With TheSnap-1,Trouble With TheSnap,10,22,0.031446,0.0,0.01456,3196.04,LAC 43%; MIN 24%; CLE 16%
187,Cubby-1,Cubby,10,22,0.042009,0.0,0.02376,3193.1,LAC 41%; MIN 23%; PIT 21%
188,HMA-1,HMA,10,22,0.034723,0.0,0.01816,3189.21,LAC 42%; MIN 24%; CLE 15%
189,NORTH OF THE BORDER-2,NORTH OF THE BORDER,10,22,0.037742,0.0,0.02152,3180.74,LAC 42%; MIN 24%; CLE 15%
190,LIZ-1,LIZ,10,22,0.036357,0.0,0.01992,3177.08,LAC 40%; MIN 23%; PIT 20%
191,ONE MAIN-1,ONE MAIN,10,22,0.038822,0.0,0.01872,3169.53,LAC 44%; MIN 25%; CLE 16%
192,THAWK-2,THAWK,10,22,0.037258,0.0,0.01784,3168.42,MIN 31%; NE 13%; SEA 10%
193,EX-FINANCE-2,EX-FINANCE,10,22,0.040577,0.0,0.0216,3159.46,PIT 26%; LAC 23%; MIN 18%
194,Anonymous Donors-1,Anonymous Donors,10,22,0.040198,0.0,0.02384,3149.84,LAC 43%; MIN 24%; CLE 15%
195,Shamy-4,Shamy,10,22,0.043815,0.0,0.02016,3149.48,CLE 32%; MIN 28%; NO 9%
196,MATADOR-1,MATADOR,10,22,0.044353,0.0,0.01992,3149.19,MIN 32%; PIT 28%; CLE 20%
197,buffalo1-3,buffalo1,10,22,0.035751,0.0,0.01968,3132.13,LAC 43%; MIN 24%; CLE 16%
198,Mahomes 1973-1,Mahomes 1973,10,22,0.034148,0.0,0.01776,3123.96,LAC 43%; MIN 24%; CLE 15%
199,SJM-5,SJM,10,22,0.043885,0.0,0.02472,3119.23,LAC 43%; MIN 24%; CLE 16%
200,ididn'tseethatcoming-3,ididn'tseethatcoming,10,22,0.031983,0.0,0.01968,3115.88,LAC 53%; MIN 30%; SEA 4%
201,MR. PICKLES-1,MR. PICKLES,10,22,0.045557,0.0,0.01864,3102.16,MIN 38%; PIT 34%; SEA 5%
202,Kitsunegari-2,Kitsunegari,10,22,0.030151,0.0,0.01976,3096.1,LAC 51%; MIN 29%; NE 4%
203,Golfing in Hell-2,Golfing in Hell,10,22,0.042641,0.0,0.02184,3094.09,LAC 42%; MIN 24%; CLE 15%
204,Zevets.-1,Zevets.,10,22,0.043815,0.0,0.01784,3093.21,MIN 38%; CLE 24%; NO 7%
205,NOTJOE'SAVGJALAPENOS-4,NOTJOE'SAVGJALAPENOS,10,22,0.036598,0.0,0.01872,3080.21,LAC 44%; MIN 25%; CLE 16%
206,VODKA ROCKS-1,VODKA ROCKS,10,22,0.041503,0.0,0.0224,3076.14,LAC 41%; MIN 23%; CLE 15%
207,BLOW OUT-1,BLOW OUT,10,22,0.038951,0.0,0.02008,3074.22,LAC 35%; MIN 20%; PIT 18%
208,7- Out-1,7- Out,10,22,0.037448,0.0,0.0224,3066.35,LAC 42%; MIN 24%; CLE 15%
209,Maiowe-3,Maiowe,10,22,0.040601,0.0,0.02472,3064.04,LAC 41%; MIN 23%; PIT 21%
210,Lehrjet-1,Lehrjet,10,22,0.041202,0.0,0.02376,3059.44,LAC 36%; MIN 20%; PIT 18%
211,Chaddie & Maddie-4,Chaddie & Maddie,10,22,0.035029,0.0,0.02008,3056.1,LAC 44%; MIN 25%; CLE 16%
212,BOAT 502-1,BOAT 502,10,22,0.033499,0.0,0.01768,3055.71,LAC 44%; MIN 25%; CLE 16%
213,Luther41-1,Luther41,10,22,0.03836,0.0,0.02368,3055.48,LAC 34%; MIN 19%; PIT 17%
214,HARTMANN-1,HARTMANN,10,22,0.037006,0.0,0.01928,3054.95,MIN 30%; PIT 27%; CLE 19%
