rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-10741,SYNTH-10741,0,32,0.001319,0.0,0.00048,7500.98,BUF 50%; NE 13%; IND 9%
24,SYNTH-17912,SYNTH-17912,0,32,0.001319,0.0,0.00048,5537.07,BUF 44%; NE 14%; IND 9%
25,SYNTH-13688,SYNTH-13688,0,32,0.001319,0.0,0.00048,5528.63,BUF 40%; NE 12%; IND 10%
26,SYNTH-18515,SYNTH-18515,0,32,0.001319,0.0,0.0004,5514.41,BUF 52%; NE 13%; IND 10%
27,SYNTH-02065,SYNTH-02065,0,32,0.001319,0.0,0.00048,5514.32,BUF 49%; NE 11%; IND 10%
28,SYNTH-01107,SYNTH-01107,0,32,0.001319,0.0,0.00048,5479.55,BUF 44%; NE 13%; IND 9%
29,SYNTH-13738,SYNTH-13738,0,32,0.001319,0.0,0.00056,5469.51,BUF 51%; NE 11%; IND 10%
30,SYNTH-02632,SYNTH-02632,0,32,0.001319,0.0,0.00064,5454.28,BUF 47%; NE 14%; IND 8%
31,SYNTH-14618,SYNTH-14618,0,32,0.001319,0.0,0.00032,5448.18,BUF 41%; NE 14%; IND 9%
32,SYNTH-21958,SYNTH-21958,0,32,0.001319,0.0,0.00032,5447.88,BUF 54%; IND 11%; NE 11%
33,SYNTH-09980,SYNTH-09980,0,32,0.001319,0.0,0.00024,5388.39,BUF 41%; NE 15%; IND 7%
34,SYNTH-05706,SYNTH-05706,0,32,0.001319,0.0,0.00048,5379.38,BUF 52%; NE 13%; IND 9%
35,SYNTH-20792,SYNTH-20792,0,32,0.001319,0.0,0.00056,5374.77,BUF 49%; NE 14%; IND 9%
36,SYNTH-20609,SYNTH-20609,0,32,0.001319,0.0,0.0004,5374.48,BUF 39%; NE 13%; IND 10%
37,SYNTH-18903,SYNTH-18903,0,32,0.001319,0.0,0.00064,5335.88,BUF 47%; NE 16%; IND 7%
38,SYNTH-18140,SYNTH-18140,0,32,0.001319,0.0,0.0004,5311.64,BUF 45%; NE 14%; IND 9%
39,SYNTH-09942,SYNTH-09942,0,32,0.001319,0.0,0.00032,5309.76,BUF 50%; NE 14%; IND 9%
40,SYNTH-01086,SYNTH-01086,0,32,0.001319,0.0,0.0004,5289.18,BUF 52%; NE 12%; IND 9%
41,SYNTH-16716,SYNTH-16716,0,32,0.001319,0.0,0.00056,5273.52,BUF 53%; NE 14%; IND 8%
42,SYNTH-17662,SYNTH-17662,0,32,0.001319,0.0,0.00048,5190.3,BUF 37%; NE 15%; SF 7%
43,SYNTH-16949,SYNTH-16949,0,32,0.001319,0.0,0.00048,5186.53,BUF 49%; NE 13%; IND 9%
44,SYNTH-10206,SYNTH-10206,0,32,0.001319,0.0,0.00024,5173.33,BUF 46%; NE 11%; IND 11%
45,SYNTH-05720,SYNTH-05720,0,32,0.001319,0.0,0.00048,5169.41,BUF 58%; NE 13%; IND 10%
46,SYNTH-07978,SYNTH-07978,0,32,0.001319,0.0,0.0004,5145.21,BUF 41%; NE 13%; IND 8%
47,SYNTH-23622,SYNTH-23622,0,32,0.001319,0.0,0.0004,5143.74,BUF 39%; NE 12%; IND 9%
48,SYNTH-08643,SYNTH-08643,0,32,0.001319,0.0,0.00032,5139.82,BUF 37%; NE 14%; IND 8%
49,SYNTH-09336,SYNTH-09336,0,32,0.001319,0.0,0.00024,5137.3,BUF 46%; NE 12%; IND 9%
50,SYNTH-08487,SYNTH-08487,0,32,0.001319,0.0,0.00032,5128.94,BUF 42%; NE 12%; IND 10%
51,SYNTH-02573,SYNTH-02573,0,32,0.001319,0.0,0.00048,5114.87,BUF 45%; NE 18%; IND 7%
52,SYNTH-11433,SYNTH-11433,0,32,0.001319,0.0,0.00048,5114.23,BUF 47%; NE 12%; IND 9%
53,SYNTH-11349,SYNTH-11349,0,32,0.001319,0.0,0.00032,5095.87,BUF 44%; NE 12%; IND 9%
54,SYNTH-19535,SYNTH-19535,0,32,0.001319,0.0,0.00032,5083.08,BUF 49%; NE 13%; IND 9%
55,SYNTH-13701,SYNTH-13701,0,32,0.001319,0.0,0.00032,5081.9,BUF 35%; NE 12%; IND 9%
56,SYNTH-06280,SYNTH-06280,0,32,0.001319,0.0,0.0004,5078.43,BUF 44%; NE 12%; IND 9%
57,SYNTH-21181,SYNTH-21181,0,32,0.001319,0.0,0.00024,5070.77,BUF 48%; NE 12%; IND 9%
58,SYNTH-17526,SYNTH-17526,0,32,0.001319,0.0,0.00064,5068.41,BUF 48%; NE 11%; IND 10%
59,SYNTH-12192,SYNTH-12192,0,32,0.001319,0.0,0.00056,5065.98,BUF 47%; NE 14%; IND 9%
60,SYNTH-10391,SYNTH-10391,0,32,0.001319,0.0,0.00032,5057.61,BUF 46%; NE 13%; IND 10%
61,SYNTH-08339,SYNTH-08339,0,32,0.001319,0.0,0.00024,5040.0,BUF 55%; NE 13%; IND 10%
62,SYNTH-04172,SYNTH-04172,0,32,0.001319,0.0,0.00032,5019.61,BUF 41%; NE 14%; IND 8%
63,SYNTH-13040,SYNTH-13040,0,32,0.001319,0.0,0.0004,5016.05,BUF 50%; NE 12%; IND 11%
64,SYNTH-00524,SYNTH-00524,0,32,0.001319,0.0,0.00072,4988.46,BUF 55%; NE 12%; IND 10%
65,SYNTH-11218,SYNTH-11218,0,32,0.001319,0.0,0.00024,4982.86,BUF 42%; NE 13%; IND 9%
66,SYNTH-08705,SYNTH-08705,0,32,0.001319,0.0,0.00032,4982.25,BUF 44%; NE 11%; IND 10%
67,SYNTH-02838,SYNTH-02838,0,32,0.001319,0.0,0.00048,4945.9,BUF 40%; NE 14%; IND 8%
68,SYNTH-21770,SYNTH-21770,0,32,0.001319,0.0,0.00064,4942.3,BUF 56%; NE 12%; IND 9%
69,SYNTH-22202,SYNTH-22202,0,32,0.001319,0.0,0.00024,4883.48,BUF 39%; NE 18%; SF 7%
70,SYNTH-06317,SYNTH-06317,0,32,0.001319,0.0,0.00072,4879.98,BUF 40%; NE 14%; IND 9%
71,SYNTH-05876,SYNTH-05876,0,32,0.001319,0.0,0.0004,4877.56,BUF 57%; NE 11%; IND 10%
72,SYNTH-22694,SYNTH-22694,0,32,0.001319,0.0,0.00024,4874.55,BUF 46%; NE 12%; IND 9%
73,SYNTH-07593,SYNTH-07593,0,32,0.001319,0.0,0.0004,4870.89,BUF 40%; NE 14%; IND 7%
74,SYNTH-12002,SYNTH-12002,0,32,0.001319,0.0,0.00048,4858.65,BUF 45%; NE 14%; IND 9%
75,SYNTH-19496,SYNTH-19496,0,32,0.001319,0.0,0.0004,4843.03,BUF 55%; NE 13%; IND 9%
76,SYNTH-03111,SYNTH-03111,0,32,0.001319,0.0,0.00048,4842.98,BUF 45%; NE 13%; IND 9%
77,SYNTH-03652,SYNTH-03652,0,32,0.001319,0.0,0.00072,4826.92,BUF 50%; NE 14%; IND 8%
78,SYNTH-00220,SYNTH-00220,0,32,0.001319,0.0,0.00064,4806.02,BUF 49%; NE 11%; IND 9%
79,SYNTH-06536,SYNTH-06536,0,32,0.001319,0.0,0.00024,4800.0,BUF 36%; NE 13%; IND 8%
80,SYNTH-01723,SYNTH-01723,0,32,0.001319,0.0,0.00032,4793.32,BUF 42%; NE 14%; IND 8%
81,SYNTH-02797,SYNTH-02797,0,32,0.001319,0.0,0.00056,4786.85,BUF 56%; NE 14%; IND 9%
82,SYNTH-16855,SYNTH-16855,0,32,0.001319,0.0,0.00032,4764.62,BUF 45%; NE 12%; IND 9%
83,SYNTH-12621,SYNTH-12621,0,32,0.001319,0.0,0.00032,4757.11,BUF 46%; NE 13%; IND 10%
84,SYNTH-09088,SYNTH-09088,0,32,0.001319,0.0,0.00032,4703.92,BUF 52%; NE 13%; IND 10%
85,SYNTH-19203,SYNTH-19203,0,32,0.001319,0.0,0.00024,4703.19,BUF 53%; IND 10%; BAL 10%
86,SYNTH-17464,SYNTH-17464,0,32,0.001319,0.0,0.00024,4697.14,BUF 43%; NE 11%; IND 10%
87,SYNTH-17541,SYNTH-17541,0,32,0.001319,0.0,0.00032,4695.07,BUF 51%; IND 11%; NE 11%
88,SYNTH-20300,SYNTH-20300,0,32,0.001319,0.0,0.00032,4675.12,BUF 38%; NE 16%; IND 7%
89,SYNTH-18798,SYNTH-18798,0,32,0.001319,0.0,0.00032,4674.58,BUF 51%; IND 12%; NE 10%
90,SYNTH-18351,SYNTH-18351,0,32,0.001319,0.0,0.00056,4661.79,BUF 38%; NE 15%; IND 8%
91,SYNTH-23634,SYNTH-23634,0,32,0.001319,0.0,0.00048,4656.6,BUF 47%; NE 14%; IND 9%
92,SYNTH-20503,SYNTH-20503,0,32,0.001319,0.0,0.0004,4655.01,BUF 48%; NE 12%; IND 11%
93,SYNTH-16983,SYNTH-16983,0,32,0.001319,0.0,0.00048,4643.8,BUF 48%; NE 13%; IND 9%
94,SYNTH-16515,SYNTH-16515,0,32,0.001319,0.0,0.00072,4643.53,BUF 47%; NE 14%; IND 8%
95,SYNTH-03654,SYNTH-03654,0,32,0.001319,0.0,0.00088,4638.99,BUF 54%; NE 13%; IND 9%
96,SYNTH-14968,SYNTH-14968,0,32,0.001319,0.0,0.00024,4626.89,BUF 42%; NE 11%; IND 10%
97,SYNTH-06713,SYNTH-06713,0,32,0.001319,0.0,0.00032,4625.85,BUF 49%; NE 15%; IND 8%
98,SYNTH-06887,SYNTH-06887,0,32,0.001319,0.0,0.0004,4612.86,BUF 53%; NE 10%; IND 9%
99,SYNTH-03380,SYNTH-03380,0,32,0.001319,0.0,0.00032,4599.08,BUF 47%; NE 13%; IND 9%
100,SYNTH-21444,SYNTH-21444,0,32,0.001319,0.0,0.0004,4598.02,BUF 44%; NE 15%; IND 8%
101,SYNTH-14549,SYNTH-14549,0,32,0.001319,0.0,0.00024,4584.67,BUF 54%; IND 11%; NE 10%
102,SYNTH-04632,SYNTH-04632,0,32,0.001319,0.0,0.0004,4572.58,BUF 40%; NE 11%; IND 10%
103,SYNTH-16920,SYNTH-16920,0,32,0.001319,0.0,0.00032,4567.52,BUF 46%; NE 13%; IND 9%
104,SYNTH-12640,SYNTH-12640,0,32,0.001319,0.0,0.00024,4567.27,BUF 42%; NE 14%; IND 9%
105,SYNTH-22615,SYNTH-22615,0,32,0.001319,0.0,0.0004,4558.66,BUF 40%; NE 13%; IND 8%
106,SYNTH-03980,SYNTH-03980,0,32,0.001319,0.0,0.0004,4547.91,BUF 57%; NE 13%; IND 8%
107,SYNTH-09502,SYNTH-09502,0,32,0.001319,0.0,0.0004,4545.11,BUF 44%; NE 14%; IND 9%
108,SYNTH-03326,SYNTH-03326,0,32,0.001319,0.0,0.00048,4544.78,BUF 41%; NE 13%; IND 9%
109,SYNTH-17651,SYNTH-17651,0,32,0.001319,0.0,0.0004,4540.36,BUF 49%; NE 15%; IND 8%
110,SYNTH-23352,SYNTH-23352,0,32,0.001319,0.0,0.00032,4537.36,BUF 46%; NE 13%; IND 9%
111,SYNTH-12117,SYNTH-12117,0,32,0.001319,0.0,0.00048,4528.33,BUF 46%; NE 14%; IND 9%
112,SYNTH-02840,SYNTH-02840,0,32,0.001319,0.0,0.00032,4525.89,BUF 46%; NE 12%; IND 9%
113,SYNTH-23953,SYNTH-23953,0,32,0.001319,0.0,0.0004,4517.4,BUF 45%; NE 15%; IND 9%
114,SYNTH-22388,SYNTH-22388,0,32,0.001319,0.0,0.00064,4511.96,BUF 49%; NE 14%; IND 8%
115,SYNTH-07709,SYNTH-07709,0,32,0.001319,0.0,0.00056,4509.77,BUF 48%; NE 13%; IND 9%
116,SYNTH-05063,SYNTH-05063,0,32,0.001319,0.0,0.00032,4498.82,BUF 39%; NE 14%; IND 7%
117,SYNTH-23539,SYNTH-23539,0,32,0.001319,0.0,0.0004,4498.42,BUF 55%; NE 13%; IND 8%
118,SYNTH-07481,SYNTH-07481,0,32,0.001319,0.0,0.00032,4483.1,BUF 39%; NE 12%; BAL 8%
119,SYNTH-05398,SYNTH-05398,0,32,0.001319,0.0,0.00064,4479.23,BUF 53%; NE 14%; IND 8%
120,SYNTH-22911,SYNTH-22911,0,32,0.001319,0.0,0.00048,4476.81,BUF 50%; IND 10%; NE 10%
121,SYNTH-16903,SYNTH-16903,0,32,0.001319,0.0,0.0004,4474.82,BUF 27%; NE 12%; IND 7%
122,SYNTH-02854,SYNTH-02854,0,32,0.001319,0.0,0.0004,4474.19,BUF 38%; NE 14%; IND 8%
123,SYNTH-06060,SYNTH-06060,0,32,0.001319,0.0,0.0004,4467.01,BUF 51%; NE 11%; IND 10%
124,SYNTH-18980,SYNTH-18980,0,32,0.001319,0.0,0.0004,4465.57,BUF 54%; NE 11%; IND 10%
125,SYNTH-14589,SYNTH-14589,0,32,0.001319,0.0,0.00056,4458.42,BUF 43%; NE 14%; IND 9%
126,SYNTH-08568,SYNTH-08568,0,32,0.001319,0.0,0.00024,4453.33,BUF 47%; NE 11%; IND 10%
127,SYNTH-21791,SYNTH-21791,0,32,0.001319,0.0,0.00032,4439.02,BUF 33%; NE 13%; BAL 8%
128,SYNTH-16000,SYNTH-16000,0,32,0.001319,0.0,0.00056,4438.5,BUF 51%; NE 10%; IND 9%
129,SYNTH-11137,SYNTH-11137,0,32,0.001319,0.0,0.00032,4437.37,BUF 41%; NE 12%; IND 9%
130,SYNTH-04358,SYNTH-04358,0,32,0.001319,0.0,0.00032,4435.39,BUF 52%; NE 14%; IND 9%
131,SYNTH-00081,SYNTH-00081,0,32,0.001319,0.0,0.00032,4429.17,BUF 49%; NE 12%; IND 10%
132,SYNTH-19232,SYNTH-19232,0,32,0.001319,0.0,0.00032,4420.46,BUF 53%; NE 12%; IND 8%
133,SYNTH-11079,SYNTH-11079,0,32,0.001319,0.0,0.0004,4418.2,BUF 44%; NE 16%; IND 7%
134,SYNTH-15405,SYNTH-15405,0,32,0.001319,0.0,0.00032,4415.64,BUF 51%; NE 13%; IND 10%
135,SYNTH-08593,SYNTH-08593,0,32,0.001319,0.0,0.00032,4406.89,BUF 45%; NE 12%; IND 9%
136,SYNTH-18409,SYNTH-18409,0,32,0.001319,0.0,0.0004,4396.79,BUF 47%; NE 14%; IND 9%
137,SYNTH-16094,SYNTH-16094,0,32,0.001319,0.0,0.00024,4396.19,BUF 48%; NE 14%; IND 9%
138,SYNTH-03264,SYNTH-03264,0,32,0.001319,0.0,0.0004,4393.45,BUF 52%; NE 13%; IND 8%
139,SYNTH-15675,SYNTH-15675,0,32,0.001319,0.0,0.00024,4358.1,BUF 54%; NE 11%; IND 10%
140,SYNTH-13748,SYNTH-13748,0,32,0.001319,0.0,0.0004,4354.44,BUF 32%; NE 11%; IND 9%
141,SYNTH-16816,SYNTH-16816,0,32,0.001319,0.0,0.00048,4353.98,BUF 45%; NE 14%; IND 9%
142,SYNTH-17831,SYNTH-17831,0,32,0.001319,0.0,0.00032,4350.92,BUF 38%; NE 14%; IND 8%
143,SYNTH-13820,SYNTH-13820,0,32,0.001319,0.0,0.0004,4349.08,BUF 45%; NE 13%; BAL 8%
144,SYNTH-23040,SYNTH-23040,0,32,0.001319,0.0,0.00032,4338.35,BUF 46%; NE 14%; IND 9%
145,SYNTH-14261,SYNTH-14261,0,32,0.001319,0.0,0.00048,4325.63,BUF 46%; NE 15%; IND 8%
146,SYNTH-23402,SYNTH-23402,0,32,0.001319,0.0,0.0008,4325.04,BUF 45%; NE 16%; IND 7%
147,SYNTH-12219,SYNTH-12219,0,32,0.001319,0.0,0.00032,4323.25,BUF 48%; NE 15%; IND 9%
148,SYNTH-19923,SYNTH-19923,0,32,0.001319,0.0,0.00064,4317.51,BUF 50%; NE 14%; IND 8%
149,SYNTH-04737,SYNTH-04737,0,32,0.001319,0.0,0.00056,4315.35,BUF 36%; NE 14%; IND 8%
150,SYNTH-20052,SYNTH-20052,0,32,0.001319,0.0,0.00048,4312.88,BUF 56%; IND 10%; NE 10%
151,SYNTH-03126,SYNTH-03126,0,32,0.001319,0.0,0.0004,4312.71,BUF 46%; NE 12%; IND 9%
152,SYNTH-21927,SYNTH-21927,0,32,0.001319,0.0,0.00064,4309.37,BUF 49%; NE 15%; IND 8%
153,SYNTH-16255,SYNTH-16255,0,32,0.001319,0.0,0.00024,4301.54,BUF 41%; NE 13%; IND 9%
154,SYNTH-15677,SYNTH-15677,0,32,0.001319,0.0,0.0004,4289.75,BUF 40%; NE 16%; IND 7%
155,SYNTH-06333,SYNTH-06333,0,32,0.001319,0.0,0.00024,4284.44,BUF 41%; NE 13%; BAL 8%
156,SYNTH-03182,SYNTH-03182,0,32,0.001319,0.0,0.00056,4282.79,BUF 46%; NE 12%; IND 9%
157,SYNTH-03147,SYNTH-03147,0,32,0.001319,0.0,0.00032,4276.55,BUF 47%; NE 14%; IND 9%
158,SYNTH-05439,SYNTH-05439,0,32,0.001319,0.0,0.00032,4276.4,BUF 50%; NE 11%; IND 10%
159,SYNTH-12004,SYNTH-12004,0,32,0.001319,0.0,0.00032,4270.36,BUF 44%; NE 13%; IND 10%
160,SYNTH-23751,SYNTH-23751,0,32,0.001319,0.0,0.00032,4260.32,BUF 49%; NE 12%; IND 10%
161,SYNTH-05022,SYNTH-05022,0,32,0.001319,0.0,0.00072,4257.76,BUF 45%; NE 16%; IND 7%
162,SYNTH-23308,SYNTH-23308,0,32,0.001319,0.0,0.0004,4253.68,BUF 49%; NE 11%; IND 9%
163,SYNTH-04627,SYNTH-04627,0,32,0.001319,0.0,0.00032,4244.65,BUF 42%; NE 16%; SF 7%
164,SYNTH-15250,SYNTH-15250,0,32,0.001319,0.0,0.00032,4241.01,BUF 41%; NE 13%; IND 8%
165,SYNTH-06773,SYNTH-06773,0,32,0.001319,0.0,0.00024,4240.0,BUF 39%; NE 13%; IND 9%
166,SYNTH-11628,SYNTH-11628,0,32,0.001319,0.0,0.0004,4236.74,BUF 42%; NE 13%; IND 9%
167,SYNTH-16047,SYNTH-16047,0,32,0.001319,0.0,0.00032,4236.61,BUF 49%; NE 12%; IND 10%
168,SYNTH-07198,SYNTH-07198,0,32,0.001319,0.0,0.0004,4233.16,BUF 37%; NE 14%; IND 7%
169,SYNTH-00333,SYNTH-00333,0,32,0.001319,0.0,0.0004,4228.28,BUF 45%; NE 11%; BAL 9%
170,SYNTH-22839,SYNTH-22839,0,32,0.001319,0.0,0.00032,4228.06,BUF 53%; NE 14%; IND 8%
171,SYNTH-03746,SYNTH-03746,0,32,0.001319,0.0,0.00072,4227.89,BUF 47%; NE 14%; IND 8%
172,SYNTH-23407,SYNTH-23407,0,32,0.001319,0.0,0.00024,4224.0,BUF 35%; NE 11%; BAL 9%
173,SYNTH-16184,SYNTH-16184,0,32,0.001319,0.0,0.00024,4220.95,BUF 43%; NE 14%; IND 8%
174,SYNTH-04911,SYNTH-04911,0,32,0.001319,0.0,0.00032,4217.86,BUF 47%; NE 13%; IND 9%
175,SYNTH-14718,SYNTH-14718,0,32,0.001319,0.0,0.0004,4211.62,BUF 51%; NE 13%; IND 9%
176,SYNTH-14423,SYNTH-14423,0,32,0.001319,0.0,0.0004,4211.21,BUF 56%; NE 11%; IND 9%
177,SYNTH-15644,SYNTH-15644,0,32,0.001319,0.0,0.00048,4201.49,BUF 41%; NE 13%; IND 9%
178,SYNTH-15849,SYNTH-15849,0,32,0.001319,0.0,0.00024,4198.21,BUF 46%; NE 13%; IND 9%
179,SYNTH-13853,SYNTH-13853,0,32,0.001319,0.0,0.0004,4196.79,BUF 37%; NE 13%; IND 8%
180,SYNTH-09347,SYNTH-09347,0,32,0.001319,0.0,0.0004,4189.71,BUF 38%; NE 11%; IND 9%
181,SYNTH-12884,SYNTH-12884,0,32,0.001319,0.0,0.00032,4188.2,BUF 49%; NE 16%; IND 8%
182,SYNTH-04458,SYNTH-04458,0,32,0.001319,0.0,0.00024,4186.67,BUF 38%; NE 16%; IND 7%
183,SYNTH-04536,SYNTH-04536,0,32,0.001319,0.0,0.00024,4185.32,BUF 40%; NE 14%; IND 8%
184,SYNTH-21886,SYNTH-21886,0,32,0.001319,0.0,0.00024,4180.43,BUF 44%; NE 14%; IND 8%
185,SYNTH-16386,SYNTH-16386,0,32,0.001319,0.0,0.00064,4176.21,BUF 61%; NE 11%; IND 10%
186,SYNTH-07313,SYNTH-07313,0,32,0.001319,0.0,0.00048,4174.2,BUF 61%; IND 11%; NE 10%
187,SYNTH-06181,SYNTH-06181,0,32,0.001319,0.0,0.00032,4173.48,BUF 55%; NE 13%; IND 9%
188,SYNTH-06579,SYNTH-06579,0,32,0.001319,0.0,0.00064,4172.73,BUF 59%; NE 12%; IND 9%
189,SYNTH-12397,SYNTH-12397,0,32,0.001319,0.0,0.00024,4171.03,BUF 44%; NE 12%; IND 9%
190,SYNTH-10320,SYNTH-10320,0,32,0.001319,0.0,0.00032,4167.66,BUF 52%; NE 11%; IND 10%
191,SYNTH-13975,SYNTH-13975,0,32,0.001319,0.0,0.00048,4166.08,BUF 54%; IND 11%; NE 10%
192,SYNTH-10820,SYNTH-10820,0,32,0.001319,0.0,0.00048,4163.4,BUF 48%; NE 13%; IND 10%
193,SYNTH-04666,SYNTH-04666,0,32,0.001319,0.0,0.00048,4157.29,BUF 40%; NE 14%; BAL 8%
194,SYNTH-07185,SYNTH-07185,0,32,0.001319,0.0,0.00024,4155.79,BUF 40%; NE 11%; IND 10%
195,SYNTH-13917,SYNTH-13917,0,32,0.001319,0.0,0.0004,4155.32,BUF 40%; NE 15%; IND 8%
196,SYNTH-01074,SYNTH-01074,0,32,0.001319,0.0,0.00048,4152.34,BUF 58%; NE 10%; IND 10%
197,SYNTH-04455,SYNTH-04455,0,32,0.001319,0.0,0.00032,4143.54,BUF 41%; NE 13%; IND 9%
198,SYNTH-05955,SYNTH-05955,0,32,0.001319,0.0,0.00064,4131.71,BUF 51%; NE 13%; IND 9%
199,SYNTH-06221,SYNTH-06221,0,32,0.001319,0.0,0.00032,4126.12,BUF 46%; NE 13%; IND 10%
200,SYNTH-00708,SYNTH-00708,0,32,0.001319,0.0,0.00024,4125.92,BUF 35%; NE 12%; IND 9%
201,SYNTH-00323,SYNTH-00323,0,32,0.001319,0.0,0.00024,4122.35,BUF 38%; NE 12%; IND 9%
202,SYNTH-23301,SYNTH-23301,0,32,0.001319,0.0,0.00048,4121.76,BUF 44%; NE 13%; IND 10%
203,SYNTH-22426,SYNTH-22426,0,32,0.001319,0.0,0.00024,4111.19,BUF 40%; NE 13%; IND 9%
204,SYNTH-04528,SYNTH-04528,0,32,0.001319,0.0,0.00024,4111.19,BUF 41%; NE 15%; IND 8%
205,SYNTH-17982,SYNTH-17982,0,32,0.001319,0.0,0.00056,4109.68,BUF 48%; NE 12%; IND 10%
206,SYNTH-15971,SYNTH-15971,0,32,0.001319,0.0,0.00024,4109.66,BUF 36%; NE 14%; IND 8%
207,SYNTH-07779,SYNTH-07779,0,32,0.001319,0.0,0.00032,4104.5,BUF 50%; NE 12%; IND 10%
208,SYNTH-13704,SYNTH-13704,0,32,0.001319,0.0,0.00024,4103.74,BUF 39%; NE 12%; BAL 10%
209,SYNTH-21699,SYNTH-21699,0,32,0.001319,0.0,0.00048,4103.48,BUF 45%; NE 16%; IND 7%
210,SYNTH-06764,SYNTH-06764,0,32,0.001319,0.0,0.00024,4102.3,BUF 47%; NE 13%; IND 9%
211,SYNTH-17433,SYNTH-17433,0,32,0.001319,0.0,0.0004,4101.72,BUF 43%; NE 12%; BAL 9%
212,SYNTH-05267,SYNTH-05267,0,32,0.001319,0.0,0.00024,4100.87,BUF 52%; NE 15%; IND 9%
213,SYNTH-00357,SYNTH-00357,0,32,0.001319,0.0,0.00032,4100.7,BUF 37%; NE 17%; SF 7%
214,SYNTH-08751,SYNTH-08751,0,32,0.001319,0.0,0.00024,4099.77,BUF 36%; NE 15%; IND 7%
215,SYNTH-07880,SYNTH-07880,0,32,0.001319,0.0,0.00024,4098.02,BUF 46%; NE 12%; IND 9%
216,SYNTH-13730,SYNTH-13730,0,32,0.001319,0.0,0.00048,4083.44,BUF 42%; NE 13%; IND 8%
217,SYNTH-14540,SYNTH-14540,0,32,0.001319,0.0,0.00032,4083.19,BUF 52%; NE 11%; IND 11%
218,SYNTH-19261,SYNTH-19261,0,32,0.001319,0.0,0.00024,4055.89,BUF 36%; NE 12%; IND 9%
219,SYNTH-15004,SYNTH-15004,0,32,0.001319,0.0,0.00032,4052.11,BUF 49%; NE 15%; IND 8%
220,SYNTH-15207,SYNTH-15207,0,32,0.001319,0.0,0.00024,4051.45,BUF 43%; NE 12%; IND 9%
221,SYNTH-21846,SYNTH-21846,0,32,0.001319,0.0,0.00024,4050.53,BUF 38%; NE 14%; IND 8%
222,SYNTH-09413,SYNTH-09413,0,32,0.001319,0.0,0.0004,4047.97,BUF 52%; NE 12%; IND 9%
