rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-11343,SYNTH-11343,0,32,0.002265,0.0,0.00096,8080.71,JAX 66%; LAC 6%; CIN 4%
38,SYNTH-04550,SYNTH-04550,0,32,0.002265,0.0,0.00096,4322.1,JAX 64%; LAC 6%; CIN 5%
39,SYNTH-22994,SYNTH-22994,0,32,0.002265,0.0,0.00176,4305.92,JAX 80%; LAC 4%; CIN 3%
40,SYNTH-08114,SYNTH-08114,0,32,0.002265,0.0,0.0008,4301.57,JAX 55%; LAC 7%; CIN 6%
41,SYNTH-22111,SYNTH-22111,0,32,0.002265,0.0,0.00128,4298.36,JAX 72%; LAC 5%; CIN 3%
42,SYNTH-06233,SYNTH-06233,0,32,0.002265,0.0,0.00072,4251.54,JAX 56%; LAC 7%; CIN 5%
43,SYNTH-05136,SYNTH-05136,0,32,0.002265,0.0,0.0012,4242.58,JAX 76%; LAC 5%; DET 3%
44,SYNTH-19062,SYNTH-19062,0,32,0.002265,0.0,0.0008,4231.38,JAX 70%; LAC 6%; DET 4%
45,SYNTH-17280,SYNTH-17280,0,32,0.002265,0.0,0.00184,4221.26,JAX 82%; LAC 4%; DET 2%
46,SYNTH-17498,SYNTH-17498,0,32,0.002265,0.0,0.0012,4214.28,JAX 66%; LAC 6%; CIN 4%
47,SYNTH-10124,SYNTH-10124,0,32,0.002265,0.0,0.00048,4214.16,JAX 56%; LAC 6%; CIN 5%
48,SYNTH-21610,SYNTH-21610,0,32,0.002265,0.0,0.00144,4211.08,JAX 68%; LAC 6%; DET 4%
49,SYNTH-00172,SYNTH-00172,0,32,0.002265,0.0,0.00152,4203.05,JAX 70%; LAC 6%; CIN 4%
50,SYNTH-01416,SYNTH-01416,0,32,0.002265,0.0,0.00072,4201.83,JAX 65%; LAC 6%; CIN 4%
51,SYNTH-10415,SYNTH-10415,0,32,0.002265,0.0,0.00144,4192.1,JAX 72%; LAC 5%; CIN 4%
52,SYNTH-16455,SYNTH-16455,0,32,0.002265,0.0,0.00152,4188.58,JAX 75%; LAC 5%; CIN 3%
53,SYNTH-15811,SYNTH-15811,0,32,0.002265,0.0,0.00144,4183.06,JAX 70%; LAC 5%; CIN 4%
54,SYNTH-16037,SYNTH-16037,0,32,0.002265,0.0,0.0012,4177.72,JAX 74%; LAC 5%; CIN 3%
55,SYNTH-11374,SYNTH-11374,0,32,0.002265,0.0,0.0008,4171.84,JAX 64%; LAC 6%; CIN 5%
56,SYNTH-15439,SYNTH-15439,0,32,0.002265,0.0,0.00088,4163.79,JAX 61%; LAC 6%; CIN 5%
57,SYNTH-06818,SYNTH-06818,0,32,0.002265,0.0,0.0012,4157.75,JAX 80%; LAC 4%; CIN 2%
58,SYNTH-19533,SYNTH-19533,0,32,0.002265,0.0,0.0016,4157.57,JAX 69%; LAC 5%; CIN 4%
59,SYNTH-17041,SYNTH-17041,0,32,0.002265,0.0,0.00064,4154.86,JAX 55%; LAC 7%; CIN 6%
60,SYNTH-20509,SYNTH-20509,0,32,0.002265,0.0,0.00184,4153.73,JAX 85%; LAC 3%; DET 2%
61,SYNTH-11385,SYNTH-11385,0,32,0.002265,0.0,0.0012,4147.33,JAX 71%; LAC 5%; CIN 4%
62,SYNTH-05538,SYNTH-05538,0,32,0.002265,0.0,0.0012,4144.02,JAX 63%; LAC 6%; CIN 5%
63,SYNTH-15047,SYNTH-15047,0,32,0.002265,0.0,0.00056,4117.18,JAX 56%; LAC 6%; CIN 5%
64,SYNTH-21782,SYNTH-21782,0,32,0.002265,0.0,0.00136,4112.44,JAX 75%; LAC 5%; CIN 3%
65,SYNTH-01309,SYNTH-01309,0,32,0.002265,0.0,0.00072,4104.06,JAX 63%; LAC 6%; CIN 5%
66,SYNTH-08087,SYNTH-08087,0,32,0.002265,0.0,0.00056,4103.68,JAX 61%; LAC 6%; CIN 5%
67,SYNTH-06964,SYNTH-06964,0,32,0.002265,0.0,0.00088,4098.01,JAX 70%; LAC 6%; CIN 4%
68,SYNTH-10248,SYNTH-10248,0,32,0.002265,0.0,0.00096,4081.09,JAX 70%; LAC 6%; CIN 4%
69,SYNTH-11455,SYNTH-11455,0,32,0.002265,0.0,0.00088,4080.76,JAX 83%; LAC 4%; CIN 2%
70,SYNTH-05219,SYNTH-05219,0,32,0.002265,0.0,0.00056,4078.92,JAX 69%; LAC 5%; CIN 4%
71,SYNTH-09230,SYNTH-09230,0,32,0.002265,0.0,0.00072,4077.94,JAX 47%; LAC 7%; CIN 7%
72,SYNTH-23106,SYNTH-23106,0,32,0.002265,0.0,0.00048,4065.39,JAX 61%; LAC 6%; CIN 5%
73,SYNTH-12624,SYNTH-12624,0,32,0.002265,0.0,0.00136,4055.22,JAX 68%; LAC 6%; CIN 4%
74,SYNTH-11284,SYNTH-11284,0,32,0.002265,0.0,0.00104,4026.22,JAX 68%; LAC 5%; CIN 4%
75,SYNTH-17398,SYNTH-17398,0,32,0.002265,0.0,0.00096,4013.06,JAX 65%; LAC 6%; CIN 5%
76,SYNTH-17518,SYNTH-17518,0,32,0.002265,0.0,0.00104,4012.06,JAX 72%; LAC 5%; CIN 4%
77,SYNTH-00724,SYNTH-00724,0,32,0.002265,0.0,0.00088,4010.34,JAX 60%; LAC 6%; CIN 5%
78,SYNTH-07048,SYNTH-07048,0,32,0.002265,0.0,0.00096,4006.45,JAX 86%; LAC 3%; DET 2%
79,SYNTH-20854,SYNTH-20854,0,32,0.002265,0.0,0.00056,3997.24,JAX 53%; LAC 7%; CIN 6%
80,SYNTH-11009,SYNTH-11009,0,32,0.002265,0.0,0.00072,3975.02,JAX 53%; LAC 7%; CIN 6%
81,SYNTH-05893,SYNTH-05893,0,32,0.002265,0.0,0.00064,3972.8,JAX 74%; LAC 5%; CIN 4%
82,SYNTH-01373,SYNTH-01373,0,32,0.002265,0.0,0.00112,3970.79,JAX 67%; LAC 5%; CIN 4%
83,SYNTH-11541,SYNTH-11541,0,32,0.002265,0.0,0.0008,3970.32,JAX 59%; LAC 7%; CIN 5%
84,SYNTH-22648,SYNTH-22648,0,32,0.002265,0.0,0.0008,3969.19,JAX 58%; LAC 6%; CIN 5%
85,SYNTH-04156,SYNTH-04156,0,32,0.002265,0.0,0.00048,3964.68,JAX 62%; LAC 6%; CIN 5%
86,SYNTH-00456,SYNTH-00456,0,32,0.002265,0.0,0.00056,3963.35,JAX 48%; HOU 7%; CIN 7%
87,SYNTH-00582,SYNTH-00582,0,32,0.002265,0.0,0.00128,3958.4,JAX 68%; LAC 6%; CIN 4%
88,SYNTH-21356,SYNTH-21356,0,32,0.002265,0.0,0.00048,3948.85,JAX 58%; LAC 6%; CIN 5%
89,SYNTH-01059,SYNTH-01059,0,32,0.002265,0.0,0.00096,3943.81,JAX 69%; LAC 5%; CIN 4%
90,SYNTH-15772,SYNTH-15772,0,32,0.002265,0.0,0.00136,3943.01,JAX 75%; LAC 4%; CIN 3%
91,SYNTH-14159,SYNTH-14159,0,32,0.002265,0.0,0.00048,3937.9,JAX 48%; LAC 8%; CIN 6%
92,SYNTH-03281,SYNTH-03281,0,32,0.002265,0.0,0.00088,3933.96,JAX 68%; LAC 6%; CIN 4%
93,SYNTH-15174,SYNTH-15174,0,32,0.002265,0.0,0.0008,3931.92,JAX 66%; LAC 6%; CIN 4%
94,SYNTH-06566,SYNTH-06566,0,32,0.002265,0.0,0.00128,3930.25,JAX 60%; LAC 6%; CIN 5%
95,SYNTH-23766,SYNTH-23766,0,32,0.002265,0.0,0.00104,3927.72,JAX 73%; LAC 5%; DET 3%
96,SYNTH-00129,SYNTH-00129,0,32,0.002265,0.0,0.00096,3910.04,JAX 68%; LAC 5%; CIN 4%
97,SYNTH-07443,SYNTH-07443,0,32,0.002265,0.0,0.0012,3892.26,JAX 70%; LAC 5%; CIN 4%
98,SYNTH-16615,SYNTH-16615,0,32,0.002265,0.0,0.00152,3891.73,JAX 68%; LAC 6%; CIN 4%
99,SYNTH-23036,SYNTH-23036,0,32,0.002265,0.0,0.00136,3887.23,JAX 61%; LAC 6%; CIN 5%
100,SYNTH-06443,SYNTH-06443,0,32,0.002265,0.0,0.00056,3883.58,JAX 63%; LAC 5%; CIN 4%
101,SYNTH-04474,SYNTH-04474,0,32,0.002265,0.0,0.0012,3881.3,JAX 77%; LAC 4%; CIN 3%
102,SYNTH-06881,SYNTH-06881,0,32,0.002265,0.0,0.00088,3879.17,JAX 68%; LAC 5%; CIN 4%
103,SYNTH-19096,SYNTH-19096,0,32,0.002265,0.0,0.00096,3877.02,JAX 75%; LAC 5%; CIN 3%
104,SYNTH-03875,SYNTH-03875,0,32,0.002265,0.0,0.00112,3873.91,JAX 68%; LAC 6%; CIN 4%
105,SYNTH-13102,SYNTH-13102,0,32,0.002265,0.0,0.00128,3872.72,JAX 70%; LAC 6%; CIN 4%
106,SYNTH-21090,SYNTH-21090,0,32,0.002265,0.0,0.00048,3852.06,JAX 68%; LAC 5%; CIN 4%
107,SYNTH-18212,SYNTH-18212,0,32,0.002265,0.0,0.00088,3851.62,JAX 71%; LAC 5%; CIN 4%
108,SYNTH-14546,SYNTH-14546,0,32,0.002265,0.0,0.00056,3850.23,JAX 50%; LAC 6%; CIN 6%
109,SYNTH-10366,SYNTH-10366,0,32,0.002265,0.0,0.00072,3841.19,JAX 44%; LAC 8%; CIN 7%
110,SYNTH-09275,SYNTH-09275,0,32,0.002265,0.0,0.0008,3834.17,JAX 58%; LAC 6%; CIN 5%
111,SYNTH-23638,SYNTH-23638,0,32,0.002265,0.0,0.00112,3828.79,JAX 72%; LAC 5%; CIN 3%
112,SYNTH-19739,SYNTH-19739,0,32,0.002265,0.0,0.00072,3820.86,JAX 67%; LAC 6%; CIN 4%
113,SYNTH-01889,SYNTH-01889,0,32,0.002265,0.0,0.00056,3819.48,JAX 71%; LAC 6%; DET 4%
114,SYNTH-08655,SYNTH-08655,0,32,0.002265,0.0,0.00088,3816.51,JAX 69%; LAC 5%; CIN 4%
115,SYNTH-10879,SYNTH-10879,0,32,0.002265,0.0,0.00088,3809.1,JAX 67%; LAC 6%; CIN 4%
116,SYNTH-10468,SYNTH-10468,0,32,0.002265,0.0,0.0008,3805.16,JAX 71%; LAC 5%; CIN 4%
117,SYNTH-07966,SYNTH-07966,0,32,0.002265,0.0,0.00072,3795.57,JAX 67%; LAC 6%; CIN 4%
118,SYNTH-13631,SYNTH-13631,0,32,0.002265,0.0,0.0012,3759.74,JAX 70%; LAC 5%; CIN 4%
119,SYNTH-23427,SYNTH-23427,0,32,0.002265,0.0,0.00032,3755.69,JAX 51%; LAC 7%; CIN 6%
120,SYNTH-08760,SYNTH-08760,0,32,0.002265,0.0,0.00064,3752.31,JAX 66%; LAC 6%; CIN 4%
121,SYNTH-16694,SYNTH-16694,0,32,0.002265,0.0,0.00136,3752.03,JAX 85%; LAC 4%; DET 2%
122,SYNTH-23734,SYNTH-23734,0,32,0.002265,0.0,0.00088,3744.96,JAX 73%; LAC 5%; DET 4%
123,SYNTH-02753,SYNTH-02753,0,32,0.002265,0.0,0.00104,3735.15,JAX 73%; LAC 5%; CIN 3%
124,SYNTH-00892,SYNTH-00892,0,32,0.002265,0.0,0.00096,3727.05,JAX 65%; LAC 6%; CIN 5%
125,SYNTH-02213,SYNTH-02213,0,32,0.002265,0.0,0.00072,3723.58,JAX 64%; LAC 5%; CIN 5%
126,SYNTH-13684,SYNTH-13684,0,32,0.002265,0.0,0.00112,3716.01,JAX 67%; LAC 6%; CIN 4%
127,SYNTH-06954,SYNTH-06954,0,32,0.002265,0.0,0.00112,3713.43,JAX 62%; LAC 6%; CIN 5%
128,SYNTH-07926,SYNTH-07926,0,32,0.002265,0.0,0.0008,3712.32,JAX 67%; LAC 6%; CIN 4%
129,SYNTH-16972,SYNTH-16972,0,32,0.002265,0.0,0.00104,3712.27,JAX 67%; LAC 6%; CIN 4%
130,SYNTH-22089,SYNTH-22089,0,32,0.002265,0.0,0.0012,3709.53,JAX 79%; LAC 4%; CIN 3%
131,SYNTH-22634,SYNTH-22634,0,32,0.002265,0.0,0.00208,3699.46,JAX 75%; LAC 5%; CIN 3%
132,SYNTH-21581,SYNTH-21581,0,32,0.002265,0.0,0.00088,3690.39,JAX 61%; LAC 6%; CIN 5%
133,SYNTH-03519,SYNTH-03519,0,32,0.002265,0.0,0.00104,3674.88,JAX 59%; LAC 7%; CIN 5%
134,SYNTH-08070,SYNTH-08070,0,32,0.002265,0.0,0.00088,3655.72,JAX 58%; LAC 6%; CIN 5%
135,SYNTH-05887,SYNTH-05887,0,32,0.002265,0.0,0.00088,3652.88,JAX 57%; LAC 6%; CIN 5%
136,SYNTH-10512,SYNTH-10512,0,32,0.002265,0.0,0.0012,3651.04,JAX 73%; LAC 5%; CIN 3%
137,SYNTH-17532,SYNTH-17532,0,32,0.002265,0.0,0.00096,3647.19,JAX 69%; LAC 6%; DET 4%
138,SYNTH-14364,SYNTH-14364,0,32,0.002265,0.0,0.00096,3639.36,JAX 67%; LAC 5%; CIN 4%
139,SYNTH-19736,SYNTH-19736,0,32,0.002265,0.0,0.0008,3635.88,JAX 59%; LAC 5%; CIN 5%
140,SYNTH-18102,SYNTH-18102,0,32,0.002265,0.0,0.00056,3630.7,JAX 54%; LAC 7%; CIN 6%
141,SYNTH-03507,SYNTH-03507,0,32,0.002265,0.0,0.00192,3630.65,JAX 80%; LAC 4%; CIN 2%
142,SYNTH-21368,SYNTH-21368,0,32,0.002265,0.0,0.00096,3629.01,JAX 79%; LAC 4%; CIN 2%
143,SYNTH-11229,SYNTH-11229,0,32,0.002265,0.0,0.0008,3628.26,JAX 65%; LAC 6%; CIN 5%
144,SYNTH-21927,SYNTH-21927,0,32,0.002265,0.0,0.0008,3619.79,JAX 76%; LAC 5%; DET 4%
145,SYNTH-11165,SYNTH-11165,0,32,0.002265,0.0,0.00096,3618.56,JAX 59%; LAC 6%; CIN 5%
146,SYNTH-02663,SYNTH-02663,0,32,0.002265,0.0,0.0008,3616.25,JAX 62%; LAC 6%; CIN 5%
147,SYNTH-23776,SYNTH-23776,0,32,0.002265,0.0,0.00056,3615.65,JAX 48%; LAC 7%; CIN 7%
148,SYNTH-04739,SYNTH-04739,0,32,0.002265,0.0,0.00096,3595.23,JAX 61%; LAC 6%; CIN 5%
149,SYNTH-02408,SYNTH-02408,0,32,0.002265,0.0,0.00136,3586.03,JAX 69%; LAC 6%; CIN 4%
150,SYNTH-15282,SYNTH-15282,0,32,0.002265,0.0,0.00048,3585.2,JAX 56%; LAC 6%; CIN 6%
151,SYNTH-05622,SYNTH-05622,0,32,0.002265,0.0,0.0008,3576.57,JAX 66%; LAC 6%; CIN 4%
152,SYNTH-22983,SYNTH-22983,0,32,0.002265,0.0,0.00136,3576.31,JAX 74%; LAC 5%; CIN 4%
153,SYNTH-16546,SYNTH-16546,0,32,0.002265,0.0,0.0004,3570.48,JAX 60%; LAC 7%; CIN 5%
154,SYNTH-06538,SYNTH-06538,0,32,0.002265,0.0,0.00104,3566.33,JAX 66%; LAC 6%; CIN 4%
155,SYNTH-21605,SYNTH-21605,0,32,0.002265,0.0,0.0008,3556.9,JAX 72%; LAC 5%; CIN 3%
156,SYNTH-23055,SYNTH-23055,0,32,0.002265,0.0,0.00096,3552.75,JAX 64%; LAC 6%; CIN 5%
157,SYNTH-16925,SYNTH-16925,0,32,0.002265,0.0,0.00088,3542.62,JAX 71%; LAC 5%; CIN 4%
158,SYNTH-13588,SYNTH-13588,0,32,0.002265,0.0,0.0008,3539.37,JAX 61%; LAC 6%; CIN 5%
159,SYNTH-02485,SYNTH-02485,0,32,0.002265,0.0,0.0008,3535.42,JAX 66%; LAC 6%; CIN 4%
160,SYNTH-21339,SYNTH-21339,0,32,0.002265,0.0,0.00064,3533.19,JAX 41%; CIN 7%; HOU 7%
161,SYNTH-03823,SYNTH-03823,0,32,0.002265,0.0,0.00104,3531.23,JAX 60%; LAC 6%; CIN 5%
162,SYNTH-10897,SYNTH-10897,0,32,0.002265,0.0,0.00096,3525.89,JAX 80%; LAC 4%; CIN 2%
163,SYNTH-19521,SYNTH-19521,0,32,0.002265,0.0,0.00088,3522.14,JAX 70%; LAC 6%; CIN 4%
164,SYNTH-07993,SYNTH-07993,0,32,0.002265,0.0,0.00096,3521.78,JAX 74%; LAC 5%; CIN 3%
165,SYNTH-14515,SYNTH-14515,0,32,0.002265,0.0,0.00144,3520.71,JAX 75%; LAC 5%; CIN 3%
166,SYNTH-15220,SYNTH-15220,0,32,0.002265,0.0,0.0012,3519.7,JAX 84%; LAC 4%; DET 2%
167,SYNTH-09725,SYNTH-09725,0,32,0.002265,0.0,0.00152,3515.71,JAX 70%; LAC 6%; CIN 4%
168,SYNTH-21771,SYNTH-21771,0,32,0.002265,0.0,0.00096,3514.6,JAX 69%; LAC 6%; CIN 4%
169,SYNTH-12756,SYNTH-12756,0,32,0.002265,0.0,0.00072,3501.31,JAX 69%; LAC 6%; CIN 4%
170,SYNTH-19128,SYNTH-19128,0,32,0.002265,0.0,0.0012,3499.74,JAX 69%; LAC 5%; CIN 4%
171,SYNTH-02143,SYNTH-02143,0,32,0.002265,0.0,0.0016,3499.39,JAX 74%; LAC 5%; CIN 3%
172,SYNTH-15832,SYNTH-15832,0,32,0.002265,0.0,0.00104,3494.51,JAX 77%; LAC 5%; DET 3%
173,SYNTH-15618,SYNTH-15618,0,32,0.002265,0.0,0.00072,3494.35,JAX 65%; LAC 6%; CIN 4%
174,SYNTH-16583,SYNTH-16583,0,32,0.002265,0.0,0.00176,3493.63,JAX 84%; LAC 3%; CIN 2%
175,SYNTH-07577,SYNTH-07577,0,32,0.002265,0.0,0.0008,3491.8,JAX 64%; LAC 6%; CIN 5%
176,SYNTH-20713,SYNTH-20713,0,32,0.002265,0.0,0.00048,3491.31,JAX 69%; LAC 6%; CIN 4%
177,SYNTH-23604,SYNTH-23604,0,32,0.002265,0.0,0.00064,3482.03,JAX 59%; LAC 6%; CIN 5%
178,SYNTH-09390,SYNTH-09390,0,32,0.002265,0.0,0.00088,3475.34,JAX 68%; LAC 6%; CIN 4%
179,SYNTH-22682,SYNTH-22682,0,32,0.002265,0.0,0.00208,3475.03,JAX 77%; LAC 4%; CIN 3%
180,SYNTH-06397,SYNTH-06397,0,32,0.002265,0.0,0.00072,3474.81,JAX 63%; LAC 6%; CIN 5%
181,SYNTH-03801,SYNTH-03801,0,32,0.002265,0.0,0.00096,3470.34,JAX 73%; LAC 5%; CIN 4%
182,SYNTH-13508,SYNTH-13508,0,32,0.002265,0.0,0.00104,3469.1,JAX 66%; LAC 5%; CIN 4%
183,SYNTH-15848,SYNTH-15848,0,32,0.002265,0.0,0.0012,3467.9,JAX 55%; LAC 7%; CIN 6%
184,SYNTH-04308,SYNTH-04308,0,32,0.002265,0.0,0.00104,3462.7,JAX 58%; LAC 6%; CIN 5%
185,SYNTH-01989,SYNTH-01989,0,32,0.002265,0.0,0.00128,3461.43,JAX 61%; LAC 7%; CIN 5%
186,SYNTH-10193,SYNTH-10193,0,32,0.002265,0.0,0.00144,3459.83,JAX 72%; LAC 5%; CIN 4%
187,SYNTH-01279,SYNTH-01279,0,32,0.002265,0.0,0.00176,3458.94,JAX 81%; LAC 4%; CIN 2%
188,SYNTH-19472,SYNTH-19472,0,32,0.002265,0.0,0.0008,3454.55,JAX 66%; LAC 6%; CIN 4%
189,SYNTH-15964,SYNTH-15964,0,32,0.002265,0.0,0.00104,3447.54,JAX 78%; LAC 4%; CIN 3%
190,SYNTH-11958,SYNTH-11958,0,32,0.002265,0.0,0.00112,3446.01,JAX 60%; LAC 6%; CIN 5%
191,SYNTH-09586,SYNTH-09586,0,32,0.002265,0.0,0.00112,3440.23,JAX 75%; LAC 5%; CIN 3%
192,SYNTH-03214,SYNTH-03214,0,32,0.002265,0.0,0.00072,3426.34,JAX 56%; LAC 6%; CIN 6%
193,SYNTH-14509,SYNTH-14509,0,32,0.002265,0.0,0.0008,3425.04,JAX 61%; LAC 6%; CIN 5%
194,SYNTH-08868,SYNTH-08868,0,32,0.002265,0.0,0.00112,3424.88,JAX 78%; LAC 4%; CIN 3%
195,SYNTH-00004,SYNTH-00004,0,32,0.002265,0.0,0.00048,3421.69,JAX 62%; LAC 6%; CIN 5%
196,SYNTH-11217,SYNTH-11217,0,32,0.002265,0.0,0.00056,3419.72,JAX 43%; LAC 7%; CIN 7%
197,SYNTH-20508,SYNTH-20508,0,32,0.002265,0.0,0.00072,3416.13,JAX 67%; LAC 6%; DET 5%
198,SYNTH-02195,SYNTH-02195,0,32,0.002265,0.0,0.00096,3415.52,JAX 82%; LAC 4%; CIN 2%
199,SYNTH-11492,SYNTH-11492,0,32,0.002265,0.0,0.00064,3414.12,JAX 55%; LAC 7%; CIN 6%
200,SYNTH-05157,SYNTH-05157,0,32,0.002265,0.0,0.00032,3406.77,JAX 57%; LAC 7%; CIN 5%
201,SYNTH-17142,SYNTH-17142,0,32,0.002265,0.0,0.00104,3392.87,JAX 67%; LAC 6%; CIN 4%
202,SYNTH-09701,SYNTH-09701,0,32,0.002265,0.0,0.00096,3390.81,JAX 59%; LAC 7%; CIN 5%
203,SYNTH-15754,SYNTH-15754,0,32,0.002265,0.0,0.00144,3385.32,JAX 84%; LAC 3%; CIN 2%
204,SYNTH-08599,SYNTH-08599,0,32,0.002265,0.0,0.00088,3382.98,JAX 50%; LAC 7%; CIN 6%
205,SYNTH-14143,SYNTH-14143,0,32,0.002265,0.0,0.00144,3375.23,JAX 78%; LAC 4%; CIN 3%
206,SYNTH-22693,SYNTH-22693,0,32,0.002265,0.0,0.00064,3375.09,JAX 58%; LAC 6%; CIN 5%
207,SYNTH-19867,SYNTH-19867,0,32,0.002265,0.0,0.00088,3373.11,JAX 63%; LAC 6%; CIN 5%
208,SYNTH-06013,SYNTH-06013,0,32,0.002265,0.0,0.00072,3367.35,JAX 73%; LAC 5%; CIN 3%
209,SYNTH-17746,SYNTH-17746,0,32,0.002265,0.0,0.00072,3362.53,JAX 62%; LAC 6%; CIN 5%
210,SYNTH-03534,SYNTH-03534,0,32,0.002265,0.0,0.00104,3361.81,JAX 74%; LAC 5%; CIN 3%
211,SYNTH-10404,SYNTH-10404,0,32,0.002265,0.0,0.00088,3360.25,JAX 72%; LAC 5%; CIN 4%
212,SYNTH-17302,SYNTH-17302,0,32,0.002265,0.0,0.00096,3351.94,JAX 74%; LAC 5%; CIN 3%
213,SYNTH-08062,SYNTH-08062,0,32,0.002265,0.0,0.0004,3349.44,JAX 49%; LAC 7%; CIN 7%
214,SYNTH-18060,SYNTH-18060,0,32,0.002265,0.0,0.00112,3349.29,JAX 71%; LAC 5%; CIN 4%
215,SYNTH-19467,SYNTH-19467,0,32,0.002265,0.0,0.0008,3344.46,JAX 67%; LAC 6%; CIN 4%
216,SYNTH-16666,SYNTH-16666,0,32,0.002265,0.0,0.00104,3343.97,JAX 71%; LAC 5%; CIN 4%
