rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,GET CRUNK-9,GET CRUNK,13,19,0.120139,0.0,0.07096,688988.13,SEA 25%; MIA 18%; LA 16%
39,SHOTGUN KEVIN WINS-1,SHOTGUN KEVIN WINS,13,19,0.096348,0.0,0.03824,246054.56,MIA 32%; JAX 24%; SF 20%
40,ITSTARTSWITHABET-6,ITSTARTSWITHABET,13,19,0.090711,0.0,0.05352,235037.59,MIA 41%; SF 25%; ATL 11%
41,GREATTHINGS-3,GREATTHINGS,13,19,0.096255,0.0,0.05144,234754.25,LAC 69%; MIA 9%; SEA 9%
42,SAMMY SADIST ON OF-9,SAMMY SADIST ON OF,13,19,0.089469,0.0,0.04992,228263.95,LAC 67%; MIA 9%; JAX 7%
43,ACCORSI-1,ACCORSI,13,19,0.065071,0.0,0.03232,226762.84,LAC 79%; MIA 5%; JAX 5%
44,PURPLE LAMBO-9,PURPLE LAMBO,13,19,0.083863,0.0,0.04984,218997.82,LAC 75%; MIA 10%; JAX 7%
45,THEWESTWINGERS-7,THEWESTWINGERS,13,19,0.072586,0.0,0.04544,217440.85,LAC 76%; MIA 10%; SF 6%
46,PLAYERPROPSKING-1,PLAYERPROPSKING,13,19,0.093349,0.0,0.04832,211521.69,LAC 71%; MIA 9%; JAX 7%
47,1BTMCO-4,1BTMCO,13,19,0.075671,0.0,0.03504,207892.13,SEA 37%; MIA 33%; ATL 9%
48,DIME PIECE-5,DIME PIECE,13,19,0.069525,0.0,0.03912,191507.68,LAC 76%; MIA 10%; JAX 7%
49,ACCORSI-9,ACCORSI,13,19,0.069017,0.0,0.03592,171256.87,LAC 27%; MIA 16%; JAX 14%
