rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,HOFF_66-1,HOFF_66,11,21,0.016856,0.0,0.01432,121391.84,DET 22%; PIT 21%; MIA 16%
31,Abes Warriors-3,Abes Warriors,11,21,0.016424,0.0,0.01104,82233.5,TB 33%; KC 19%; HOU 19%
32,UNCJERSEYMIKE-2,UNCJERSEYMIKE,11,21,0.012441,0.0,0.01016,82155.43,TB 46%; KC 27%; PIT 10%
33,Tommy Dawg-7,Tommy Dawg,11,21,0.013968,0.0,0.01192,80543.55,TB 43%; KC 25%; PIT 9%
34,White Lotus-1,White Lotus,11,21,0.01352,0.0,0.01,79934.2,TB 30%; KC 26%; PIT 13%
35,WHATEVERYALLWANT-6,WHATEVERYALLWANT,11,21,0.016846,0.0,0.01248,79464.89,TB 40%; KC 23%; DET 9%
36,detroit six mile-3,detroit six mile,11,21,0.014564,0.0,0.0092,79092.44,TB 41%; KC 24%; DET 9%
37,ONLY FRIENDS-8,ONLY FRIENDS,11,21,0.019537,0.0,0.01232,78949.22,TB 50%; DEN 14%; PIT 10%
38,SLOPPY BRI-3,SLOPPY BRI,11,21,0.020509,0.0,0.01176,78473.17,KC 38%; DEN 19%; PIT 14%
39,TDBOW2 3-1,TDBOW2 3,11,21,0.019474,0.0,0.01104,78410.99,TB 40%; KC 23%; DEN 11%
40,MENTAL HANDICAPPED-2,MENTAL HANDICAPPED,11,21,0.0,0.0,0.01152,78105.0,TB 40%; KC 23%; DET 9%
41,OMG ITS KANG-4,OMG ITS KANG,11,21,0.016529,0.0,0.01064,77920.47,TB 35%; KC 20%; HOU 20%
42,PUMBAPACK9-3,PUMBAPACK9,11,21,0.015271,0.0,0.01056,77863.09,TB 49%; KC 29%; PIT 10%
43,RUBBERINWALL-3,RUBBERINWALL,11,21,0.0,0.0,0.0108,76674.11,TB 45%; KC 26%; PIT 9%
44,BUBBA-4,BUBBA,11,21,0.0,0.0,0.0104,76408.35,TB 44%; KC 25%; PIT 9%
45,BADBOYS 305-1,BADBOYS 305,11,21,0.0,0.0,0.00992,75784.9,TB 43%; KC 25%; DET 9%
46,THE WATER BOYS-1,THE WATER BOYS,11,21,0.014619,0.0,0.01,75318.72,TB 37%; HOU 24%; KC 16%
47,PACKDAGGER-4,PACKDAGGER,11,21,0.015147,0.0,0.00888,75210.13,TB 42%; KC 24%; DEN 12%
48,FLOWMASTER-5,FLOWMASTER,11,21,0.013007,0.0,0.01008,74327.66,TB 50%; KC 21%; PIT 12%
49,THE RAZOR SQUAD-1,THE RAZOR SQUAD,11,21,0.013822,0.0,0.00952,74255.3,TB 44%; KC 26%; PIT 9%
50,TOM0JOKER1-3,TOM0JOKER1,11,21,0.011879,0.0,0.00944,74188.04,TB 58%; DET 13%; MIA 9%
51,DRGUESSEDIT-2,DRGUESSEDIT,11,21,0.016244,0.0,0.00992,73006.8,TB 51%; KC 23%; DEN 14%
52,DR STRANGE-2,DR STRANGE,11,21,0.012267,0.0,0.00872,72365.58,TB 30%; KC 25%; DET 13%
53,MEATBALL BROTHERS-2,MEATBALL BROTHERS,11,21,0.01685,0.0,0.00968,71611.88,TB 41%; KC 24%; DEN 12%
54,CAGNEY & LACEY-1,CAGNEY & LACEY,11,21,0.012642,0.0,0.008,71276.0,TB 37%; KC 21%; HOU 21%
55,mill dog-8,mill dog,11,21,0.024843,0.0,0.01152,71256.22,TB 39%; KC 22%; DEN 11%
56,TY1823-8,TY1823,11,21,0.013393,0.0,0.01096,71236.64,TB 45%; KC 26%; PIT 9%
57,JJarvis117-5,JJarvis117,11,21,0.0,0.0,0.0088,70865.87,TB 47%; KC 19%; PIT 11%
58,hotlanta-3,hotlanta,11,21,0.015765,0.0,0.00768,70335.25,TB 39%; HOU 23%; DEN 11%
59,NELLIELEE25-2,NELLIELEE25,11,21,0.015851,0.0,0.01,70251.31,DEN 25%; PIT 18%; MIA 14%
60,IRONGATE-1,IRONGATE,11,21,0.0,0.0,0.00984,70114.21,TB 40%; KC 23%; DEN 12%
61,C3 Picks-7,C3 Picks,11,21,0.018303,0.0,0.00808,69968.13,TB 44%; KC 25%; PIT 9%
62,DRAKEMAY-9,DRAKEMAY,11,21,0.01676,0.0,0.0108,69114.3,TB 33%; KC 19%; HOU 19%
63,rock-2,rock,11,21,0.013679,0.0,0.0096,68457.42,TB 44%; KC 25%; DET 10%
64,SENIOR JIBBLES-5,SENIOR JIBBLES,11,21,0.015614,0.0,0.00912,68064.36,TB 43%; KC 25%; PIT 9%
65,TRAINWRECK-3,TRAINWRECK,11,21,0.019515,0.0,0.0076,67922.13,TB 40%; KC 23%; DEN 11%
66,drib1364-4,drib1364,11,21,0.0,0.0,0.00976,67881.48,TB 46%; KC 27%; PIT 10%
67,SORRYBOOKIES-9,SORRYBOOKIES,11,21,0.015147,0.0,0.00912,67502.99,TB 42%; KC 25%; DEN 12%
68,NICKEL AND DIMING-4,NICKEL AND DIMING,11,21,0.013193,0.0,0.0096,67326.55,TB 46%; KC 26%; PIT 10%
69,ANGRY IRISH J3W-5,ANGRY IRISH J3W,11,21,0.0,0.0,0.00784,66473.08,TB 43%; KC 25%; DEN 12%
70,H TOWN PKR-9,H TOWN PKR,11,21,0.01194,0.0,0.00832,65368.58,TB 46%; HOU 27%; DET 10%
71,Gilkey-2,Gilkey,11,21,0.013007,0.0,0.0108,65066.42,TB 47%; KC 27%; PIT 10%
72,TY1823-9,TY1823,11,21,0.010506,0.0,0.0068,63233.22,TB 29%; KC 25%; DET 16%
73,DURBIFY-1,DURBIFY,11,21,0.0,0.0,0.00992,63052.76,TB 49%; KC 20%; PIT 11%
74,DR STRANGE-3,DR STRANGE,11,21,0.01167,0.0,0.00736,63023.2,TB 42%; KC 24%; DET 9%
75,DREAM STAKES-1,DREAM STAKES,11,21,0.0,0.0,0.01032,62645.75,TB 45%; KC 26%; PIT 9%
76,NIKKO ITALIAN PONY-4,NIKKO ITALIAN PONY,11,21,0.019161,0.0,0.0072,62073.1,TB 44%; KC 26%; DEN 13%
77,Thanks Derek-9,Thanks Derek,11,21,0.0,0.0,0.00976,60911.41,TB 42%; KC 24%; DEN 12%
78,BURCULES-4,BURCULES,11,21,0.01194,0.0,0.0076,60283.15,TB 46%; HOU 27%; DET 10%
79,PAPAJOE-1,PAPAJOE,11,21,0.013264,0.0,0.00752,60118.56,PIT 26%; MIA 22%; DET 16%
80,SQUID-2,SQUID,11,21,0.012927,0.0,0.00768,59743.85,TB 50%; DEN 14%; PIT 11%
81,Tapout59-1,Tapout59,11,21,0.0,0.0,0.00784,59427.8,TB 47%; KC 27%; PIT 10%
82,HUESOS-5,HUESOS,11,21,0.0,0.0,0.00944,58433.43,TB 41%; KC 24%; DEN 12%
83,COACHD-4,COACHD,11,21,0.014568,0.0,0.0064,58305.14,KC 31%; HOU 31%; PIT 11%
84,DOG @ JOE FUND 1-1,DOG @ JOE FUND 1,11,21,0.0,0.0,0.00656,58243.93,TB 55%; DET 12%; PIT 12%
85,Sula-locke-2,Sula-locke,11,21,0.0,0.0,0.00904,57968.0,TB 47%; KC 27%; PIT 10%
86,Greatestdancer1-7,Greatestdancer1,11,21,0.01343,0.0,0.00832,57448.21,TB 57%; DEN 17%; PIT 12%
87,Ryan Hojo-10,Ryan Hojo,11,21,0.014386,0.0,0.00624,55223.49,PIT 22%; MIA 18%; DET 16%
88,2 make the cut-1,2 make the cut,11,21,0.0,0.0,0.00704,53254.06,TB 41%; KC 24%; DEN 12%
89,njtocal11-4,njtocal11,11,21,0.014985,0.0,0.00808,53166.3,TB 41%; KC 24%; DEN 12%
90,NFL WISEGUYS-8,NFL WISEGUYS,11,21,0.0,0.0,0.00704,48219.17,TB 18%; KC 17%; DEN 14%
91,JAX JAGS-6,JAX JAGS,11,21,0.0,0.0,0.00696,46625.48,TB 47%; KC 19%; PIT 11%
92,SHEENA'S POMPOMS-7,SHEENA'S POMPOMS,11,21,0.0,0.0,0.00704,46295.57,TB 43%; KC 25%; DEN 12%
93,TEAM YOGI-2,TEAM YOGI,11,21,0.0,0.0,0.00584,41443.27,TB 41%; KC 24%; DEN 12%
94,JAX JAGS-7,JAX JAGS,11,21,0.0,0.0,0.00664,40810.7,TB 30%; KC 22%; PIT 15%
95,NFL WISEGUYS-9,NFL WISEGUYS,11,21,0.0,0.0,0.00696,37761.96,TB 19%; KC 18%; PIT 15%
96,NFL WISEGUYS-7,NFL WISEGUYS,11,21,0.0,0.0,0.00632,37141.32,TB 21%; KC 18%; DEN 15%
97,NFL WISEGUYS-6,NFL WISEGUYS,11,21,0.0,0.0,0.00632,35565.95,TB 27%; KC 20%; DEN 14%
98,NFL WISEGUYS-5,NFL WISEGUYS,11,21,0.0,0.0,0.00624,34497.88,TB 38%; KC 20%; DEN 12%
99,NFL WISEGUYS-10,NFL WISEGUYS,11,21,0.0,0.0,0.0048,28171.19,TB 16%; KC 16%; PIT 14%
