rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,ATTACKOFTHESURVIVOR-8,ATTACKOFTHESURVIVOR,8,24,0.006638,0.0,0.00432,47764.88,PHI 32%; BAL 29%; MIN 11%
83,ACEHI-6,ACEHI,8,24,0.004329,0.0,0.0028,24621.1,CIN 30%; PHI 25%; BUF 13%
84,KDLV-7,KDLV,8,24,0.005142,0.0,0.00264,24484.06,BAL 43%; MIN 19%; NO 13%
85,DLC-JA-1,DLC-JA,8,24,0.005157,0.0,0.00224,24418.61,CIN 40%; PHI 33%; MIN 7%
86,White Lotus-4,White Lotus,8,24,0.004002,0.0,0.0028,24344.3,CIN 35%; PHI 28%; BUF 15%
87,KC ICE CREAM-6,KC ICE CREAM,8,24,0.006014,0.0,0.00256,24312.34,CIN 30%; PHI 24%; BUF 13%
88,Browna-6,Browna,8,24,0.005104,0.0,0.00328,24292.74,CIN 36%; BAL 28%; BUF 14%
89,BIG FLAT IRON-1,BIG FLAT IRON,8,24,0.004835,0.0,0.00256,24176.57,CIN 31%; PHI 25%; BUF 13%
90,FLOWMASTER-5,FLOWMASTER,8,24,0.004749,0.0,0.00304,24086.39,CIN 37%; BAL 28%; BUF 14%
91,EL LOCO IS-5,EL LOCO IS,8,24,0.004354,0.0,0.00248,24019.58,CIN 35%; PHI 29%; BAL 15%
92,SQUID-2,SQUID,8,24,0.004906,0.0,0.00336,23920.73,CIN 41%; PHI 34%; MIN 7%
93,UNDISPUTED23-10,UNDISPUTED23,8,24,0.0,0.0,0.00248,23813.7,CIN 30%; PHI 25%; BUF 13%
94,ONLY FRIENDS-8,ONLY FRIENDS,8,24,0.005315,0.0,0.00288,23528.48,CIN 42%; PHI 34%; MIN 8%
95,BAD DECISIONS-1,BAD DECISIONS,8,24,0.005858,0.0,0.00288,23498.0,PHI 50%; BAL 25%; NO 8%
96,BIG HOUSE-2,BIG HOUSE,8,24,0.005971,0.0,0.00344,23399.26,CIN 47%; BAL 19%; MIN 9%
97,BOZ !!!!!!!!!!!!!-1,BOZ !!!!!!!!!!!!!,8,24,0.004549,0.0,0.00296,23062.13,CIN 35%; PHI 28%; BUF 15%
98,He1ter Ske1ter-1,He1ter Ske1ter,8,24,0.005063,0.0,0.00264,23002.53,CIN 40%; BUF 17%; BAL 17%
99,ARMENIAN BETTOR-3,ARMENIAN BETTOR,8,24,0.004838,0.0,0.0024,22776.91,CIN 35%; PHI 28%; BAL 14%
100,NFL WISEGUYS-10,NFL WISEGUYS,8,24,0.0,0.0,0.00296,22644.0,BAL 13%; BUF 12%; MIN 11%
101,IRONGATE-1,IRONGATE,8,24,0.0,0.0,0.00336,22542.04,CIN 49%; BAL 20%; MIN 9%
102,GET CRUNK-3,GET CRUNK,8,24,0.005247,0.0,0.00232,22517.39,CIN 39%; PHI 32%; MIN 7%
103,THEBIGHORSE-2,THEBIGHORSE,8,24,0.004407,0.0,0.00272,22454.44,CIN 45%; BAL 26%; MIN 9%
104,RUBBERINWALL-3,RUBBERINWALL,8,24,0.0,0.0,0.00288,22392.69,CIN 40%; BUF 18%; BAL 17%
105,KP1133-8,KP1133,8,24,0.005028,0.0,0.00216,22283.29,PHI 57%; MIN 13%; NO 9%
106,TOM0JOKER1-3,TOM0JOKER1,8,24,0.004037,0.0,0.00224,22218.43,CIN 47%; BAL 19%; MIN 8%
107,PRESENCE-2,PRESENCE,8,24,0.004022,0.0,0.00256,22211.14,BAL 42%; BUF 21%; MIN 12%
108,OMG ITS KANG-4,OMG ITS KANG,8,24,0.005065,0.0,0.00336,22207.33,CIN 40%; BUF 18%; BAL 17%
109,big tuna-2,big tuna,8,24,0.004709,0.0,0.00296,22110.02,PHI 37%; BUF 20%; BAL 19%
110,SARABJORDAN-10,SARABJORDAN,8,24,0.005454,0.0,0.00256,22097.47,BUF 29%; BAL 28%; MIN 12%
111,737 KEVIN-1,737 KEVIN,8,24,0.004766,0.0,0.00224,22092.36,CIN 27%; PHI 26%; BAL 21%
112,MR FINN-1,MR FINN,8,24,0.004147,0.0,0.00336,22024.92,CIN 49%; BAL 20%; MIN 9%
113,KELLYINVEGAS-2,KELLYINVEGAS,8,24,0.004118,0.0,0.00256,21951.46,CIN 48%; BAL 20%; MIN 9%
114,BIG FLAT IRON-2,BIG FLAT IRON,8,24,0.00566,0.0,0.00304,21939.24,CIN 39%; BAL 23%; MIN 12%
115,SLEEPY-7,SLEEPY,8,24,0.004749,0.0,0.00304,21783.1,CIN 39%; BUF 17%; BAL 16%
116,SACHEM1993-4,SACHEM1993,8,24,0.004682,0.0,0.00328,21631.57,BUF 26%; BAL 25%; MIN 13%
117,NELLIELEE25-2,NELLIELEE25,8,24,0.004838,0.0,0.00224,21595.25,CIN 41%; PHI 33%; MIN 7%
118,SPICOLI-4,SPICOLI,8,24,0.004622,0.0,0.00256,21593.33,CIN 33%; BAL 22%; MIN 12%
119,NFL WISEGUYS-6,NFL WISEGUYS,8,24,0.0,0.0,0.00296,21567.54,BAL 26%; BUF 22%; MIN 15%
120,CASEYK-9,CASEYK,8,24,0.005203,0.0,0.00296,21562.87,CIN 49%; BAL 20%; MIN 9%
121,THE WATER BOYS-1,THE WATER BOYS,8,24,0.004497,0.0,0.00264,21508.28,CIN 37%; BAL 31%; BUF 13%
122,Tam Tam-2,Tam Tam,8,24,0.006176,0.0,0.00232,21471.67,PHI 45%; BUF 24%; MIN 10%
123,Tarz-6,Tarz,8,24,0.0,0.0,0.00248,21425.67,CIN 28%; PHI 25%; BAL 16%
124,PHILLY ATS-3,PHILLY ATS,8,24,0.003922,0.0,0.00232,21253.76,CIN 27%; PHI 24%; BAL 18%
125,mill dog-8,mill dog,8,24,0.007814,0.0,0.0028,21176.84,PHI 44%; BAL 22%; MIN 10%
126,DALLAS-3,DALLAS,8,24,0.004622,0.0,0.0028,20979.15,CIN 49%; BAL 20%; MIN 9%
127,ATTACKOFTHESURVIVOR-10,ATTACKOFTHESURVIVOR,8,24,0.007046,0.0,0.00256,20957.33,CIN 36%; PHI 30%; BUF 16%
128,DR STRANGE-2,DR STRANGE,8,24,0.003987,0.0,0.0024,20821.97,CIN 31%; BAL 21%; MIN 11%
129,NFL WISEGUYS-8,NFL WISEGUYS,8,24,0.0,0.0,0.00288,20799.78,BAL 18%; BUF 17%; MIN 14%
130,TY1823-8,TY1823,8,24,0.004749,0.0,0.00296,20701.96,CIN 40%; BUF 18%; BAL 17%
131,NFL WISEGUYS-9,NFL WISEGUYS,8,24,0.0,0.0,0.00264,20444.41,BAL 14%; BUF 13%; MIN 12%
132,TY1823-9,TY1823,8,24,0.004054,0.0,0.0024,20334.87,CIN 30%; BUF 21%; BAL 20%
133,BOOTS-6,BOOTS,8,24,0.004134,0.0,0.00264,20076.9,CIN 35%; PHI 29%; BUF 15%
134,Tommy Dawg-7,Tommy Dawg,8,24,0.004912,0.0,0.00264,20071.94,CIN 34%; PHI 28%; BUF 15%
135,TDBOW2 3-1,TDBOW2 3,8,24,0.005965,0.0,0.00216,20000.67,CIN 40%; PHI 32%; MIN 7%
136,detroit six mile-3,detroit six mile,8,24,0.006006,0.0,0.00192,19879.19,BUF 31%; BAL 30%; MIN 13%
137,SHEENA'S POMPOMS-7,SHEENA'S POMPOMS,8,24,0.0,0.0,0.00256,19771.61,CIN 41%; BUF 18%; BAL 17%
138,BEARDOWNPOLSTO.-4,BEARDOWNPOLSTO.,8,24,0.004566,0.0,0.00248,19703.15,CIN 30%; PHI 25%; BUF 13%
139,HUESOS-5,HUESOS,8,24,0.0,0.0,0.00232,19680.31,CIN 40%; BUF 17%; BAL 16%
140,TAMPA IS HOT 7-2,TAMPA IS HOT 7,8,24,0.004118,0.0,0.0024,19679.66,CIN 48%; BAL 20%; MIN 9%
141,BUBBA-4,BUBBA,8,24,0.0,0.0,0.00192,19656.02,CIN 47%; BAL 19%; MIN 9%
142,LUCKY 13-2,LUCKY 13,8,24,0.004388,0.0,0.00264,19636.33,CIN 42%; BUF 18%; BAL 17%
143,Danny B-1,Danny B,8,24,0.005918,0.0,0.00264,19606.37,CIN 40%; PHI 33%; MIN 7%
144,EDDIWHYYO-3,EDDIWHYYO,8,24,0.00386,0.0,0.00216,19561.72,PHI 40%; BAL 34%; MIN 9%
145,Just Say Yes-2,Just Say Yes,8,24,0.005271,0.0,0.00232,19395.73,CIN 51%; BAL 21%; MIN 9%
146,PISTONS87-7,PISTONS87,8,24,0.005199,0.0,0.00224,19382.5,CIN 30%; PHI 28%; BAL 22%
147,CMAMOULELIS-2,CMAMOULELIS,8,24,0.005811,0.0,0.00224,19100.84,CIN 38%; BAL 21%; BUF 16%
148,DA BAERS-7,DA BAERS,8,24,0.005214,0.0,0.0024,18892.71,CIN 40%; BUF 17%; BAL 17%
149,DRGUESSEDIT-2,DRGUESSEDIT,8,24,0.003986,0.0,0.00208,18843.42,CIN 41%; BAL 35%; BUF 14%
150,UNCJERSEYMIKE-2,UNCJERSEYMIKE,8,24,0.004166,0.0,0.00224,18777.52,CIN 40%; BUF 17%; BAL 17%
151,KINGSWAY.-4,KINGSWAY.,8,24,0.004147,0.0,0.00272,18505.39,CIN 49%; BAL 20%; MIN 9%
152,C3 Picks-8,C3 Picks,8,24,0.005184,0.0,0.00248,18453.51,CIN 29%; PHI 25%; BUF 15%
153,Thanks Derek-9,Thanks Derek,8,24,0.0,0.0,0.00224,18196.84,CIN 40%; BUF 17%; BAL 16%
154,Ryan Hojo-10,Ryan Hojo,8,24,0.003606,0.0,0.00208,18192.86,CIN 43%; BAL 26%; MIN 9%
155,TALLAHASSEE TALL-10,TALLAHASSEE TALL,8,24,0.004216,0.0,0.00184,17976.26,CIN 40%; BUF 17%; BAL 17%
156,CB BBQ-1,CB BBQ,8,24,0.0,0.0,0.00248,17955.81,PHI 35%; BUF 19%; BAL 18%
157,SENIOR JIBBLES-5,SENIOR JIBBLES,8,24,0.005801,0.0,0.002,17126.85,CIN 43%; BUF 18%; BAL 18%
158,NFL WISEGUYS-7,NFL WISEGUYS,8,24,0.0,0.0,0.00248,17007.44,BAL 21%; BUF 19%; MIN 15%
159,CAGNEY & LACEY-1,CAGNEY & LACEY,8,24,0.004804,0.0,0.00232,16770.33,CIN 50%; BAL 21%; MIN 9%
160,PACKDAGGER-4,PACKDAGGER,8,24,0.004402,0.0,0.00232,16737.61,CIN 40%; BUF 17%; BAL 16%
161,DREAM STAKES-1,DREAM STAKES,8,24,0.0,0.0,0.00216,16644.19,CIN 40%; BUF 18%; BAL 17%
162,Tapout59-1,Tapout59,8,24,0.0,0.0,0.00248,16479.31,CIN 40%; BUF 18%; BAL 17%
163,Scott Skiles Alimony-4,Scott Skiles Alimony,8,24,0.0,0.0,0.00232,16452.86,CIN 39%; BUF 17%; BAL 16%
164,hotlanta-3,hotlanta,8,24,0.005194,0.0,0.00216,16432.99,CIN 51%; BAL 21%; MIN 9%
165,KaleosKall-2,KaleosKall,8,24,0.004105,0.0,0.002,16373.12,CIN 48%; BAL 20%; MIN 9%
166,ALLISON'S BOYFRIEND-10,ALLISON'S BOYFRIEND,8,24,0.003469,0.0,0.00232,16085.24,PHI 39%; CIN 18%; BAL 13%
167,DRAKEMAY-9,DRAKEMAY,8,24,0.004445,0.0,0.00176,16024.24,CIN 35%; PHI 29%; BUF 15%
168,Whiskey Business-1,Whiskey Business,8,24,0.0,0.0,0.00168,16005.22,CIN 34%; PHI 28%; BAL 14%
169,JOEMALC-6,JOEMALC,8,24,0.005759,0.0,0.00192,15975.55,CIN 36%; PHI 29%; BUF 16%
170,BIRCHWOOD LANE-2,BIRCHWOOD LANE,8,24,0.0,0.0,0.00192,15595.41,CIN 29%; PHI 29%; BAL 24%
171,My 3 Sunz-2,My 3 Sunz,8,24,0.005214,0.0,0.00216,15152.72,CIN 42%; BUF 18%; BAL 17%
172,JAX JAGS 2.0-8,JAX JAGS 2.0,8,24,0.0,0.0,0.002,14836.79,CIN 30%; PHI 24%; BUF 13%
173,ALPHAJC-1,ALPHAJC,8,24,0.0,0.0,0.00136,14706.03,CIN 31%; PHI 25%; BUF 13%
174,SHURZY-1,SHURZY,8,24,0.003773,0.0,0.002,14480.07,CIN 41%; BUF 18%; BAL 17%
175,DIGGSYETAGAIN-5,DIGGSYETAGAIN,8,24,0.00362,0.0,0.00144,14438.73,CIN 35%; PHI 29%; BUF 15%
176,nwurm 42-1,nwurm 42,8,24,0.003773,0.0,0.00192,14148.21,CIN 41%; BUF 18%; BAL 17%
177,JAX JAGS-7,JAX JAGS,8,24,0.0,0.0,0.00144,13707.2,CIN 27%; BAL 24%; BUF 16%
178,Sula-locke-2,Sula-locke,8,24,0.0,0.0,0.00184,13699.08,CIN 40%; BUF 18%; BAL 17%
179,DURBIFY-1,DURBIFY,8,24,0.0,0.0,0.002,13318.76,CIN 34%; BAL 34%; BUF 13%
180,JAX JAGS-6,JAX JAGS,8,24,0.0,0.0,0.00184,13030.9,CIN 36%; BAL 27%; BUF 14%
181,COACHD-4,COACHD,8,24,0.003658,0.0,0.00176,12105.72,CIN 34%; PHI 27%; BUF 15%
182,RAMBLIN AND GAMBLIN-9,RAMBLIN AND GAMBLIN,8,24,0.0,0.0,0.00144,12100.95,CIN 47%; BAL 19%; MIN 9%
183,GODBLESS KAYLAKARIS-5,GODBLESS KAYLAKARIS,8,24,0.0,0.0,0.0016,11846.69,CIN 40%; BUF 17%; BAL 16%
184,2 make the cut-1,2 make the cut,8,24,0.0,0.0,0.00152,11653.33,CIN 30%; PHI 24%; BUF 13%
185,BADBOYS 305-1,BADBOYS 305,8,24,0.0,0.0,0.00176,11126.08,CIN 47%; BAL 19%; MIN 9%
186,XGONGIVEITTOYA-2,XGONGIVEITTOYA,8,24,0.005045,0.0,0.00136,11047.62,CIN 41%; PHI 33%; MIN 7%
187,drib1364-4,drib1364,8,24,0.0,0.0,0.00176,10819.2,CIN 39%; BUF 17%; BAL 16%
188,NFL WISEGUYS-5,NFL WISEGUYS,8,24,0.0,0.0,0.00136,10629.16,BAL 36%; BUF 24%; MIN 13%
189,Variable Change-1,Variable Change,8,24,0.0,0.0,0.00104,10585.71,CIN 30%; PHI 24%; BUF 13%
190,H TOWN PKR-9,H TOWN PKR,8,24,0.003305,0.0,0.00088,7176.21,CIN 49%; BAL 20%; MIN 9%
191,Monkey-2,Monkey,8,24,0.0,0.0,0.00056,6898.31,CIN 34%; PHI 28%; BUF 15%
