rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SUBIIME-4,SUBIIME,0,32,0.001319,0.0,0.00056,768.88,BUF 11%; NE 11%; SF 8%
19,ididn'tseethatcoming-5,ididn'tseethatcoming,0,32,0.001319,0.0,0.00048,625.58,BUF 10%; NE 10%; SF 7%
20,BOAT 502-2,BOAT 502,0,32,0.001319,0.0,0.00048,617.45,BUF 15%; NE 15%; SF 8%
21,CLARKGRIZWOLD-2,CLARKGRIZWOLD,0,32,0.001319,0.0,0.00048,615.11,BUF 19%; NE 18%; SF 8%
22,Sting-3,Sting,0,32,0.001319,0.0,0.00048,605.24,BUF 15%; NE 15%; SF 8%
23,Lord Smith-1,Lord Smith,0,32,0.001319,0.0,0.00048,603.04,BUF 19%; NE 18%; SF 8%
24,BIG SLEEP-1,BIG SLEEP,0,32,0.001319,0.0,0.00048,591.27,BUF 19%; NE 18%; SF 8%
25,DESERT DOGG-2,DESERT DOGG,0,32,0.001319,0.0,0.00048,590.09,BUF 19%; NE 18%; SF 8%
26,TOMPAPAGEORGIO-1,TOMPAPAGEORGIO,0,32,0.001319,0.0,0.00048,585.61,BUF 19%; NE 18%; SF 8%
27,MonsterLoc-2,MonsterLoc,0,32,0.001319,0.0,0.00048,585.61,BUF 19%; NE 18%; SF 8%
28,1ST TIME CALLAH-2,1ST TIME CALLAH,0,32,0.001319,0.0,0.00048,564.05,BUF 19%; NE 18%; SF 8%
29,MEXIMELT-5,MEXIMELT,0,32,0.001319,0.0,0.00048,556.19,BUF 10%; NE 10%; SF 7%
30,SWIFT-1,SWIFT,0,32,0.001319,0.0,0.0004,549.2,BUF 19%; NE 18%; SF 8%
31,KPT31920-1,KPT31920,0,32,0.001319,0.0,0.0004,549.2,BUF 19%; NE 18%; SF 8%
32,Mikey D-2,Mikey D,0,32,0.001319,0.0,0.0004,549.2,BUF 11%; NE 11%; SF 8%
33,Roundtrip-1,Roundtrip,0,32,0.001319,0.0,0.0004,549.2,BUF 19%; NE 18%; SF 8%
34,Mandelorian39-4,Mandelorian39,0,32,0.001319,0.0,0.0004,549.2,BUF 11%; NE 11%; SF 8%
35,Mikey D-3,Mikey D,0,32,0.001319,0.0,0.0004,549.2,BUF 10%; NE 10%; SF 7%
36,HARTMANN-1,HARTMANN,0,32,0.001319,0.0,0.0004,549.2,BUF 19%; NE 18%; SF 8%
37,GAMBLEBALLS-2,GAMBLEBALLS,0,32,0.001319,0.0,0.0004,549.2,BUF 11%; NE 11%; SF 8%
38,Wallyworld-1,Wallyworld,0,32,0.001319,0.0,0.0004,549.2,BUF 19%; NE 18%; SF 8%
39,BLOW OUT-2,BLOW OUT,0,32,0.001319,0.0,0.0004,549.2,BUF 15%; NE 15%; SF 8%
40,LoveMyBaxter-1,LoveMyBaxter,0,32,0.001319,0.0,0.0004,549.2,BUF 19%; NE 18%; SF 8%
41,TAHOE-1,TAHOE,0,32,0.001319,0.0,0.0004,544.98,BUF 11%; NE 11%; SF 8%
42,Slater-3,Slater,0,32,0.001319,0.0,0.0004,544.98,BUF 11%; NE 11%; SF 8%
43,HARDEN DINING HALL-1,HARDEN DINING HALL,0,32,0.001319,0.0,0.0004,544.98,BUF 19%; NE 18%; SF 8%
44,SharpSyndicateSports-5,SharpSyndicateSports,0,32,0.001319,0.0,0.0004,544.98,BUF 19%; NE 18%; SF 8%
45,LOS GUAPOS-3,LOS GUAPOS,0,32,0.001319,0.0,0.00048,543.55,BUF 13%; NE 13%; SF 8%
46,GAMBLEONGOLD-4,GAMBLEONGOLD,0,32,0.001319,0.0,0.00048,543.55,BUF 13%; NE 13%; SF 8%
47,SharpSyndicateSports-1,SharpSyndicateSports,0,32,0.001319,0.0,0.0004,537.43,BUF 15%; NE 15%; SF 8%
48,4 A L M-1,4 A L M,0,32,0.001319,0.0,0.0004,537.43,BUF 19%; NE 18%; SF 8%
49,Locksmith-3,Locksmith,0,32,0.001319,0.0,0.0004,537.43,BUF 13%; NE 13%; SF 8%
50,CLASS OF 80-1,CLASS OF 80,0,32,0.001319,0.0,0.0004,537.43,BUF 19%; NE 18%; SF 8%
51,chowsHeroes-2,chowsHeroes,0,32,0.001319,0.0,0.0004,534.05,BUF 15%; NE 15%; SF 8%
52,DESERT DOGG-4,DESERT DOGG,0,32,0.001319,0.0,0.0004,533.21,BUF 11%; NE 11%; SF 8%
53,BOYCOTT 8 PCT-5,BOYCOTT 8 PCT,0,32,0.001319,0.0,0.0004,530.89,BUF 13%; NE 13%; SF 8%
54,Bear14-1,Bear14,0,32,0.001319,0.0,0.0004,522.57,BUF 19%; NE 18%; SF 8%
55,G-BREW-1,G-BREW,0,32,0.001319,0.0,0.0004,520.12,BUF 19%; NE 18%; SF 8%
56,PISO MOJADO-1,PISO MOJADO,0,32,0.001319,0.0,0.0004,518.9,BUF 13%; NE 13%; SF 8%
57,TEAM MOIST-1,TEAM MOIST,0,32,0.001319,0.0,0.0004,518.9,BUF 15%; NE 15%; SF 8%
58,Bedrock Giants-1,Bedrock Giants,0,32,0.001319,0.0,0.0004,515.9,BUF 19%; NE 18%; SF 8%
59,MoneyMikes64-1,MoneyMikes64,0,32,0.001319,0.0,0.0004,508.01,BUF 19%; NE 18%; SF 8%
60,Bitcoin1-1,Bitcoin1,0,32,0.001319,0.0,0.0004,508.01,BUF 19%; NE 18%; SF 8%
61,Road to a Million-1,Road to a Million,0,32,0.001319,0.0,0.0004,508.01,BUF 19%; NE 18%; SF 8%
62,BMAC-1,BMAC,0,32,0.001319,0.0,0.0004,508.01,BUF 15%; NE 15%; SF 8%
63,LOCKS ANONYMOUS-1,LOCKS ANONYMOUS,0,32,0.001319,0.0,0.0004,500.04,BUF 19%; NE 18%; SF 8%
64,DESERT DOGG-1,DESERT DOGG,0,32,0.001319,0.0,0.0004,495.4,BUF 13%; NE 13%; SF 8%
65,BOYCOTT 8 PCT-4,BOYCOTT 8 PCT,0,32,0.001319,0.0,0.0004,495.4,BUF 19%; NE 18%; SF 8%
66,Putting on the foil-1,Putting on the foil,0,32,0.001319,0.0,0.0004,495.4,BUF 11%; NE 11%; SF 8%
67,Bjorn-5,Bjorn,0,32,0.001319,0.0,0.0004,493.2,BUF 10%; NE 10%; SF 7%
68,ACKATTACK-2,ACKATTACK,0,32,0.001319,0.0,0.0004,493.2,BUF 19%; NE 18%; SF 8%
69,St. Jude 100K-1,St. Jude 100K,0,32,0.001319,0.0,0.0004,487.54,BUF 19%; NE 18%; SF 8%
70,Gator28-4,Gator28,0,32,0.001319,0.0,0.0004,487.54,BUF 10%; NE 10%; SF 7%
71,HAWKINS POE-1,HAWKINS POE,0,32,0.001319,0.0,0.0004,487.54,BUF 19%; NE 18%; SF 8%
72,5 BUKI ODS-2,5 BUKI ODS,0,32,0.001319,0.0,0.0004,487.54,BUF 19%; NE 18%; SF 8%
73,GRAYSALMANAC-1,GRAYSALMANAC,0,32,0.001319,0.0,0.0004,487.54,BUF 19%; NE 18%; SF 8%
74,Goodfellas-2,Goodfellas,0,32,0.001319,0.0,0.0004,481.43,BUF 19%; NE 18%; SF 8%
75,XXYYZZ-5,XXYYZZ,0,32,0.001319,0.0,0.0004,479.4,BUF 10%; NE 10%; SF 7%
76,MK INVEST-1,MK INVEST,0,32,0.001319,0.0,0.0004,478.93,BUF 19%; NE 18%; SF 8%
77,Exodus 20-3,Exodus 20,0,32,0.001319,0.0,0.0004,478.05,BUF 19%; NE 18%; SF 8%
78,ICEMAN650-1,ICEMAN650,0,32,0.001319,0.0,0.0004,463.51,BUF 15%; NE 15%; SF 8%
79,TIM'S SUNSCREEN-2,TIM'S SUNSCREEN,0,32,0.001319,0.0,0.0004,454.24,BUF 15%; NE 15%; SF 8%
80,Golfing in Hell-1,Golfing in Hell,0,32,0.001319,0.0,0.0004,453.62,BUF 15%; NE 15%; SF 8%
81,Tampa Daven-4,Tampa Daven,0,32,0.001319,0.0,0.0004,452.01,BUF 13%; NE 13%; SF 8%
82,BUY LOW-1,BUY LOW,0,32,0.001319,0.0,0.0004,447.45,BUF 19%; NE 18%; SF 8%
83,ACLVA-1,ACLVA,0,32,0.001319,0.0,0.0004,440.24,BUF 19%; NE 18%; SF 8%
84,SHAMWOW.-1,SHAMWOW.,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
85,Spiceman-1,Spiceman,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
86,GAMBLER AND A GIVER-1,GAMBLER AND A GIVER,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
87,Practice Squad QB-2,Practice Squad QB,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
88,DIVINE MERCY 24/7-1,DIVINE MERCY 24/7,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
89,TeamBird-1,TeamBird,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
90,Mucked Nuts.-1,Mucked Nuts.,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
91,Slater-5,Slater,0,32,0.001319,0.0,0.00032,439.36,BUF 15%; NE 15%; SF 8%
92,JMDTCASH-1,JMDTCASH,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
93,Gator28-3,Gator28,0,32,0.001319,0.0,0.00032,439.36,BUF 11%; NE 11%; SF 8%
94,RYAN HOJO-5,RYAN HOJO,0,32,0.001319,0.0,0.00032,439.36,BUF 11%; NE 11%; SF 8%
95,ididn'tseethatcoming-1,ididn'tseethatcoming,0,32,0.001319,0.0,0.00032,439.36,BUF 13%; NE 13%; SF 8%
96,PIKEGOD-1,PIKEGOD,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
97,Destiny's Grandchild-1,Destiny's Grandchild,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
98,MONEY OBSCENE-2,MONEY OBSCENE,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
99,ESSENTIAL BETTORS-5,ESSENTIAL BETTORS,0,32,0.001319,0.0,0.00032,439.36,BUF 13%; NE 13%; SF 8%
100,Gamblinsteve-5,Gamblinsteve,0,32,0.001319,0.0,0.00032,439.36,BUF 10%; NE 10%; SF 7%
101,D7BOYS-1,D7BOYS,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
102,KEEBS-1,KEEBS,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
103,MBEASY-2,MBEASY,0,32,0.001319,0.0,0.00032,439.36,BUF 11%; NE 11%; SF 8%
104,BRETTERS16-1,BRETTERS16,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
105,PGAMOPTOUR5-1,PGAMOPTOUR5,0,32,0.001319,0.0,0.00032,439.36,BUF 11%; NE 11%; SF 8%
106,Poker Boomers-1,Poker Boomers,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
107,How You Feeling-1,How You Feeling,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
108,Helens Heroes-1,Helens Heroes,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
109,Dr.Unk-1,Dr.Unk,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
110,WAZ-2,WAZ,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
111,PARLAY G-3,PARLAY G,0,32,0.001319,0.0,0.00032,439.36,BUF 11%; NE 11%; SF 8%
112,Mcduffys-2,Mcduffys,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
113,hoffytime.-4,hoffytime.,0,32,0.001319,0.0,0.00032,439.36,BUF 10%; NE 10%; SF 7%
114,Covid Cappers-2,Covid Cappers,0,32,0.001319,0.0,0.00032,439.36,BUF 15%; NE 15%; SF 8%
115,TAHOE-4,TAHOE,0,32,0.001319,0.0,0.00032,439.36,BUF 10%; NE 10%; SF 7%
116,JARVISRED-1,JARVISRED,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
117,COOLCATSANDKITTENS-2,COOLCATSANDKITTENS,0,32,0.001319,0.0,0.00032,439.36,BUF 13%; NE 13%; SF 8%
118,Heavy Weight Heads-1,Heavy Weight Heads,0,32,0.001319,0.0,0.00032,439.36,BUF 15%; NE 15%; SF 8%
119,Bella 0923-1,Bella 0923,0,32,0.001319,0.0,0.00032,439.36,BUF 19%; NE 18%; SF 8%
120,DLITTBOMEME-1,DLITTBOMEME,0,32,0.001319,0.0,0.00032,435.14,BUF 19%; NE 18%; SF 8%
121,Tampa Daven-5,Tampa Daven,0,32,0.001319,0.0,0.00032,435.14,BUF 15%; NE 15%; SF 8%
122,RHINOSANDTIGERS-2,RHINOSANDTIGERS,0,32,0.001319,0.0,0.00032,435.14,BUF 19%; NE 18%; SF 8%
123,Mikex2nRH-2,Mikex2nRH,0,32,0.001319,0.0,0.00032,435.14,BUF 15%; NE 15%; SF 8%
124,mousey-1,mousey,0,32,0.001319,0.0,0.00032,435.14,BUF 19%; NE 18%; SF 8%
125,Gambles Lives Matter-1,Gambles Lives Matter,0,32,0.001319,0.0,0.00032,435.14,BUF 19%; NE 18%; SF 8%
126,Puppy Kisses-1,Puppy Kisses,0,32,0.001319,0.0,0.00032,435.14,BUF 15%; NE 15%; SF 8%
127,No Regrets-4,No Regrets,0,32,0.001319,0.0,0.0004,433.74,BUF 10%; NE 10%; SF 7%
128,Fresh Prince-2,Fresh Prince,0,32,0.001319,0.0,0.00032,431.22,BUF 11%; NE 11%; SF 8%
129,LoveMyBaxter-2,LoveMyBaxter,0,32,0.001319,0.0,0.00032,431.22,BUF 15%; NE 15%; SF 8%
130,Tha Good Playa-2,Tha Good Playa,0,32,0.001319,0.0,0.00032,430.91,BUF 15%; NE 15%; SF 8%
131,BBOSSE22-3,BBOSSE22,0,32,0.001319,0.0,0.00032,427.59,BUF 19%; NE 18%; SF 8%
132,GOOD TALK RUSS-1,GOOD TALK RUSS,0,32,0.001319,0.0,0.00032,427.59,BUF 15%; NE 15%; SF 8%
133,TAHOE-2,TAHOE,0,32,0.001319,0.0,0.00032,427.59,BUF 15%; NE 15%; SF 8%
134,PKRDLRDOUG-1,PKRDLRDOUG,0,32,0.001319,0.0,0.00032,427.59,BUF 19%; NE 18%; SF 8%
135,C.A.G.E-4,C.A.G.E,0,32,0.001319,0.0,0.00032,424.21,BUF 11%; NE 11%; SF 8%
136,BACKYARD MB-1,BACKYARD MB,0,32,0.001319,0.0,0.00032,424.21,BUF 19%; NE 18%; SF 8%
137,RYAN HOJO-3,RYAN HOJO,0,32,0.001319,0.0,0.00032,424.21,BUF 15%; NE 15%; SF 8%
138,Brother Joseph-1,Brother Joseph,0,32,0.001319,0.0,0.00032,424.21,BUF 19%; NE 18%; SF 8%
139,Kamara and Friends-1,Kamara and Friends,0,32,0.001319,0.0,0.00032,421.05,BUF 19%; NE 18%; SF 8%
140,DRYDIN-2,DRYDIN,0,32,0.001319,0.0,0.00032,421.05,BUF 10%; NE 10%; SF 7%
141,TEAM MONEY-3,TEAM MONEY,0,32,0.001319,0.0,0.00032,421.05,BUF 11%; NE 11%; SF 8%
142,BOBBYT-1,BOBBYT,0,32,0.001319,0.0,0.00032,421.05,BUF 13%; NE 13%; SF 8%
143,MEDIUM RARE-2,MEDIUM RARE,0,32,0.001319,0.0,0.00032,421.05,BUF 19%; NE 18%; SF 8%
144,Heater City-2,Heater City,0,32,0.001319,0.0,0.00032,421.05,BUF 15%; NE 15%; SF 8%
145,Lehrjet-2,Lehrjet,0,32,0.001319,0.0,0.00032,421.05,BUF 13%; NE 13%; SF 8%
146,PLYTKR.-1,PLYTKR.,0,32,0.001319,0.0,0.00032,421.05,BUF 15%; NE 15%; SF 8%
147,XXYYZZ-4,XXYYZZ,0,32,0.001319,0.0,0.00032,421.05,BUF 11%; NE 11%; SF 8%
148,LIL CHUYS-1,LIL CHUYS,0,32,0.001319,0.0,0.00032,421.05,BUF 19%; NE 18%; SF 8%
149,ESSENTIAL BETTORS-4,ESSENTIAL BETTORS,0,32,0.001319,0.0,0.00032,421.05,BUF 19%; NE 18%; SF 8%
150,SJM-2,SJM,0,32,0.001319,0.0,0.00032,421.05,BUF 10%; NE 10%; SF 7%
151,LIZ-1,LIZ,0,32,0.001319,0.0,0.00032,421.05,BUF 19%; NE 18%; SF 8%
152,MISS TREE MAN-1,MISS TREE MAN,0,32,0.001319,0.0,0.00032,421.05,BUF 19%; NE 18%; SF 8%
153,FILESTXCAN-2,FILESTXCAN,0,32,0.001319,0.0,0.00032,421.05,BUF 15%; NE 15%; SF 8%
154,kennywhitesports.com-1,kennywhitesports.com,0,32,0.001319,0.0,0.00032,412.92,BUF 19%; NE 18%; SF 8%
155,Swoollinator-1,Swoollinator,0,32,0.001319,0.0,0.00032,412.92,BUF 19%; NE 18%; SF 8%
156,SCHOOLY & KIDS-1,SCHOOLY & KIDS,0,32,0.001319,0.0,0.00032,412.73,BUF 19%; NE 18%; SF 8%
157,THE INTANGIBLES-5,THE INTANGIBLES,0,32,0.001319,0.0,0.00032,412.73,BUF 10%; NE 10%; SF 7%
158,Falcon 1-1,Falcon 1,0,32,0.001319,0.0,0.00032,412.44,BUF 19%; NE 18%; SF 8%
159,NOTGambling-1,NOTGambling,0,32,0.001319,0.0,0.00032,410.28,BUF 15%; NE 15%; SF 8%
160,BOBBYT-3,BOBBYT,0,32,0.001319,0.0,0.00032,410.28,BUF 15%; NE 15%; SF 8%
161,Gator28-1,Gator28,0,32,0.001319,0.0,0.00032,409.28,BUF 19%; NE 18%; SF 8%
162,BIG DEAL-4,BIG DEAL,0,32,0.001319,0.0,0.00032,408.51,BUF 11%; NE 11%; SF 8%
163,hoffytime.-1,hoffytime.,0,32,0.001319,0.0,0.00032,408.51,BUF 13%; NE 13%; SF 8%
164,JEFF PROBST-5,JEFF PROBST,0,32,0.001319,0.0,0.00032,405.9,BUF 10%; NE 10%; SF 7%
165,Pay ASAP-1,Pay ASAP,0,32,0.001319,0.0,0.00032,401.84,BUF 19%; NE 18%; SF 8%
166,Ned Landers-5,Ned Landers,0,32,0.001319,0.0,0.00032,401.68,BUF 10%; NE 10%; SF 7%
167,@Jay Swah Sports-4,@Jay Swah Sports,0,32,0.001319,0.0,0.00032,400.18,BUF 15%; NE 15%; SF 8%
168,RHINOSANDTIGERS-1,RHINOSANDTIGERS,0,32,0.001319,0.0,0.00032,398.17,BUF 15%; NE 15%; SF 8%
169,SSKERS82-1,SSKERS82,0,32,0.001319,0.0,0.00032,398.17,BUF 19%; NE 18%; SF 8%
170,NOTJOE'SAVGJALAPENOS-1,NOTJOE'SAVGJALAPENOS,0,32,0.001319,0.0,0.00032,398.17,BUF 13%; NE 13%; SF 8%
171,BIG DEAL-1,BIG DEAL,0,32,0.001319,0.0,0.00032,398.17,BUF 10%; NE 10%; SF 7%
172,WILDMAN 22222-1,WILDMAN 22222,0,32,0.001319,0.0,0.00032,398.17,BUF 19%; NE 18%; SF 8%
173,DYHEW & MADDOG-1,DYHEW & MADDOG,0,32,0.001319,0.0,0.00032,398.17,BUF 19%; NE 18%; SF 8%
174,TKASPRO27-5,TKASPRO27,0,32,0.001319,0.0,0.00032,398.17,BUF 10%; NE 10%; SF 7%
175,American Pride Guy-2,American Pride Guy,0,32,0.001319,0.0,0.00032,393.95,BUF 13%; NE 13%; SF 8%
176,TIM'S SUNSCREEN-1,TIM'S SUNSCREEN,0,32,0.001319,0.0,0.00032,390.03,BUF 19%; NE 18%; SF 8%
177,Pauline Park-4,Pauline Park,0,32,0.001319,0.0,0.00032,386.4,BUF 19%; NE 18%; SF 8%
178,dylan-5,dylan,0,32,0.001319,0.0,0.00032,386.4,BUF 10%; NE 10%; SF 7%
179,callcustservice-3,callcustservice,0,32,0.001319,0.0,0.00032,385.56,BUF 13%; NE 13%; SF 8%
180,RG-2,RG,0,32,0.001319,0.0,0.00032,385.56,BUF 19%; NE 18%; SF 8%
181,DR B-4,DR B,0,32,0.001319,0.0,0.00032,385.56,BUF 11%; NE 11%; SF 8%
182,GATOR-1,GATOR,0,32,0.001319,0.0,0.00032,385.56,BUF 19%; NE 18%; SF 8%
183,CRISPR-1,CRISPR,0,32,0.001319,0.0,0.00032,385.56,BUF 19%; NE 18%; SF 8%
184,VALLEY BOYS-1,VALLEY BOYS,0,32,0.001319,0.0,0.00032,384.48,BUF 19%; NE 18%; SF 8%
185,SCI-2,SCI,0,32,0.001319,0.0,0.00032,383.66,BUF 15%; NE 15%; SF 8%
186,Sand Bagger-2,Sand Bagger,0,32,0.001319,0.0,0.00032,383.36,BUF 19%; NE 18%; SF 8%
187,ESSENTIAL BETTORS-2,ESSENTIAL BETTORS,0,32,0.001319,0.0,0.00032,383.36,BUF 10%; NE 10%; SF 7%
188,Jrod-5,Jrod,0,32,0.001319,0.0,0.00032,379.86,BUF 11%; NE 11%; SF 8%
189,LIZ-3,LIZ,0,32,0.001319,0.0,0.00032,379.28,BUF 13%; NE 13%; SF 8%
190,FRISBEE DAWGS-1,FRISBEE DAWGS,0,32,0.001319,0.0,0.00032,379.14,BUF 19%; NE 18%; SF 8%
191,BALD RAZORS-1,BALD RAZORS,0,32,0.001319,0.0,0.00032,377.7,BUF 13%; NE 13%; SF 8%
192,MEXIMELT-2,MEXIMELT,0,32,0.001319,0.0,0.00032,377.7,BUF 15%; NE 15%; SF 8%
193,TSLICK 50-1,TSLICK 50,0,32,0.001319,0.0,0.00032,377.7,BUF 19%; NE 18%; SF 8%
194,Blue Dream-2,Blue Dream,0,32,0.001319,0.0,0.00032,373.47,BUF 15%; NE 15%; SF 8%
195,MINTF-5,MINTF,0,32,0.001319,0.0,0.00032,373.47,BUF 19%; NE 18%; SF 8%
196,1ST TIME CALLAH-1,1ST TIME CALLAH,0,32,0.001319,0.0,0.00032,369.09,BUF 15%; NE 15%; SF 8%
197,Mucked Nuts.-2,Mucked Nuts.,0,32,0.001319,0.0,0.00032,368.21,BUF 15%; NE 15%; SF 8%
198,beefaroni-4,beefaroni,0,32,0.001319,0.0,0.00032,368.09,BUF 19%; NE 18%; SF 8%
199,NOTGambling-2,NOTGambling,0,32,0.001319,0.0,0.00032,365.06,BUF 19%; NE 18%; SF 8%
200,PARLAY G-5,PARLAY G,0,32,0.001319,0.0,0.00032,362.55,BUF 19%; NE 18%; SF 8%
201,Power Tripper-1,Power Tripper,0,32,0.001319,0.0,0.00032,359.39,BUF 19%; NE 18%; SF 8%
202,LEO-3,LEO,0,32,0.001319,0.0,0.00032,358.32,BUF 15%; NE 15%; SF 8%
203,3 MULLETS-2,3 MULLETS,0,32,0.001319,0.0,0.00032,349.91,BUF 15%; NE 15%; SF 8%
204,TBONES PANCAKES-1,TBONES PANCAKES,0,32,0.001319,0.0,0.00032,344.37,BUF 19%; NE 18%; SF 8%
205,JUST TALK DIRTY-2,JUST TALK DIRTY,0,32,0.001319,0.0,0.00032,342.17,BUF 15%; NE 15%; SF 8%
206,C.A.G.E-1,C.A.G.E,0,32,0.001319,0.0,0.00032,336.51,BUF 19%; NE 18%; SF 8%
207,TBONES PANCAKES-2,TBONES PANCAKES,0,32,0.001319,0.0,0.00024,329.52,BUF 15%; NE 15%; SF 8%
208,MONTANA-1,MONTANA,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
209,TEAM DUCKHEAD 5-1,TEAM DUCKHEAD 5,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
210,ODBMG-1,ODBMG,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
211,Midland Mad Man-1,Midland Mad Man,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
212,cyboldbox-1,cyboldbox,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
213,USA2020-1,USA2020,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
214,Fatdaddycool-1,Fatdaddycool,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
215,Thunder-5,Thunder,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
216,FTGB-4,FTGB,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
217,LEMONADE GORILLAS-1,LEMONADE GORILLAS,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
218,1DAYRAY-2,1DAYRAY,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
219,Scrappydoo 1-1,Scrappydoo 1,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
220,KAZBEK-1,KAZBEK,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
221,RICKSKINS-5,RICKSKINS,0,32,0.001319,0.0,0.00024,329.52,BUF 13%; NE 13%; SF 8%
222,TAHOE-3,TAHOE,0,32,0.001319,0.0,0.00024,329.52,BUF 19%; NE 18%; SF 8%
