rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-06260,SYNTH-06260,0,32,5e-05,0.0,0.00024,4930.91,CIN 82%; BUF 6%; SEA 3%
20,SYNTH-04679,SYNTH-04679,0,32,5e-05,0.0,0.00016,3575.17,CIN 75%; BUF 7%; SEA 4%
21,SYNTH-07535,SYNTH-07535,0,32,5e-05,0.0,0.00016,3575.17,CIN 63%; BUF 10%; SEA 5%
22,SYNTH-03158,SYNTH-03158,0,32,5e-05,0.0,0.00016,3468.39,CIN 78%; BUF 8%; SEA 3%
23,SYNTH-20607,SYNTH-20607,0,32,5e-05,0.0,0.00016,3468.39,CIN 83%; BUF 7%; SEA 2%
24,SYNTH-04250,SYNTH-04250,0,32,5e-05,0.0,0.00016,3468.39,CIN 79%; BUF 6%; SEA 3%
25,SYNTH-06683,SYNTH-06683,0,32,5e-05,0.0,0.00016,3468.39,CIN 74%; BUF 9%; SEA 4%
26,SYNTH-15657,SYNTH-15657,0,32,5e-05,0.0,0.00016,3420.0,CIN 80%; BUF 7%; SEA 3%
27,SYNTH-17326,SYNTH-17326,0,32,5e-05,0.0,0.00016,3420.0,CIN 74%; BUF 8%; SEA 4%
28,SYNTH-06041,SYNTH-06041,0,32,5e-05,0.0,0.00016,3217.3,CIN 76%; BUF 9%; SEA 3%
29,SYNTH-06502,SYNTH-06502,0,32,5e-05,0.0,0.00016,3217.3,CIN 84%; BUF 7%; SEA 2%
30,SYNTH-00881,SYNTH-00881,0,32,5e-05,0.0,0.00016,3217.3,CIN 77%; BUF 8%; SEA 3%
31,SYNTH-06486,SYNTH-06486,0,32,5e-05,0.0,0.00016,3066.94,CIN 76%; BUF 7%; SEA 4%
32,SYNTH-02075,SYNTH-02075,0,32,5e-05,0.0,0.00016,3036.28,CIN 75%; BUF 8%; SEA 4%
33,SYNTH-01495,SYNTH-01495,0,32,5e-05,0.0,0.00016,3036.28,CIN 85%; BUF 6%; SEA 2%
34,SYNTH-22099,SYNTH-22099,0,32,5e-05,0.0,0.00016,3036.28,CIN 75%; BUF 7%; SEA 4%
35,SYNTH-00201,SYNTH-00201,0,32,5e-05,0.0,0.00016,3036.28,CIN 77%; BUF 8%; SEA 3%
36,SYNTH-14673,SYNTH-14673,0,32,5e-05,0.0,0.00016,3036.28,CIN 80%; BUF 7%; SEA 3%
37,SYNTH-10781,SYNTH-10781,0,32,5e-05,0.0,0.00016,3036.28,CIN 82%; BUF 6%; SEA 3%
38,SYNTH-10278,SYNTH-10278,0,32,5e-05,0.0,0.00024,2957.37,CIN 83%; BUF 7%; SEA 2%
39,SYNTH-16094,SYNTH-16094,0,32,5e-05,0.0,0.00016,2941.28,CIN 71%; BUF 8%; SEA 4%
40,SYNTH-11775,SYNTH-11775,0,32,5e-05,0.0,0.00016,2941.28,CIN 78%; BUF 7%; SEA 3%
41,SYNTH-22116,SYNTH-22116,0,32,5e-05,0.0,0.00016,2941.28,CIN 78%; BUF 7%; SEA 3%
42,SYNTH-15618,SYNTH-15618,0,32,5e-05,0.0,0.00016,2899.59,CIN 78%; BUF 6%; SEA 3%
43,SYNTH-10214,SYNTH-10214,0,32,5e-05,0.0,0.00016,2899.59,CIN 73%; BUF 7%; SEA 4%
44,SYNTH-03126,SYNTH-03126,0,32,5e-05,0.0,0.00016,2899.59,CIN 82%; BUF 7%; SEA 3%
45,SYNTH-01632,SYNTH-01632,0,32,5e-05,0.0,0.00024,2888.92,CIN 76%; BUF 7%; SEA 4%
46,SYNTH-01663,SYNTH-01663,0,32,5e-05,0.0,0.00016,2843.08,CIN 56%; BUF 10%; SEA 6%
47,SYNTH-05462,SYNTH-05462,0,32,5e-05,0.0,0.00016,2843.08,CIN 69%; BUF 9%; SEA 4%
48,SYNTH-22736,SYNTH-22736,0,32,5e-05,0.0,0.00016,2843.08,CIN 82%; BUF 6%; SEA 3%
49,SYNTH-03041,SYNTH-03041,0,32,5e-05,0.0,0.00016,2843.08,CIN 72%; BUF 9%; SEA 4%
50,SYNTH-05253,SYNTH-05253,0,32,5e-05,0.0,0.00016,2843.08,CIN 85%; BUF 6%; SEA 2%
51,SYNTH-22772,SYNTH-22772,0,32,5e-05,0.0,0.00016,2825.66,CIN 78%; BUF 7%; SEA 3%
52,SYNTH-17313,SYNTH-17313,0,32,5e-05,0.0,0.00016,2792.73,CIN 84%; BUF 7%; SEA 2%
53,SYNTH-11649,SYNTH-11649,0,32,5e-05,0.0,0.00016,2792.73,CIN 84%; BUF 6%; SEA 2%
54,SYNTH-14689,SYNTH-14689,0,32,5e-05,0.0,0.00016,2792.73,CIN 84%; BUF 7%; SEA 2%
55,SYNTH-08253,SYNTH-08253,0,32,5e-05,0.0,0.00016,2787.33,CIN 63%; BUF 9%; SEA 5%
56,SYNTH-11670,SYNTH-11670,0,32,5e-05,0.0,0.00016,2777.14,CIN 79%; BUF 7%; SEA 3%
57,SYNTH-05132,SYNTH-05132,0,32,5e-05,0.0,0.00024,2766.19,CIN 74%; BUF 7%; SEA 4%
58,SYNTH-03910,SYNTH-03910,0,32,5e-05,0.0,0.00016,2706.89,CIN 73%; BUF 9%; SEA 4%
59,SYNTH-15456,SYNTH-15456,0,32,5e-05,0.0,0.00016,2706.89,CIN 85%; BUF 6%; SEA 2%
60,SYNTH-14693,SYNTH-14693,0,32,5e-05,0.0,0.00016,2706.89,CIN 82%; BUF 6%; SEA 3%
61,SYNTH-00709,SYNTH-00709,0,32,5e-05,0.0,0.00016,2706.89,CIN 84%; BUF 6%; SEA 2%
62,SYNTH-21382,SYNTH-21382,0,32,5e-05,0.0,0.00016,2670.0,CIN 64%; BUF 10%; SEA 5%
63,SYNTH-10300,SYNTH-10300,0,32,5e-05,0.0,0.00016,2670.0,CIN 81%; BUF 6%; SEA 3%
64,SYNTH-00648,SYNTH-00648,0,32,5e-05,0.0,0.00016,2670.0,CIN 79%; BUF 6%; SEA 3%
65,SYNTH-19937,SYNTH-19937,0,32,5e-05,0.0,0.00016,2658.46,CIN 85%; BUF 6%; SEA 2%
66,SYNTH-16082,SYNTH-16082,0,32,5e-05,0.0,0.00016,2647.27,CIN 70%; BUF 9%; SEA 4%
67,SYNTH-22615,SYNTH-22615,0,32,5e-05,0.0,0.00016,2647.27,CIN 81%; BUF 7%; SEA 3%
68,SYNTH-04493,SYNTH-04493,0,32,5e-05,0.0,0.00016,2647.27,CIN 84%; BUF 6%; SEA 2%
69,SYNTH-21228,SYNTH-21228,0,32,5e-05,0.0,0.00016,2647.27,CIN 56%; BUF 9%; SEA 6%
70,SYNTH-10326,SYNTH-10326,0,32,5e-05,0.0,0.00016,2647.27,CIN 80%; BUF 7%; SEA 3%
71,SYNTH-16788,SYNTH-16788,0,32,5e-05,0.0,0.00016,2647.27,CIN 80%; BUF 7%; SEA 3%
72,SYNTH-01683,SYNTH-01683,0,32,5e-05,0.0,0.00016,2647.27,CIN 78%; BUF 8%; SEA 3%
73,SYNTH-22033,SYNTH-22033,0,32,5e-05,0.0,0.00016,2633.04,CIN 80%; BUF 6%; SEA 3%
74,SYNTH-12147,SYNTH-12147,0,32,5e-05,0.0,0.00016,2625.88,CIN 81%; BUF 7%; SEA 3%
75,SYNTH-12001,SYNTH-12001,0,32,5e-05,0.0,0.00016,2625.88,CIN 82%; BUF 6%; SEA 3%
76,SYNTH-02300,SYNTH-02300,0,32,5e-05,0.0,0.00016,2625.88,CIN 85%; BUF 6%; SEA 2%
77,SYNTH-08834,SYNTH-08834,0,32,5e-05,0.0,0.00016,2616.28,CIN 77%; BUF 8%; SEA 3%
78,SYNTH-06437,SYNTH-06437,0,32,5e-05,0.0,0.00016,2568.65,CIN 78%; BUF 8%; SEA 3%
79,SYNTH-14947,SYNTH-14947,0,32,5e-05,0.0,0.00016,2568.65,CIN 85%; BUF 6%; SEA 2%
80,SYNTH-15993,SYNTH-15993,0,32,5e-05,0.0,0.00016,2568.65,CIN 79%; BUF 7%; SEA 3%
81,SYNTH-20423,SYNTH-20423,0,32,5e-05,0.0,0.00016,2494.8,CIN 83%; BUF 6%; SEA 3%
82,SYNTH-20729,SYNTH-20729,0,32,5e-05,0.0,0.00016,2453.33,CIN 81%; BUF 7%; SEA 3%
83,SYNTH-08598,SYNTH-08598,0,32,5e-05,0.0,0.00016,2420.0,CIN 84%; BUF 7%; SEA 2%
84,SYNTH-10393,SYNTH-10393,0,32,5e-05,0.0,0.00016,2420.0,CIN 78%; BUF 8%; SEA 3%
85,SYNTH-14933,SYNTH-14933,0,32,5e-05,0.0,0.00016,2420.0,CIN 60%; BUF 7%; SEA 6%
86,SYNTH-06839,SYNTH-06839,0,32,5e-05,0.0,0.00016,2420.0,CIN 70%; BUF 9%; SEA 4%
87,SYNTH-11560,SYNTH-11560,0,32,5e-05,0.0,0.00016,2420.0,CIN 84%; BUF 6%; SEA 2%
88,SYNTH-02101,SYNTH-02101,0,32,5e-05,0.0,0.00016,2420.0,CIN 75%; BUF 8%; SEA 4%
89,SYNTH-18525,SYNTH-18525,0,32,5e-05,0.0,0.00016,2413.58,CIN 74%; BUF 8%; SEA 4%
90,SYNTH-17116,SYNTH-17116,0,32,5e-05,0.0,0.00024,2399.96,CIN 63%; BUF 10%; SEA 5%
91,SYNTH-21477,SYNTH-21477,0,32,5e-05,0.0,0.00016,2377.14,CIN 70%; BUF 9%; SEA 4%
92,SYNTH-20591,SYNTH-20591,0,32,5e-05,0.0,0.00016,2347.05,CIN 80%; BUF 7%; SEA 3%
93,SYNTH-05608,SYNTH-05608,0,32,5e-05,0.0,0.00024,2343.81,CIN 82%; BUF 6%; SEA 3%
94,SYNTH-11179,SYNTH-11179,0,32,5e-05,0.0,0.00024,2246.42,CIN 78%; BUF 6%; SEA 3%
95,SYNTH-20324,SYNTH-20324,0,32,5e-05,0.0,0.00016,2227.27,CIN 61%; BUF 11%; SEA 5%
96,SYNTH-11581,SYNTH-11581,0,32,5e-05,0.0,0.00016,2207.19,CIN 81%; BUF 6%; SEA 3%
97,SYNTH-15140,SYNTH-15140,0,32,5e-05,0.0,0.00016,2171.43,CIN 77%; BUF 8%; SEA 3%
98,SYNTH-18972,SYNTH-18972,0,32,5e-05,0.0,0.00016,2160.0,CIN 75%; BUF 8%; SEA 4%
99,SYNTH-14723,SYNTH-14723,0,32,5e-05,0.0,0.00016,2160.0,CIN 84%; BUF 6%; SEA 2%
100,SYNTH-16884,SYNTH-16884,0,32,5e-05,0.0,0.00016,2160.0,CIN 83%; BUF 6%; SEA 3%
101,SYNTH-08491,SYNTH-08491,0,32,5e-05,0.0,0.00016,2160.0,CIN 78%; BUF 7%; SEA 3%
102,SYNTH-09430,SYNTH-09430,0,32,5e-05,0.0,0.00016,2160.0,CIN 72%; BUF 7%; SEA 4%
103,SYNTH-17388,SYNTH-17388,0,32,5e-05,0.0,0.00016,2160.0,CIN 82%; BUF 7%; SEA 3%
104,SYNTH-22689,SYNTH-22689,0,32,5e-05,0.0,0.00016,2160.0,CIN 82%; BUF 6%; SEA 3%
105,SYNTH-05718,SYNTH-05718,0,32,5e-05,0.0,0.00016,2160.0,CIN 81%; BUF 7%; SEA 3%
106,SYNTH-05761,SYNTH-05761,0,32,5e-05,0.0,0.00016,2155.17,CIN 80%; BUF 7%; SEA 3%
107,SYNTH-19842,SYNTH-19842,0,32,5e-05,0.0,0.00016,2112.77,CIN 71%; BUF 9%; SEA 4%
108,SYNTH-18495,SYNTH-18495,0,32,5e-05,0.0,0.00016,2112.77,CIN 73%; BUF 8%; SEA 4%
109,SYNTH-08627,SYNTH-08627,0,32,5e-05,0.0,0.00016,2112.77,CIN 82%; BUF 6%; SEA 3%
110,SYNTH-00935,SYNTH-00935,0,32,5e-05,0.0,0.00016,2112.77,CIN 79%; BUF 7%; SEA 3%
111,SYNTH-00837,SYNTH-00837,0,32,5e-05,0.0,0.00016,2112.77,CIN 70%; BUF 9%; SEA 4%
112,SYNTH-22465,SYNTH-22465,0,32,5e-05,0.0,0.00016,2112.77,CIN 73%; BUF 9%; SEA 4%
113,SYNTH-02400,SYNTH-02400,0,32,5e-05,0.0,0.00016,2112.77,CIN 59%; BUF 10%; SEA 5%
114,SYNTH-00746,SYNTH-00746,0,32,5e-05,0.0,0.00016,2112.77,CIN 75%; BUF 8%; SEA 4%
115,SYNTH-13964,SYNTH-13964,0,32,5e-05,0.0,0.00016,2112.77,CIN 80%; BUF 5%; SEA 3%
116,SYNTH-22680,SYNTH-22680,0,32,5e-05,0.0,0.00016,2112.77,CIN 79%; BUF 7%; SEA 3%
117,SYNTH-12447,SYNTH-12447,0,32,5e-05,0.0,0.00016,2086.15,CIN 82%; BUF 7%; SEA 3%
118,SYNTH-14626,SYNTH-14626,0,32,5e-05,0.0,0.00016,2048.39,CIN 78%; BUF 6%; SEA 3%
119,SYNTH-05329,SYNTH-05329,0,32,5e-05,0.0,0.00016,2038.92,CIN 75%; BUF 8%; SEA 4%
120,SYNTH-19881,SYNTH-19881,0,32,5e-05,0.0,0.00016,2033.33,CIN 76%; BUF 9%; SEA 3%
121,SYNTH-11657,SYNTH-11657,0,32,5e-05,0.0,0.00016,2016.19,CIN 74%; BUF 8%; SEA 4%
122,SYNTH-12142,SYNTH-12142,0,32,5e-05,0.0,0.00016,2016.19,CIN 76%; BUF 8%; SEA 3%
123,SYNTH-06518,SYNTH-06518,0,32,5e-05,0.0,0.00016,2016.19,CIN 78%; BUF 8%; SEA 3%
124,SYNTH-07743,SYNTH-07743,0,32,5e-05,0.0,0.00016,2016.19,CIN 78%; BUF 6%; SEA 3%
125,SYNTH-23752,SYNTH-23752,0,32,5e-05,0.0,0.00016,2016.19,CIN 79%; BUF 8%; SEA 3%
126,SYNTH-07449,SYNTH-07449,0,32,5e-05,0.0,0.00016,2016.19,CIN 75%; BUF 8%; SEA 4%
127,SYNTH-21447,SYNTH-21447,0,32,5e-05,0.0,0.00016,2016.19,CIN 68%; BUF 9%; SEA 4%
128,SYNTH-22436,SYNTH-22436,0,32,5e-05,0.0,0.00016,2016.19,CIN 80%; BUF 6%; SEA 3%
129,SYNTH-06245,SYNTH-06245,0,32,5e-05,0.0,0.00016,2016.19,CIN 79%; BUF 8%; SEA 3%
130,SYNTH-15394,SYNTH-15394,0,32,5e-05,0.0,0.00016,2016.19,CIN 81%; BUF 7%; SEA 3%
131,SYNTH-08304,SYNTH-08304,0,32,5e-05,0.0,0.00016,2016.19,CIN 79%; BUF 7%; SEA 3%
132,SYNTH-16720,SYNTH-16720,0,32,5e-05,0.0,0.00016,2016.19,CIN 74%; BUF 8%; SEA 4%
133,SYNTH-19722,SYNTH-19722,0,32,5e-05,0.0,0.00016,2016.19,CIN 67%; BUF 9%; SEA 5%
134,SYNTH-21177,SYNTH-21177,0,32,5e-05,0.0,0.00016,2016.19,CIN 65%; BUF 8%; SEA 5%
135,SYNTH-10071,SYNTH-10071,0,32,5e-05,0.0,0.00016,2000.87,CIN 81%; BUF 7%; SEA 3%
136,SYNTH-19300,SYNTH-19300,0,32,5e-05,0.0,0.00016,1944.35,CIN 73%; BUF 8%; SEA 4%
137,SYNTH-22150,SYNTH-22150,0,32,5e-05,0.0,8e-05,1920.0,CIN 84%; BUF 6%; SEA 2%
138,SYNTH-14776,SYNTH-14776,0,32,5e-05,0.0,8e-05,1920.0,CIN 79%; BUF 7%; SEA 3%
139,SYNTH-10611,SYNTH-10611,0,32,5e-05,0.0,8e-05,1920.0,CIN 81%; BUF 7%; SEA 3%
140,SYNTH-18152,SYNTH-18152,0,32,5e-05,0.0,8e-05,1920.0,CIN 77%; BUF 8%; SEA 3%
141,SYNTH-18153,SYNTH-18153,0,32,5e-05,0.0,8e-05,1920.0,CIN 78%; BUF 8%; SEA 3%
142,SYNTH-19590,SYNTH-19590,0,32,5e-05,0.0,8e-05,1920.0,CIN 68%; BUF 8%; SEA 5%
143,SYNTH-14767,SYNTH-14767,0,32,5e-05,0.0,8e-05,1920.0,CIN 78%; BUF 7%; SEA 3%
144,SYNTH-21356,SYNTH-21356,0,32,5e-05,0.0,8e-05,1920.0,CIN 72%; BUF 9%; SEA 4%
145,SYNTH-22932,SYNTH-22932,0,32,5e-05,0.0,8e-05,1920.0,CIN 58%; BUF 10%; SEA 5%
146,SYNTH-06760,SYNTH-06760,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 6%; SEA 3%
147,SYNTH-12036,SYNTH-12036,0,32,5e-05,0.0,8e-05,1920.0,CIN 73%; BUF 9%; SEA 4%
148,SYNTH-02612,SYNTH-02612,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 6%; SEA 3%
149,SYNTH-10615,SYNTH-10615,0,32,5e-05,0.0,8e-05,1920.0,CIN 76%; BUF 7%; SEA 3%
150,SYNTH-13545,SYNTH-13545,0,32,5e-05,0.0,8e-05,1920.0,CIN 68%; BUF 9%; SEA 4%
151,SYNTH-22143,SYNTH-22143,0,32,5e-05,0.0,8e-05,1920.0,CIN 75%; BUF 8%; SEA 4%
152,SYNTH-08992,SYNTH-08992,0,32,5e-05,0.0,8e-05,1920.0,CIN 77%; BUF 7%; SEA 3%
153,SYNTH-21352,SYNTH-21352,0,32,5e-05,0.0,8e-05,1920.0,CIN 78%; BUF 8%; SEA 3%
154,SYNTH-23058,SYNTH-23058,0,32,5e-05,0.0,8e-05,1920.0,CIN 85%; BUF 6%; SEA 2%
155,SYNTH-14499,SYNTH-14499,0,32,5e-05,0.0,8e-05,1920.0,CIN 72%; BUF 8%; SEA 4%
156,SYNTH-23061,SYNTH-23061,0,32,5e-05,0.0,8e-05,1920.0,CIN 71%; BUF 10%; SEA 4%
157,SYNTH-17230,SYNTH-17230,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 7%; SEA 3%
158,SYNTH-13620,SYNTH-13620,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 6%; SEA 3%
159,SYNTH-05691,SYNTH-05691,0,32,5e-05,0.0,8e-05,1920.0,CIN 75%; BUF 7%; SEA 4%
160,SYNTH-23101,SYNTH-23101,0,32,5e-05,0.0,8e-05,1920.0,CIN 76%; BUF 6%; SEA 4%
161,SYNTH-04932,SYNTH-04932,0,32,5e-05,0.0,8e-05,1920.0,CIN 78%; BUF 7%; SEA 3%
162,SYNTH-09813,SYNTH-09813,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 7%; SEA 3%
163,SYNTH-18143,SYNTH-18143,0,32,5e-05,0.0,8e-05,1920.0,CIN 77%; BUF 6%; SEA 4%
164,SYNTH-19111,SYNTH-19111,0,32,5e-05,0.0,8e-05,1920.0,CIN 79%; BUF 6%; SEA 3%
165,SYNTH-01068,SYNTH-01068,0,32,5e-05,0.0,8e-05,1920.0,CIN 74%; BUF 8%; SEA 4%
166,SYNTH-08431,SYNTH-08431,0,32,5e-05,0.0,8e-05,1920.0,CIN 72%; BUF 9%; SEA 4%
167,SYNTH-18146,SYNTH-18146,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 7%; SEA 3%
168,SYNTH-17164,SYNTH-17164,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 6%; SEA 3%
169,SYNTH-10559,SYNTH-10559,0,32,5e-05,0.0,8e-05,1920.0,CIN 71%; BUF 9%; SEA 4%
170,SYNTH-04935,SYNTH-04935,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 6%; SEA 3%
171,SYNTH-03805,SYNTH-03805,0,32,5e-05,0.0,8e-05,1920.0,CIN 68%; BUF 10%; SEA 4%
172,SYNTH-11253,SYNTH-11253,0,32,5e-05,0.0,8e-05,1920.0,CIN 78%; BUF 7%; SEA 3%
173,SYNTH-09635,SYNTH-09635,0,32,5e-05,0.0,8e-05,1920.0,CIN 68%; BUF 9%; SEA 4%
174,SYNTH-21420,SYNTH-21420,0,32,5e-05,0.0,8e-05,1920.0,CIN 74%; BUF 8%; SEA 4%
175,SYNTH-01275,SYNTH-01275,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 7%; SEA 3%
176,SYNTH-05921,SYNTH-05921,0,32,5e-05,0.0,8e-05,1920.0,CIN 76%; BUF 8%; SEA 3%
177,SYNTH-01272,SYNTH-01272,0,32,5e-05,0.0,8e-05,1920.0,CIN 73%; BUF 8%; SEA 4%
178,SYNTH-20759,SYNTH-20759,0,32,5e-05,0.0,8e-05,1920.0,CIN 70%; BUF 8%; SEA 4%
179,SYNTH-09632,SYNTH-09632,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 7%; SEA 3%
180,SYNTH-10563,SYNTH-10563,0,32,5e-05,0.0,8e-05,1920.0,CIN 84%; BUF 6%; SEA 2%
181,SYNTH-06183,SYNTH-06183,0,32,5e-05,0.0,8e-05,1920.0,CIN 69%; BUF 8%; SEA 5%
182,SYNTH-10911,SYNTH-10911,0,32,5e-05,0.0,8e-05,1920.0,CIN 73%; BUF 8%; SEA 4%
183,SYNTH-06179,SYNTH-06179,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 6%; SEA 3%
184,SYNTH-04084,SYNTH-04084,0,32,5e-05,0.0,8e-05,1920.0,CIN 77%; BUF 6%; SEA 4%
185,SYNTH-08925,SYNTH-08925,0,32,5e-05,0.0,8e-05,1920.0,CIN 49%; BUF 10%; SEA 7%
186,SYNTH-04087,SYNTH-04087,0,32,5e-05,0.0,8e-05,1920.0,CIN 75%; BUF 8%; SEA 3%
187,SYNTH-01195,SYNTH-01195,0,32,5e-05,0.0,8e-05,1920.0,CIN 59%; BUF 11%; SEA 5%
188,SYNTH-19728,SYNTH-19728,0,32,5e-05,0.0,8e-05,1920.0,CIN 79%; BUF 7%; SEA 3%
189,SYNTH-17203,SYNTH-17203,0,32,5e-05,0.0,8e-05,1920.0,CIN 72%; BUF 8%; SEA 4%
190,SYNTH-01186,SYNTH-01186,0,32,5e-05,0.0,8e-05,1920.0,CIN 81%; BUF 8%; SEA 2%
191,SYNTH-13588,SYNTH-13588,0,32,5e-05,0.0,8e-05,1920.0,CIN 79%; BUF 7%; SEA 3%
192,SYNTH-20243,SYNTH-20243,0,32,5e-05,0.0,8e-05,1920.0,CIN 73%; BUF 9%; SEA 4%
193,SYNTH-20743,SYNTH-20743,0,32,5e-05,0.0,8e-05,1920.0,CIN 67%; BUF 8%; SEA 5%
194,SYNTH-11238,SYNTH-11238,0,32,5e-05,0.0,8e-05,1920.0,CIN 68%; BUF 9%; SEA 5%
195,SYNTH-02176,SYNTH-02176,0,32,5e-05,0.0,8e-05,1920.0,CIN 83%; BUF 6%; SEA 2%
196,SYNTH-14795,SYNTH-14795,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 7%; SEA 2%
197,SYNTH-04074,SYNTH-04074,0,32,5e-05,0.0,8e-05,1920.0,CIN 83%; BUF 6%; SEA 3%
198,SYNTH-13581,SYNTH-13581,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 7%; SEA 3%
199,SYNTH-04944,SYNTH-04944,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 7%; SEA 3%
200,SYNTH-23020,SYNTH-23020,0,32,5e-05,0.0,8e-05,1920.0,CIN 74%; BUF 7%; SEA 4%
201,SYNTH-21368,SYNTH-21368,0,32,5e-05,0.0,8e-05,1920.0,CIN 68%; BUF 8%; SEA 4%
202,SYNTH-08930,SYNTH-08930,0,32,5e-05,0.0,8e-05,1920.0,CIN 77%; BUF 8%; SEA 3%
203,SYNTH-23016,SYNTH-23016,0,32,5e-05,0.0,8e-05,1920.0,CIN 75%; BUF 7%; SEA 4%
204,SYNTH-20239,SYNTH-20239,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 6%; SEA 3%
205,SYNTH-06729,SYNTH-06729,0,32,5e-05,0.0,8e-05,1920.0,CIN 80%; BUF 6%; SEA 3%
206,SYNTH-20210,SYNTH-20210,0,32,5e-05,0.0,8e-05,1920.0,CIN 79%; BUF 7%; SEA 3%
207,SYNTH-17212,SYNTH-17212,0,32,5e-05,0.0,8e-05,1920.0,CIN 70%; BUF 7%; SEA 4%
208,SYNTH-14798,SYNTH-14798,0,32,5e-05,0.0,8e-05,1920.0,CIN 79%; BUF 8%; SEA 3%
209,SYNTH-10922,SYNTH-10922,0,32,5e-05,0.0,8e-05,1920.0,CIN 82%; BUF 7%; SEA 3%
210,SYNTH-19726,SYNTH-19726,0,32,5e-05,0.0,8e-05,1920.0,CIN 57%; BUF 10%; SEA 6%
211,SYNTH-18183,SYNTH-18183,0,32,5e-05,0.0,8e-05,1920.0,CIN 66%; BUF 10%; SEA 5%
212,SYNTH-23003,SYNTH-23003,0,32,5e-05,0.0,8e-05,1920.0,CIN 73%; BUF 8%; SEA 4%
213,SYNTH-21399,SYNTH-21399,0,32,5e-05,0.0,8e-05,1920.0,CIN 77%; BUF 7%; SEA 4%
214,SYNTH-04362,SYNTH-04362,0,32,5e-05,0.0,8e-05,1920.0,CIN 78%; BUF 7%; SEA 3%
215,SYNTH-22139,SYNTH-22139,0,32,5e-05,0.0,8e-05,1920.0,CIN 73%; BUF 9%; SEA 4%
